ESTACIONES UNC,,SiteID,Location,island,latitude,longitude,EcoRegion,SamplingDate,DeepSampleDepthFeet,ShallowSampleDepthFeet,lat2,lon2,LAT,LON,bf_int,dep_dl,dep_ml,dpden_int,dsal_int,dtemp_int,pden_dl,pden_ml,sal_dl,sal_ml,temp_dl,temp_ml,thick_dl,thick_int,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1-BARAHONA,1,BAR,Barahona Beach,Isabela,S 01º02,W 091º 09,Western,30/09/2018,12,6,-1.03875,-91.15636667,-1.082666667,-91.09098333,0.00034748,69.604,8.95,2.2024,0.6632,-6.7283,1026,1023.5,35.007,34.253,14.877,22.666,20.876,60.654,22.256,23.25,22.729,24.02,25.584,23.909,22.552,22.039,21.571,22.466,23.17,24.012
5-CABO DOUGLAS,2,CDOU,Cabo Douglas,Fernandina,S 00º18,W 091º 39,Western,03/10/2018,12,3,-0.302816667,-91.65173333,-0.2872,-91.65678333,0.00023467,64.633,2.983,1.5122,0.4197,-4.635,1025.7,1024,35.085,34.58,16.696,21.779,23.859,61.65,18.814,20.871,20.325,19.522,20.22,18.772,18.55,17.267,17.565,18.852,19.626,20.731
3-CABO HAMMOND,3,CHAM,Cabo Hammond,Fernandina,S 00º28,W 091º 36,Western,02/10/2018,18,3,-0.469583333,-91.61118333,-0.468816667,-91.61535,0.00016804,45.742,3.978,0.73343,0.1333,-2.4654,1025.4,1024.4,34.998,34.817,17.533,20.8,51.696,41.764,19.09,21.316,21.075,19.803,20.708,19.558,19.216,18.017,18.401,19.575,20.4,21.564
10-CABO MARSHAL,4,CMAR,Cabo Marshall,Isabela,S 00º00,W 091º 13,CSouthEastern,05/10/2018,17.8,3,-0.001333333,-91.22385,-0.0013,-91.20238333,0.0003876,77.557,22.872,2.2136,0.6586,-6.6234,1025.8,1023.3,34.981,34.241,15.848,23.329,12.923,54.685,21.675,23.676,24.965,24.539,25.187,23.028,22.515,22.405,21.862,22.341,22.542,23.766
14-SALVAJE DE CORAZON,5,CORA,Salvaje de Corazón,Genovesa,N 00º18,W 089º 58,Northern,08/10/2018,18,3,0.311316667,-89.97515,0.31025,-89.9495,0.00034708,47.731,15.911,1.1529,0.4634,-2.8591,1024.5,1023,34.76,34.202,20.26,24.17,41.755,31.82,23.295,24.658,24.023,24.715,25.641,23.133,22.704,22.683,22.51,22.663,23.332,23.927
23-CUEVAS,6,CUEV,Las Cuevas,Floreana,S 01º15,W 090º 22,CSouthEastern,12/10/2018,28,3,-1.25335,-90.3741,-1.22585,-90.39181667,0.00022086,77.557,16.906,1.3992,0.3915,-4.2779,1025.5,1023.8,34.93,34.458,16.675,21.991,9.941,60.651,22.525,24.509,25.074,25.185,24.624,22.925,22.301,21.805,21.4,22.033,22.571,23.466
18-DAPHNE,7,DAPH,Daphne Mayor,Seymour,S 00º25,W 090º 22,CSouthEastern,10/10/2018,32,3,-0.4258,-90.37211667,-0.365567,-90.5422,0.0010562,49.719,26.85,2.5234,0.67,-7.8597,1026,1023.1,34.986,34.229,15.006,23.873,39.767,22.869,22.124,23.869,23.91,24.168,24.477,22.346,22.207,22.128,21.649,21.726,22.451,23.47
16-PUERTO EGAS,8,EGAS,Cerca a Puerto Egas,Santiago,S 00º15,W 090º 52,CSouthEastern,09/10/2018,71,3,-0.2596,-90.86878333,-0.226966667,-90.88398333,0.0012211,65.627,44.748,2.6616,0.7533,-7.9484,1025.8,1022.8,34.97,34.119,15.742,24.481,23.859,20.879,22.296,23.657,24.339,24.455,24.893,23.224,22.718,22.423,21.751,22.121,22.577,23.847
2-BAHIA ELIZABETH,9,ELI,Marielas-Bahia Elizabeth,Isabela,S 00º35,W 091º 05,Elizabeth,01/10/2018,16,3,-0.59505,-91.0859,-0.60715,-91.18395,0.00025682,45.742,11.934,0.90725,0.1713,-2.9872,1025.3,1024.1,34.983,34.747,17.682,21.611,43.744,33.808,19.83,22.696,22.209,21.349,20.923,19.466,18.921,17.714,18.264,19.2,20.17,21.626
THEY DIDNT TAKE THIS ONE,10,GARD,Bahía Gardner,Española,S 01º21,W 089º 38,CSouthEastern,13/10/2018,19,3,-1.365466667,-89.63931667,,,,,,,,,,,,,,,,,22.716,24.88,25.971,26.238,24.924,23.013,22.392,21.603,21.327,22.108,22.775,23.35
