"","Start","End","eDNA_Distance","GeographicDistance","TempDistance","OceanResistance","GeographicDistance_scaled","TempDistance_scaled","OceanResistance_scaled"
"1","BAR","CDOU",0.646616541353384,120608.901389799,4.006,-0.119059885769354,-0.350647621700874,1.67594639449484,-0.874217071905544
"2","BAR","CHAM",0.618320610687023,99633.5065436687,3.17,-0.122350565640489,-0.646362205448198,1.3261982203067,-0.898278366294059
"3","BAR","CMAR",0.551724137931034,155809.298978161,-0.290999999999997,-0.130164198826985,0.145613402081624,-0.121742486469794,-0.955411279766831
"4","BAR","CORA",0.639344262295082,206664.553912996,-0.939,-0.106424311714089,0.862579192463072,-0.392839157371607,-0.781826356607327
"5","BAR","CUEV",0.574074074074074,93130.0394274876,0.171000000000003,0.0610482457727162,-0.738049159867113,0.0715393992657572,0.442725002227106
"6","BAR","DAPH",0.558441558441559,115059.064292759,-0.0779999999999994,-0.0741510980641595,-0.428890142476087,-0.0326320066826253,-0.545846156495503
"7","BAR","EGAS",0.552631578947368,115835.655514661,-0.18,-0.12981784223981,-0.417941631060153,-0.0753046308060589,-0.95287873690828
"8","BAR","ELI",0.483870967741935,110252.20485986,3.307,-0.0475396286701756,-0.49665804132896,1.38351341153132,-0.3512643605523
"9","BAR","GARD",0.525252525252525,178589.690405996,0.244,0.0587041340728247,0.466775126001502,0.102079610648213,0.425584969194601
"10","BAR","PCAL",0.590909090909091,180324.874081443,-0.767,-0.148345096852818,0.491238032281649,-0.320881399045818,-1.08834913965542
"11","BAR","PESP",0.523809523809524,125077.227256179,3.338,-0.049822922017844,-0.287652425027962,1.39648254239236,-0.367959692691867
"12","BAR","PIN",0.629310344827586,212944.033983829,-0.667999999999999,-0.181273307946817,0.951108340491891,-0.279463852102485,-1.32911864986201
"13","BAR","PLAZ",0.615942028985507,132546.410221053,-0.0729999999999968,-0.0670347396656907,-0.182350648942551,-0.0305402113824559,-0.49381168304164
"14","BAR","PMAN",0.5,101105.67237504,2.488,-0.0558199692556079,-0.625607368210352,1.04087734136375,-0.411809816283469
"15","BAR","PMOR",0.6,77408.4695017008,4.189,-0.0802253237083127,-0.959694451436735,1.752506102481,-0.590260604916408
"16","BAR","PROJ",0.607476635514019,97683.1649810201,-0.323999999999998,-0.111157646345363,-0.673858443187443,-0.135548335450905,-0.816436273847059
"17","BAR","PVIC",0.587301587301587,151033.592675261,2.684,-0.0982174493049467,0.0782847052050507,1.12287571713034,-0.721818169799322
"18","BAR","RED",0.696428571428571,183384.971594714,1.379,-0.095820188944535,0.534379792854041,0.576917143786418,-0.704289516294086
"19","BAR","SOMB",0.595505617977528,107988.457712814,-0.552999999999997,-0.0913879950341202,-0.528572722802591,-0.231352560198613,-0.671881525653328
"20","BAR","STAFE",0.583333333333333,130632.714014179,0.142000000000003,-0.0472929314422641,-0.209330254398654,0.059406986524781,-0.349460522179058
"21","BAR","SUAR",0.64,169021.311627888,0.867000000000001,0.0592602705582116,0.33187854034667,0.362717305049184,0.429651412671059
"22","BAR","TOR",0.55952380952381,31828.5597494627,0.204000000000001,-0.0769823273042434,-1.60228755342596,0.0853452482468672,-0.56654796976655
"23","CDOU","BAR",0.568807339449541,120608.901389799,-4.006,0.119282143994128,-0.350647621700874,-1.67594639449484,0.8685284906755
"24","CDOU","CHAM",0.381679389312977,21444.4233102277,-0.835999999999999,0.101141377724615,-1.74868482543108,-0.34974817418814,0.735884072276502
"25","CDOU","CMAR",0.456896551724138,93108.7268664709,-4.297,0.0668025975163174,-0.738349627875267,-1.79768888096464,0.48480054793192
"26","CDOU","CORA",0.549180327868853,225021.935018026,-4.945,0.120161092051579,1.12138458573396,-2.06878555186645,0.87495531698214
"27","CDOU","CUEV",0.527777777777778,211233.884182482,-3.835,0.0993277842856157,0.926998365906874,-1.60440699522909,0.722623163483879
"28","CDOU","DAPH",0.415584415584416,197378.024671567,-4.084,0.156158483875903,0.731656168165717,-1.70857840117747,1.13816653041599
"29","CDOU","EGAS",0.394736842105263,141049.075698222,-4.186,0.158649550288312,-0.0624786655654348,-1.7512510253009,1.15638108930276
"30","CDOU","ELI",0.494623655913978,79076.9028433213,-0.698999999999998,0.0733904849398842,-0.936172602396621,-0.292432982963528,0.532970866803491
"31","CDOU","GARD",0.545454545454545,296693.535160989,-3.762,0.0870248772639654,2.13182265177547,-1.57386678384663,0.632664893681004
"32","CDOU","PCAL",0.509090909090909,165931.306263147,-4.773,0.116826623036574,0.288315133940523,-1.99682779354066,0.850573838460577
"33","CDOU","PESP",0.380952380952381,25875.9476186677,-0.667999999999999,0.0420322499952052,-1.68620846320526,-0.279463852102485,0.303680947377847
"34","CDOU","PIN",0.5,148033.869524075,-4.674,0.00448189260849732,0.0359941123691392,-1.95541024659733,0.029114523764029
"35","CDOU","PLAZ",0.492753623188406,225362.595745641,-4.079,0.144430140575132,1.12618727698267,-1.7064866058773,1.05240944315727
"36","CDOU","PMAN",0.492307692307692,49325.3396768085,-1.518,0.0876877479603743,-1.35561505781436,-0.635069053131097,0.637511772621651
"37","CDOU","PMOR",0.472727272727273,62681.0196674565,0.183,0.117845256164769,-1.16732447362898,0.0765597079861599,0.858022035347301
