,TOR,BAR,PMOR,ELI,CHAM,PMAN,CDOU,PESP,PVIC,RED,CMAR,PIN,PCAL,CORA,EGAS,PROJ,SOMB,DAPH,PLAZ,STAFE,CUEV,SUAR,GARD
TOR,NA,,,,,,,,7.59E-07,1.45E-06,,1.52E-06,3.02E-06,5.31E-05,1.49E-04,9.94E-05,4.78E-04,2.00E-04,5.46E-05,1.35E-05,,,
BAR,2.41E-06,NA,,,,,,,,,,,,,1.30E-06,1.47E-05,2.77E-06,3.46E-03,3.56E-04,1.78E-06,,7.92E-07,3.10E-06
PMOR,,,NA,1.93E-05,3.37E-04,4.54E-05,1.22E-05,1.90E-04,1.40E-05,,,,,,,,,,,,,,
ELI,,6.03E-07,2.46E-04,NA,7.16E-05,2.73E-04,7.71E-05,2.66E-04,3.13E-04,,,,,,,,,4.76E-07,,,,,
CHAM,1.69E-04,7.00E-04,8.80E-05,3.50E-05,NA,3.47E-04,4.76E-05,1.73E-04,5.69E-05,,3.31E-06,1.59E-06,,,1.04E-05,3.61E-05,3.63E-05,1.64E-04,1.16E-04,2.64E-05,,,9.86E-07
PMAN,4.25E-04,3.87E-04,2.96E-04,3.29E-04,5.44E-04,NA,1.61E-04,8.34E-04,2.17E-04,,6.53E-07,,,7.00E-07,1.86E-05,6.48E-05,4.82E-05,1.02E-04,8.52E-05,2.97E-05,,,
CDOU,4.15E-04,2.71E-04,3.75E-05,1.06E-05,1.40E-02,1.23E-04,NA,6.00E-05,7.46E-05,,,,3.47E-06,,2.02E-05,5.92E-05,2.45E-05,3.49E-04,3.97E-04,8.97E-06,,,
PESP,4.75E-06,5.94E-06,5.12E-04,1.11E-03,1.50E-04,1.21E-03,2.88E-04,NA,5.31E-04,,,,,,,,,8.97E-07,,,,,
PVIC,1.20E-05,9.92E-06,5.16E-04,9.53E-04,3.42E-04,1.04E-02,1.61E-04,2.94E-03,NA,,,,,,1.18E-06,9.04E-06,5.53E-06,1.23E-05,1.70E-05,1.39E-06,,,7.07E-07
RED,,6.67E-07,3.67E-05,4.94E-06,4.53E-05,6.07E-05,3.33E-05,2.80E-04,2.48E-04,NA,2.91E-04,6.22E-07,8.41E-06,5.45E-04,3.26E-05,6.93E-06,2.01E-06,3.29E-06,3.30E-06,,,,
CMAR,5.86E-07,,,,,,,,5.26E-06,1.15E-06,NA,6.12E-06,1.77E-05,1.50E-04,2.64E-04,3.38E-05,1.51E-05,1.17E-05,7.63E-06,6.14E-06,,,
PIN,,,,,,,,,,8.06E-05,,NA,,,,,,,,,,,
PCAL,,,,,,6.31E-06,,,1.14E-04,,,,NA,,,7.24E-06,,,,,,,
CORA,,,,,,,,,,,,,,NA,,,,,,,,,
EGAS,2.71E-05,5.25E-06,,1.99E-06,4.82E-07,,4.87E-07,4.73E-07,1.36E-05,9.63E-07,2.41E-06,1.60E-05,6.90E-05,2.15E-05,NA,6.90E-03,1.47E-04,4.12E-04,3.81E-05,6.31E-05,2.57E-06,2.00E-06,
PROJ,7.77E-06,5.26E-07,,,9.30E-07,,,,,5.54E-07,2.06E-06,2.71E-06,3.70E-06,9.72E-05,2.57E-04,NA,5.58E-04,2.57E-04,2.96E-05,5.90E-04,1.20E-06,,
SOMB,2.20E-06,,,,,,,,1.11E-06,1.11E-06,3.81E-06,3.28E-06,1.15E-06,1.63E-05,1.27E-05,1.42E-05,NA,2.55E-03,1.14E-03,8.53E-04,,,
DAPH,,,,,,,,5.41E-07,5.76E-07,5.36E-07,2.67E-06,4.69E-06,7.42E-06,2.82E-04,,,,NA,1.15E-03,,,,
PLAZ,,5.77E-07,,,,,5.62E-07,,,1.67E-06,6.34E-06,2.18E-06,8.07E-06,2.71E-04,,,,6.41E-06,NA,,,,
STAFE,,,,,,6.60E-07,,,6.41E-07,1.34E-06,1.21E-06,2.99E-06,5.10E-06,8.15E-05,,,,4.87E-06,2.89E-05,NA,,,
CUEV,,,,5.85E-07,1.10E-06,3.80E-06,6.28E-07,2.67E-06,,,3.72E-06,1.63E-06,2.91E-06,1.55E-05,1.62E-05,1.81E-05,2.29E-06,5.50E-05,1.52E-05,1.97E-04,NA,1.34E-04,1.12E-04
SUAR,,,,,,,,,1.07E-06,5.52E-07,5.74E-07,5.42E-07,8.08E-06,4.31E-06,,1.21E-06,,6.16E-07,4.72E-06,7.64E-06,1.96E-06,NA,2.41E-02
GARD,,,,,,,,,,,,,,8.95E-07,,,,,8.82E-07,9.47E-07,2.98E-06,4.65E-05,NA
