,TOR,BAR,PMOR,ELI,CHAM,PMAN,CDOU,PESP,PVIC,RED,CMAR,PIN,PCAL,CORA,EGAS,PROJ,SOMB,DAPH,PLAZ,STAFE,CUEV,SUAR,GARD
TOR,NA,,,,,,,,29.8,52.8,,27.2,19.2,11.8,7,4.4,5.6,4.2,11.2,8.2,,,
BAR,16,NA,,,,,,,,,,,,,29.8,13.2,9.8,4.4,8.2,15.4,,19,17
PMOR,,,NA,19.8,3.4,6.4,8.8,7.2,15.4,,,,,,,,,,,,,,
ELI,,27.8,3.4,NA,6.6,14,11.6,10.6,18.8,,,,,,,,,41,,,,,
CHAM,6.6,7.2,12.8,16.4,NA,8.6,2,12,25.6,,37.8,54.2,,,16.4,15.4,11.8,11,13.2,14.6,,,21
PMAN,7,7.6,6,13.2,4,NA,9.4,6,17.2,,33.2,,,28,16.6,15.4,12,11.4,14.2,12,,,
CDOU,7,7,11.2,31,1.2,12.8,NA,14.8,11,,,,54.6,,19.2,16.2,15.6,11,15.2,14.8,,,
PESP,11.2,11.4,4.4,8.4,7.6,2.4,5,NA,5.6,,,,,,,,,26.6,,,,,
PVIC,11,10.8,7,10.8,9.8,3.8,8.4,3.4,NA,,,,,,22.8,22,16,16.8,18.6,19,,,22.6
RED,,25.4,12.8,17,4.6,7.2,5.6,5.6,4.4,NA,3.4,35.6,9.2,7.4,4.8,6,17.6,17.6,16.6,,,,
CMAR,26.4,,,,,,,,19.4,25,NA,12,10.6,10.2,4.4,11.2,12.6,9.2,16.2,20.2,,,
PIN,,,,,,,,,,5.4,,NA,,,,,,,,,,,
PCAL,,,,,,16.4,,,0.6,,,,NA,,,13.2,,,,,,,
CORA,,,,,,,,,,,,,,NA,,,,,,,,,
EGAS,10.6,23.8,,29.6,47,,44.4,52.6,15.6,14.4,20.2,10.4,7.6,15,NA,1.2,4.6,4.2,8.2,6.8,34.2,30.2,
PROJ,11.6,41.4,,,17.6,,,,,33.6,19,18.2,16.8,11.4,6.6,NA,5.4,5,8.6,6.4,14.2,,
SOMB,12.2,,,,,,,,33.8,28,45.8,18.8,22,9,7.8,10.2,NA,2.4,4,5.8,,,
DAPH,,,,,,,,35.2,28.2,37.4,23.2,18.2,19.2,9,,,,NA,3.6,,,,
PLAZ,,30,,,,,33,,,29,53.2,20.4,18,7.8,,,,6.8,NA,,,,
STAFE,,,,,,36,,,38.2,34,37.8,25.6,13.2,9,,,,26.6,5,NA,,,
CUEV,,,,29.6,24.2,33.2,23.4,24.6,,,34,37.2,22,20.8,14.6,13.6,15.8,11.4,11.8,6.4,NA,4,4.6
SUAR,,,,,,,,,26.8,46.4,39.4,51,20.2,22.6,,24.8,,30.2,21.4,15.2,16.4,NA,0.6
GARD,,,,,,,,,,,,,,23.2,,,,,31.6,18.8,16.2,5.6,NA
