Isla Tortuga (lat -1.01  lon -90.88),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.8805,-1.00822,25.1127,1.06276,7.72253,26.0703,-90.8805,-1.00822
-1,-90.6546,-0.999005,52.8204,6.97993,125.277,54.1931,-90.6438,-1.01841
-2,-90.4094,-1.04443,78.1614,11.5659,127.848,79.7804,-90.4086,-1.07399
-3,-90.1829,-1.07087,100.923,13.4521,138.144,103.134,-90.1822,-1.09632
-4,-89.9793,-1.09419,121.103,15.2796,167.317,124.241,-89.9788,-1.10393
-5,-89.8021,-1.13398,136.643,18.1946,171.606,141.57,-89.8056,-1.12825
-6,-89.6713,-1.1835,148.431,22.6506,168.171,155.52,-89.6868,-1.14905
-7,-89.5705,-1.21663,158.581,28.7752,175.889,168.636,-89.6062,-1.1829
-8,-89.4865,-1.25246,165.936,34.5006,182.751,181.31,-89.5198,-1.24853
-9,-89.4212,-1.26386,172.675,38.8868,169.879,193.764,-89.455,-1.25956
-10,-89.3651,-1.24081,179.081,41.4032,168.166,203.194,-89.3888,-1.21351
-11,-89.3117,-1.21908,354.468,42.9669,174.169,382.36,-89.3369,-1.20888
Barahona Beach (lat -1.04  lon -91.16),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.1538,-1.05488,15.8919,0.839574,4.29023,16.245,-91.1536,-1.05451
-1,-91.0168,-1.01366,25.6866,11.2875,66.9286,26.5442,-90.9767,-1.01265
-2,-90.9288,-1.00891,35.4546,22.4619,90.096,36.9055,-90.8328,-1.01219
-3,-90.8416,-1.02028,43.5789,34.3646,84.9469,45.4313,-90.7319,-1.03137
-4,-90.7693,-1.03133,50.4909,44.5098,85.8041,52.6095,-90.6214,-1.03394
-5,-90.7086,-1.04491,56.5437,53.3177,84.0876,58.9815,-90.5052,-1.05777
-6,-90.6566,-1.06122,61.7084,61.0836,79.7967,64.8794,-90.4111,-1.09322
-7,-90.6127,-1.07651,65.5949,67.8873,84.0858,69.993,-90.2843,-1.1099
-8,-90.5801,-1.08913,68.4544,73.2351,81.5105,74.7754,-90.1838,-1.13797
-9,-90.5557,-1.09729,70.7168,77.5371,75.5036,78.9608,-90.0657,-1.14592
-10,-90.5368,-1.08974,73.7114,80.5895,79.7933,82.8946,-90.0167,-1.17679
-11,-90.5203,-1.06839,144.451,82.3497,88.3741,156.372,-89.9986,-1.16398
Punta Moreno (lat -0.72  lon -91.35),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.3494,-0.721127,2.64158,0.908183,5.14874,2.83583,-91.3499,-0.722136
-1,-91.3623,-0.741082,4.62716,1.87235,13.7299,4.9532,-91.3712,-0.741961
-2,-91.376,-0.752532,7.28021,3.26854,22.311,8.25494,-91.4006,-0.767556
-3,-91.3931,-0.769194,9.70779,5.64198,36.8985,12.203,-91.4362,-0.829225
-4,-91.4013,-0.789433,11.8715,7.97126,57.4921,16.2276,-91.3835,-0.883928
-5,-91.3921,-0.806569,13.6368,10.5832,51.4849,18.5695,-91.2803,-0.909711
-6,-91.3762,-0.806823,14.2968,12.2407,57.4915,20.7402,-91.1999,-0.891706
-7,-91.3713,-0.810187,16.2948,12.8506,59.2081,24.1708,-91.1515,-0.88532
-8,-91.3767,-0.827351,19.1524,14.0172,68.6462,28.4631,-91.1049,-0.922577
-9,-91.3793,-0.852932,21.6816,16.4492,72.0775,32.4005,-91.0962,-0.975933
-10,-91.3765,-0.875517,24.9793,18.865,66.9289,37.6444,-91.0484,-1.04053
-11,-91.3576,-0.898387,44.5954,23.0707,78.9416,66.694,-90.9721,-1.04062
Marielas-Bahia Elizabeth (lat -0.60  lon -91.09),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.0926,-0.593866,1.91562,0.908372,5.14887,2.17309,-91.0916,-0.594371
-1,-91.0889,-0.610703,2.87746,1.78806,14.5884,3.30142,-91.0928,-0.6042
-2,-91.0907,-0.619176,3.23932,2.27737,10.2977,3.82336,-91.0928,-0.6042
-3,-91.0928,-0.62161,3.36556,2.40158,10.2977,4.10179,-91.0936,-0.603219
-4,-91.0938,-0.622122,3.45224,2.44323,8.58144,4.30074,-91.0933,-0.603453
-5,-91.0946,-0.622323,3.58665,2.44237,6.86516,4.5477,-91.0933,-0.602171
-6,-91.0958,-0.62254,3.76176,2.43271,9.43959,4.82144,-91.0949,-0.604747
-7,-91.0973,-0.62271,3.91081,2.45961,10.2977,5.0798,-91.0946,-0.605005
-8,-91.0987,-0.622829,3.99271,2.48944,9.43959,5.39825,-91.0946,-0.604092
-9,-91.0994,-0.622913,4.05718,2.47494,10.2977,5.71912,-91.0946,-0.601803
-10,-91.1,-0.622912,4.1012,2.46692,9.43959,6.00389,-91.0927,-0.604184
-11,-91.0996,-0.622799,7.54051,2.48284,9.4396,9.99427,-91.093,-0.602223
Cabo Hammond (lat -0.47  lon -91.61),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.6179,-0.466607,9.84551,0.896349,5.14898,11.2716,-91.6179,-0.466606
-1,-91.5536,-0.527532,17.9018,8.55189,114.992,21.0561,-91.5602,-0.552796
-2,-91.5287,-0.595616,27.1404,17.3926,123.571,33.2141,-91.5231,-0.660987
-3,-91.4782,-0.661705,35.7536,24.9289,132.15,47.4208,-91.4503,-0.749507
-4,-91.4141,-0.705243,46.984,34.0686,117.56,61.6538,-91.3767,-0.738428
-5,-91.3167,-0.732307,60.4502,44.3788,126.997,77.1228,-91.2961,-0.750822
-6,-91.1959,-0.741646,72.7381,53.3578,133.862,90.8644,-91.1495,-0.785625
-7,-91.0854,-0.747668,83.7511,61.8913,121.849,103.608,-91.0535,-0.790592
-8,-90.9875,-0.762856,92.581,70.8217,123.565,114.296,-91.0054,-0.76704
-9,-90.9109,-0.783913,99.2566,79.0784,108.119,122.58,-90.9851,-0.847489
-10,-90.8544,-0.804505,104.404,85.367,106.402,129.898,-90.8872,-0.864452
-11,-90.8084,-0.809851,201.286,90.0339,114.125,229.264,-90.8048,-0.882748
Punta Mangle (lat -0.46  lon -91.39),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.386,-0.469385,4.87314,0.955907,5.14898,6.77755,-91.386,-0.469384
