Isla Tortuga (lat -1.01  lon -90.88),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.8847,-0.999966,33.9484,1.41684,13.729,34.43,NaN,NaN
-1,-90.5799,-1.02017,62.7972,9.48676,562.884,64.3331,-90.5881,-1.02092
-2,-90.3224,-1.05386,87.0412,17.5496,1112.04,91.1495,-90.3856,-1.03573
-3,-90.1042,-1.04987,111.718,27.4049,1317.96,117.772,-90.2386,-1.03621
-4,-89.8823,-1.06016,138.295,36.7686,1647.44,147.093,-90.05,-1.04389
-5,-89.6457,-1.0954,164.092,48.6604,1963.17,175.299,-89.8569,-1.11075
-6,-89.423,-1.16111,185.78,60.0854,1894.44,198.83,-89.6875,-1.19124
-7,-89.2501,-1.25169,202.489,66.9097,1660.99,217.579,-89.5933,-1.26816
-8,-89.1115,-1.31014,218.64,71.6792,1660.93,235.838,-89.5073,-1.32661
-9,-88.9696,-1.34164,233.241,78.3434,1688.39,253.291,-89.4588,-1.39046
-10,-88.8402,-1.36441,247.631,86.5103,1578.48,271.137,-89.2343,-1.39186
-11,-88.7106,-1.36225,491.404,95.1829,1523.57,525.94,-89.2056,-1.42948
Barahona Beach (lat -1.04  lon -91.16),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.1514,-1.06663,30.319,1.41682,13.7287,30.8794,NaN,NaN
-1,-90.8828,-1.01844,54.0072,8.64583,466.781,55.5321,-90.9086,-1.03044
-2,-90.6697,-1.01238,73.4172,20.4299,933.565,76.0147,-90.7032,-1.04105
-3,-90.4963,-1.03432,96.0439,29.3859,1359.15,99.9574,-90.551,-1.05693
-4,-90.2958,-1.06957,118.752,39.0468,1812.17,123.944,-90.3659,-1.06597
-5,-90.0992,-1.12574,141.885,50.551,2155.34,148.779,-90.1865,-1.09516
-6,-89.9111,-1.21494,162.091,64.2,2114.06,171.187,-90.0097,-1.16582
-7,-89.7487,-1.29682,180.058,76.5484,2347.28,191.513,-89.8704,-1.24623
-8,-89.6012,-1.36327,195.378,85.8025,2196.21,209.125,-89.7788,-1.31068
-9,-89.4702,-1.40607,208.348,94.0129,1962.82,224.536,-89.7056,-1.3619
-10,-89.3561,-1.43115,220.41,102.587,2086.32,239.769,-89.6556,-1.35462
-11,-89.2477,-1.4258,436.772,110.725,1949.02,462.499,-89.5491,-1.37539
Punta Moreno (lat -0.72  lon -91.35),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
