site,day,mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
TOR,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
TOR,-1,-90.8805,-1.00822,29.1224,1.06278,7.72253,29.6519,-90.8805,-1.00822
TOR,-2,-90.713,-0.806594,54.1609,6.63761,128.716,55.2662,-90.7063,-0.792255
TOR,-3,-90.6158,-0.603339,80.0827,13.0694,189.649,82.2323,-90.5727,-0.663713
TOR,-4,-90.4521,-0.437121,99.7949,16.524,180.214,104.161,-90.4298,-0.553036
TOR,-5,-90.2937,-0.357185,118.849,18.5035,214.543,124.922,-90.4223,-0.477473
TOR,-6,-90.1437,-0.274084,142.207,23.4671,211.971,149.318,-90.3646,-0.441164
TOR,-7,-89.9527,-0.186389,167.13,29.922,199.099,175.741,-90.2322,-0.344273
TOR,-8,-89.7394,-0.117013,193.076,38.319,179.361,203.453,-89.9658,-0.213962
TOR,-9,-89.513,-0.0599854,219.032,46.8049,148.466,230.87,-89.5334,-0.196738
TOR,-10,-89.2837,-0.0153708,244.534,53.497,123.579,257.512,-89.6123,-0.0757132
TOR,-11,-89.0565,0.0174466,476.875,59.2231,100.783,494.961,-88.9794,0.0306043
BAR,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
BAR,-1,-91.1538,-1.05488,27.9949,0.83961,4.29023,28.0623,-91.1536,-1.05451
BAR,-2,-90.9127,-0.98181,54.797,6.72357,133.858,55.5557,-90.9553,-0.990411
BAR,-3,-90.7355,-0.81805,79.5237,9.40921,195.647,80.9583,-90.8229,-0.838086
BAR,-4,-90.6325,-0.620804,105.12,16.2089,199.946,107.949,-90.7074,-0.737499
BAR,-5,-90.4676,-0.459946,124.482,15.0357,199.953,128.45,-90.5986,-0.59648
BAR,-6,-90.2974,-0.422795,138.463,16.2449,211.968,144.258,-90.506,-0.581514
BAR,-7,-90.1736,-0.400618,157.932,24.1549,209.394,165.857,-90.3368,-0.547398
BAR,-8,-90.001,-0.370135,181.497,37.34,185.365,191.87,-90.0607,-0.43844
BAR,-9,-89.7892,-0.360249,205.85,52.7615,163.052,218.11,-89.8575,-0.454067
BAR,-10,-89.57,-0.358808,229.377,65.6031,143.314,243.323,-89.4518,-0.297235
BAR,-11,-89.3583,-0.353385,443.182,74.7482,109.846,460.115,-89.2981,-0.313673
PMOR,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
PMOR,-1,-91.3499,-0.722137,7.14087,0.955927,5.14874,7.71008,-91.3499,-0.722136
PMOR,-2,-91.414,-0.727019,23.4515,4.48181,105.549,24.4774,-91.4391,-0.71331
PMOR,-3,-91.5405,-0.652561,46.0387,12.1143,283.184,47.8292,-91.525,-0.641243
PMOR,-4,-91.7228,-0.562695,76.4008,18.5654,249.722,79.4842,-91.6769,-0.576154
PMOR,-5,-91.9918,-0.514645,119.874,28.8906,215.398,124.066,-91.8883,-0.53959
PMOR,-6,-92.383,-0.507193,174.773,42.7287,177.836,179.563,-92.3476,-0.464472
PMOR,-7,-92.8769,-0.517785,197.164,54.1523,485.154,237.84,-92.7139,-0.435825
PMOR,-8,-93.0777,-0.501078,202.855,53.9554,409.028,295.953,-93.2349,-0.463486
PMOR,-9,-93.1158,-0.466821,215.019,57.5692,79.4309,351.759,-93.4022,-0.43697
PMOR,-10,-93.014,-0.426509,232.178,68.5196,10.298,403.105,NaN,NaN
PMOR,-11,-92.8599,-0.416655,403.894,85.5487,3.43275,580.165,NaN,NaN
ELI,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
ELI,-1,-91.0944,-0.593446,0.199152,0.856474,4.29073,1.90649,-91.0934,-0.593445
ELI,-2,-91.0961,-0.593666,1.25899,1.89338,25.7444,4.14083,-91.1181,-0.585214
ELI,-3,-91.1057,-0.594045,3.53461,3.41848,59.2122,7.49638,-91.1727,-0.587069
ELI,-4,-91.1252,-0.600135,6.76717,6.17313,93.5379,11.6298,-91.2385,-0.627217
ELI,-5,-91.1526,-0.609825,10.6432,9.98338,102.977,16.7969,-91.279,-0.63242
ELI,-6,-91.187,-0.615908,15.2457,14.718,103.835,22.5985,-91.2996,-0.636207
ELI,-7,-91.2279,-0.609063,21.8305,20.3592,90.9631,30.4417,-91.358,-0.633115
ELI,-8,-91.2844,-0.591325,30.9538,28.2992,90.1055,41.089,-91.4249,-0.565008
ELI,-9,-91.3657,-0.579906,42.6061,40.1734,122.543,54.8062,-91.9347,-0.519121
ELI,-10,-91.4706,-0.578536,46.3995,55.4671,131.468,69.6289,-92.2104,-0.532372
ELI,-11,-91.5047,-0.577947,92.9727,60.6243,134.557,117.432,-92.332,-0.53556
CHAM,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
CHAM,-1,-91.6179,-0.466607,5.87703,0.896381,5.14898,8.87233,-91.6179,-0.466606
CHAM,-2,-91.6315,-0.517715,16.4735,6.7442,151.036,21.9005,-91.6597,-0.495624
CHAM,-3,-91.7074,-0.57546,27.5648,13.4101,221.403,36.3305,-91.7433,-0.521566
CHAM,-4,-91.8005,-0.61149,39.2047,22.4753,228.266,54.838,-91.8786,-0.544512
CHAM,-5,-91.9001,-0.643874,52.0282,38.1261,223.319,79.0184,-92.1365,-0.593954
CHAM,-6,-92.0112,-0.675086,61.0939,61.7966,296.5,101.748,-92.2882,-0.641901
CHAM,-7,-91.9309,-0.68907,87.551,67.1947,282.29,122.251,-92.183,-0.659066
CHAM,-8,-91.6933,-0.672654,99.2599,61.6376,141.589,143.781,-91.9742,-0.642089
CHAM,-9,-91.6253,-0.592179,110.079,65.9401,107.268,169.108,-91.3187,-0.664271
CHAM,-10,-91.6839,-0.514443,116.387,81.5218,80.6672,197.463,-91.3781,-0.598678
CHAM,-11,-91.7266,-0.477074,129.243,101.807,66.216,300.507,-91.7666,-0.474214
PMAN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
PMAN,-1,-91.386,-0.469385,7.47808,0.955947,5.14898,8.06521,-91.386,-0.469384
PMAN,-2,-91.4359,-0.514535,16.0761,2.82199,47.1987,17.7212,-91.4018,-0.485178
PMAN,-3,-91.4904,-0.569482,25.9314,6.69078,120.141,28.2936,-91.4289,-0.532586
PMAN,-4,-91.5339,-0.646754,33.9867,10.0409,183.642,37.8224,-91.4643,-0.600662
PMAN,-5,-91.548,-0.717865,37.3929,11.3311,201.659,48.2185,-91.4995,-0.661575
PMAN,-6,-91.5554,-0.747614,39.3284,15.1152,233.407,61.015,-91.5338,-0.719406
PMAN,-7,-91.5503,-0.730941,45.7185,23.1563,233.407,76.9877,-91.5126,-0.766894
PMAN,-8,-91.5232,-0.680223,53.068,32.9959,202.516,95.3569,-91.3893,-0.765944
PMAN,-9,-91.5206,-0.614137,62.5086,43.2696,136.443,115.889,-91.3505,-0.724086
PMAN,-10,-91.5837,-0.557298,74.0087,56.2545,78.5027,140.325,-91.5321,-0.594493
PMAN,-11,-91.6818,-0.524399,107.162,73.8046,47.8504,216.739,-91.6816,-0.595731
CDOU,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
CDOU,-1,-91.6566,-0.297576,7.64222,0.995623,6.00726,9.71439,-91.6563,-0.298105
CDOU,-2,-91.6455,-0.365444,12.3833,7.97306,157.046,19.5129,-91.6544,-0.350841
CDOU,-3,-91.6643,-0.40372,18.8856,16.0266,281.479,29.6443,-91.6897,-0.378955
CDOU,-4,-91.7146,-0.43365,26.8999,23.2202,220.547,41.6404,-91.737,-0.391765
CDOU,-5,-91.7841,-0.452849,38.2309,30.9269,180.211,59.6825,-91.8004,-0.437182
CDOU,-6,-91.8823,-0.480575,53.2051,43.8345,132.152,86.19,-91.8666,-0.508001
CDOU,-7,-92.0117,-0.518111,64.2649,65.199,186.656,118.376,-92.008,-0.575665
CDOU,-8,-92.1102,-0.532521,83.3408,88.1888,186.214,149.869,-92.1239,-0.599899
CDOU,-9,-91.9391,-0.518406,97.4566,89.8961,61.7835,180.985,-91.3278,-0.702312
CDOU,-10,-91.8235,-0.465626,107.543,93.8166,44.623,211.804,-91.1071,-0.655591
CDOU,-11,-91.7458,-0.418716,124.131,103.506,36.0426,316.232,-90.5579,-0.598666
PESP,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
PESP,-1,-91.4277,-0.272182,3.81888,0.95599,5.14909,5.87764,-91.4277,-0.272181
PESP,-2,-91.4029,-0.295986,5.4014,5.19516,114.138,12.0905,-91.4044,-0.290896
PESP,-3,-91.3887,-0.297109,6.45259,10.5031,199.956,19.2989,-91.3886,-0.301853
PESP,-4,-91.3899,-0.306486,10.2093,16.655,296.071,27.6425,-91.4041,-0.330175
PESP,-5,-91.4188,-0.324038,16.444,22.5602,264.318,36.9825,-91.4281,-0.364314
PESP,-6,-91.4681,-0.350865,25.9596,28.5665,160.478,48.9898,-91.4999,-0.418073
PESP,-7,-91.5482,-0.381128,41.8962,36.2726,134.731,67.8481,-91.6454,-0.434313
PESP,-8,-91.6904,-0.399991,62.8004,48.6871,50.5274,94.0582,-91.8769,-0.467654
PESP,-9,-91.8784,-0.406103,78.4868,65.2372,38.7891,124.463,-92.1353,-0.412266
PESP,-10,-92.0192,-0.416555,81.8389,76.8825,25.7795,156.34,-92.0505,-0.459975
PESP,-11,-92.0436,-0.434311,151.777,80.8089,22.5519,246.552,-92.2946,-0.518247
PVIC,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
PVIC,-1,-91.536,-0.0527596,3.84753,0.955964,5.14915,5.14369,-91.536,-0.0527587
PVIC,-2,-91.5168,-0.0816119,9.63435,4.98089,89.2518,12.3762,-91.5162,-0.102705
PVIC,-3,-91.4907,-0.126626,18.7567,10.5307,152.758,22.876,-91.4904,-0.161072
PVIC,-4,-91.4515,-0.198802,29.1358,15.9689,205.964,34.1817,-91.4637,-0.210444
PVIC,-5,-91.4061,-0.280406,38.5039,16.4871,223.985,45.236,-91.4359,-0.267613
PVIC,-6,-91.3773,-0.359647,46.2342,14.3086,245.437,55.0799,-91.4441,-0.3055
PVIC,-7,-91.3787,-0.429201,52.7914,13.8288,242.861,64.2939,-91.4126,-0.403328
PVIC,-8,-91.3933,-0.486378,58.4693,16.4404,211.966,72.9004,-91.4261,-0.500705
PVIC,-9,-91.4074,-0.535486,61.5791,20.0575,199.091,81.6965,-91.4537,-0.54929
PVIC,-10,-91.4254,-0.556873,65.4975,22.9353,164.764,92.7413,-91.4235,-0.604933
PVIC,-11,-91.4599,-0.549252,122.246,27.6625,117.565,155.745,-91.3867,-0.669345
RED,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
RED,-1,-91.6304,-0.266627,3.06835,1.06272,7.72364,4.92131,-91.6304,-0.266626
RED,-2,-91.6436,-0.290864,3.99346,4.20467,98.6908,11.8573,-91.658,-0.286304
RED,-3,-91.645,-0.28265,8.14547,10.2298,202.53,19.4229,-91.6793,-0.308071
RED,-4,-91.6819,-0.276536,16.1263,16.5435,201.672,29.4112,-91.7503,-0.322872
RED,-5,-91.7536,-0.272586,28.1588,23.4376,214.545,42.71,-91.8654,-0.329897
RED,-6,-91.8618,-0.277476,43.3643,31.6338,209.12,59.6554,-92.0542,-0.382831
RED,-7,-91.998,-0.290342,50.3922,44.8533,241.833,78.0183,-92.2835,-0.44176
RED,-8,-92.0612,-0.289066,59.5447,49.3468,155.913,99.8152,-92.3632,-0.462458
RED,-9,-92.1435,-0.285522,74.6379,54.8003,82.0748,126.763,-92.1408,-0.375789
RED,-10,-92.2792,-0.279776,82.9733,65.6613,116.64,156.482,-92.4909,-0.350544
RED,-11,-92.3534,-0.26857,163.747,72.1468,56.8108,243.89,-92.52,-0.276272
CMAR,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
CMAR,-1,-91.2193,0.00279069,7.99467,0.955996,5.14915,9.01923,-91.2193,0.00279125
CMAR,-2,-91.164,-0.0432082,22.2731,7.05536,119.288,24.3325,-91.1281,-0.0930843
CMAR,-3,-91.0457,-0.0933541,36.5717,15.5463,204.249,40.0019,-90.9986,-0.171066
CMAR,-4,-90.925,-0.137857,46.7865,25.3297,231.711,53.5017,-90.8971,-0.182693
