"","Start","End","Flat","Flon","Tlat","Tlon","Calcdistance"
"1","BAR","BAR",-1.03875,-91.1563666666667,-1.03875,-91.1563666666667,0
"2","CDOU","BAR",-0.302816666666667,-91.6517333333333,-1.03875,-91.1563666666667,120608.901389854
"3","CHAM","BAR",-0.469583333333333,-91.6111833333333,-1.03875,-91.1563666666667,99633.5065437069
"4","CMAR","BAR",-0.00133333333333333,-91.22385,-1.03875,-91.1563666666667,155809.298978268
"5","CORA","BAR",0.311316666666667,-89.97515,-1.03875,-91.1563666666667,206664.553913102
"6","CUEV","BAR",-1.25335,-90.3741,-1.03875,-91.1563666666667,93130.0394274978
"7","DAPH","BAR",-0.4258,-90.3721166666667,-1.03875,-91.1563666666667,115059.064292781
"8","EGAS","BAR",-0.2596,-90.8687833333333,-1.03875,-91.1563666666667,115835.655514705
"9","ELI","BAR",-0.59505,-91.0859,-1.03875,-91.1563666666667,110252.204859874
"10","GARD","BAR",-1.36546666666667,-89.6393166666667,-1.03875,-91.1563666666667,178589.690406014
"11","PCAL","BAR",0.286433333333333,-90.5018166666667,-1.03875,-91.1563666666667,180324.874081538
"12","PESP","BAR",-0.272283333333333,-91.4353833333333,-1.03875,-91.1563666666667,125077.227256239
"13","PIN","BAR",0.603883333333333,-90.7898333333333,-1.03875,-91.1563666666667,212944.033983898
"14","PLAZ","BAR",-0.567566666666667,-90.1736166666667,-1.03875,-91.1563666666667,132546.410221071
"15","PMAN","BAR",-0.458566666666667,-91.3908333333333,-1.03875,-91.1563666666667,101105.672375084
"16","PMOR","BAR",-0.7223,-91.3450666666667,-1.03875,-91.1563666666667,77408.4695017145
"17","PROJ","BAR",-0.40895,-90.7155333333333,-1.03875,-91.1563666666667,97683.1649810534
"18","PVIC","BAR",-0.0453666666666667,-91.5430166666667,-1.03875,-91.1563666666667,151033.592675349
"19","RED","BAR",0.2706,-91.6264833333333,-1.03875,-91.1563666666667,183384.971594777
"20","SOMB","BAR",-0.350816666666667,-90.5685,-1.03875,-91.1563666666667,107988.45771289
"21","STAFE","BAR",-0.799483333333333,-90.04745,-1.03875,-91.1563666666667,130632.714014184
"22","SUAR","BAR",-1.35056666666667,-89.7104333333333,-1.03875,-91.1563666666667,169021.311627903
"23","TOR","BAR",-1.01171666666667,-90.8767,-1.03875,-91.1563666666667,31828.5597494627
"24","BAR","CDOU",-1.03875,-91.1563666666667,-0.302816666666667,-91.6517333333333,120608.901389854
"25","CDOU","CDOU",-0.302816666666667,-91.6517333333333,-0.302816666666667,-91.6517333333333,0
"26","CHAM","CDOU",-0.469583333333333,-91.6111833333333,-0.302816666666667,-91.6517333333333,21444.4233102424
"27","CMAR","CDOU",-0.00133333333333333,-91.22385,-0.302816666666667,-91.6517333333333,93108.7268665041
"28","CORA","CDOU",0.311316666666667,-89.97515,-0.302816666666667,-91.6517333333333,225021.935018043
"29","CUEV","CDOU",-1.25335,-90.3741,-0.302816666666667,-91.6517333333333,211233.884182547
"30","DAPH","CDOU",-0.4258,-90.3721166666667,-0.302816666666667,-91.6517333333333,197378.024671584
"31","EGAS","CDOU",-0.2596,-90.8687833333333,-0.302816666666667,-91.6517333333333,141049.075698239
"32","ELI","CDOU",-0.59505,-91.0859,-0.302816666666667,-91.6517333333333,79076.9028433237
"33","GARD","CDOU",-1.36546666666667,-89.6393166666667,-0.302816666666667,-91.6517333333333,296693.535161063
"34","PCAL","CDOU",0.286433333333333,-90.5018166666667,-0.302816666666667,-91.6517333333333,165931.306263164
"35","PESP","CDOU",-0.272283333333333,-91.4353833333333,-0.302816666666667,-91.6517333333333,25875.947618669
"36","PIN","CDOU",0.603883333333333,-90.7898333333333,-0.302816666666667,-91.6517333333333,148033.869524093
"37","PLAZ","CDOU",-0.567566666666667,-90.1736166666667,-0.302816666666667,-91.6517333333333,225362.595745658
"38","PMAN","CDOU",-0.458566666666667,-91.3908333333333,-0.302816666666667,-91.6517333333333,49325.3396768269
"39","PMOR","CDOU",-0.7223,-91.3450666666667,-0.302816666666667,-91.6517333333333,62681.0196674737
"40","PROJ","CDOU",-0.40895,-90.7155333333333,-0.302816666666667,-91.6517333333333,164966.322086978
"41","PVIC","CDOU",-0.0453666666666667,-91.5430166666667,-0.302816666666667,-91.6517333333333,31429.0214485289
"42","RED","CDOU",0.2706,-91.6264833333333,-0.302816666666667,-91.6517333333333,63780.4032224506
"43","SOMB","CDOU",-0.350816666666667,-90.5685,-0.302816666666667,-91.6517333333333,180031.249250834
"44","STAFE","CDOU",-0.799483333333333,-90.04745,-0.302816666666667,-91.6517333333333,249386.427344881
"45","SUAR","CDOU",-1.35056666666667,-89.7104333333333,-0.302816666666667,-91.6517333333333,287125.156382952
"46","TOR","CDOU",-1.01171666666667,-90.8767,-0.302816666666667,-91.6517333333333,150582.377636823
"47","BAR","CHAM",-1.03875,-91.1563666666667,-0.469583333333333,-91.6111833333333,99633.5065437069
"48","CDOU","CHAM",-0.302816666666667,-91.6517333333333,-0.469583333333333,-91.6111833333333,21444.4233102424
"49","CHAM","CHAM",-0.469583333333333,-91.6111833333333,-0.469583333333333,-91.6111833333333,0
"50","CMAR","CHAM",-0.00133333333333333,-91.22385,-0.469583333333333,-91.6111833333333,113548.818633466
"51","CORA","CHAM",0.311316666666667,-89.97515,-0.469583333333333,-91.6111833333333,245462.026785005
"52","CUEV","CHAM",-1.25335,-90.3741,-0.469583333333333,-91.6111833333333,190258.4893364
"53","DAPH","CHAM",-0.4258,-90.3721166666667,-0.469583333333333,-91.6111833333333,212837.5311019
"54","EGAS","CHAM",-0.2596,-90.8687833333333,-0.469583333333333,-91.6111833333333,161489.167465201
"55","ELI","CHAM",-0.59505,-91.0859,-0.469583333333333,-91.6111833333333,62774.6024325936
"56","GARD","CHAM",-1.36546666666667,-89.6393166666667,-0.469583333333333,-91.6111833333333,275718.140314916
"57","PCAL","CHAM",0.286433333333333,-90.5018166666667,-0.469583333333333,-91.6111833333333,186371.398030125
"58","PESP","CHAM",-0.272283333333333,-91.4353833333333,-0.469583333333333,-91.6111833333333,46670.7680023247
"59","PIN","CHAM",0.603883333333333,-90.7898333333333,-0.469583333333333,-91.6111833333333,168473.961291054
"60","PLAZ","CHAM",-0.567566666666667,-90.1736166666667,-0.469583333333333,-91.6111833333333,230324.800436355
"61","PMAN","CHAM",-0.458566666666667,-91.3908333333333,-0.469583333333333,-91.6111833333333,28432.7299304816
"62","PMOR","CHAM",-0.7223,-91.3450666666667,-0.469583333333333,-91.6111833333333,41788.4099211284
"63","PROJ","CHAM",-0.40895,-90.7155333333333,-0.469583333333333,-91.6111833333333,185406.413853939
