"","BAR.1","BAR.2","BAR.3","CDOU.2","CDOU.3","CDOU1.REDO.U","CHAM.1","CHAM.2","CHAM.3","CMAR.1","CMAR.2","CMAR.3","CORA.1","CORA.2","CORA.3","CUEV.1","CUEV.2","CUEV.3","DAPH.1","DAPH.2","DAPH.3","EGAS.1","EGAS.2","EGAS.3","ELI.1","ELI.2","ELI.3","GARD.1","GARD.2","GARD.3","PCAL.1","PCAL.2","PCAL.3","PESP.1","PESP.2","PESP.3","PIN.1","PIN.2","PIN.3","PLAZ.1","PLAZ.2","PLAZ.3","PMAN.1","PMAN.2","PMAN.3","PMOR.1","PMOR.2","PMOR.3","PROJ.1","PROJ.2","PROJ.3","PVIC.1","PVIC.2","PVIC.3","RED.1","RED.2","RED.3","SOMB.1","SOMB.2","SOMB.3","STAFE.1","STAFE.2","STAFE.3","SUAR.1","SUAR.2","SUAR.3","TOR.1","TOR.2","TOR.3"
"ASV_1",0,0,0,3631,17440,1441,13541,7126,9394,17712,15488,27728,12641,13198,25369,163794,54285,33499,2550,2935,5020,51114,45648,48428,0,0,59,18197,8803,23493,31995,53149,49161,2793,9875,1243,5132,18498,4561,7211,15654,21213,698,21,0,9173,22428,4819,26422,27267,998,11690,18860,4264,31408,2517,10293,32952,38680,9966,7656,14804,4858,23149,13051,5075,17767,4385,5550
"ASV_2",0,0,147,28425,38606,3822,25662,17469,18109,12132,482,1493,0,0,0,0,0,989,7801,28397,23586,45130,4614,32228,221,833,196,0,171,0,0,341,0,246,701,26532,11533,335,3180,1656,1957,34900,4165,171,1408,2858,2438,4997,22337,25065,53965,1752,3748,10259,402,7,0,13325,1045,940,2040,89,3202,225,0,2204,8316,1834,13173
"ASV_3",0,204,533,40518,54665,3786,10955,5466,10057,0,0,0,0,0,0,19147,8388,2329,192,954,17655,0,0,0,62219,27431,44795,299,0,0,0,0,0,131,0,43663,0,0,0,582,118,787,1624,76,213,19375,8691,34098,161,0,264,0,0,524,0,0,0,0,1145,245,12168,14908,10618,0,0,0,17030,6069,2670
"ASV_4",2775,2502,2150,14565,14409,5411,4759,5776,5923,17562,16057,2739,1927,6556,12031,13797,4189,6981,2595,2186,8111,8048,367,1151,2124,15316,557,8644,2039,3023,4073,9599,1567,2510,17224,12804,2093,1699,2278,13668,10234,17207,8610,749,7217,4005,1411,9315,523,3719,3445,1266,0,996,4799,154,944,890,2325,947,5095,1337,7031,8077,28477,30252,0,15096,2592
"ASV_5",2153,1837,875,236,510,55,2897,853,236,8074,10080,15691,19878,3267,7595,16961,3338,8121,86056,5213,4833,1207,10275,1122,0,0,0,7464,12265,7882,14669,31917,7463,0,0,468,551,843,931,4565,5641,9670,855,46,119,0,0,0,7564,6935,8077,442,0,2385,3568,560,3679,3547,8704,3284,19962,6152,28980,4345,2094,4443,0,0,0
"ASV_6",0,0,0,1555,2637,600,1329,1417,1150,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,13,92,0,0,0,0,0,0,0,230597,98171,8363,0,0,0,0,0,0,306,0,0,7004,89,2112,0,0,0,3302,4630,7546,0,0,1318,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_7",0,0,0,658,2977,178,2927,1633,787,14129,8734,22644,0,52,152,7121,1078,6825,17498,13720,15097,20716,1792,7924,24,1093,0,991,2012,586,918,2227,640,831,2718,1090,1611,975,640,6242,4177,6042,0,0,467,2586,12399,4260,9386,10353,7346,789,0,0,79,0,0,8628,44028,8068,3706,2108,2755,12746,3198,7960,0,12884,0
"ASV_8",0,0,0,0,0,0,0,0,0,150,957,0,0,144,0,0,0,0,0,0,0,801,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10901,278938,11723,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_9",0,0,0,532,1800,221,1555,1391,3829,232,267,227,285,1177,3788,1081,622,0,0,0,68,634,394,3663,0,0,0,217,0,349,872,1760,430,0,822,0,0,0,101,1085,1696,4538,0,0,0,628,251,0,2356,6954,373,589,648,1478,111449,8295,69961,0,388,0,0,105,0,0,195,641,0,164,0
"ASV_10",613,1122,3042,3361,1249,753,8512,6586,1536,2004,2500,720,2663,3969,4926,14242,626,3904,245,399,2530,0,116,625,0,384,0,621,2340,1146,1209,4438,600,136,388,4523,6277,3744,5199,8178,4741,9584,12194,491,4904,0,410,371,2071,1864,621,950,1150,643,27831,1878,10842,2925,8803,3342,4078,4043,4505,0,437,4763,7586,6739,1277
