"","BAR.1","BAR.2","BAR.3","CDOU.2","CDOU.3","CDOU1.REDO.U","CHAM.1","CHAM.2","CHAM.3","CMAR.1","CMAR.2","CMAR.3","CORA.1","CORA.2","CORA.3","CUEV.1","CUEV.2","CUEV.3","DAPH.1","DAPH.2","DAPH.3","EGAS.1","EGAS.2","EGAS.3","ELI.1","ELI.2","ELI.3","GARD.1","GARD.2","GARD.3","PCAL.1","PCAL.2","PCAL.3","PESP.1","PESP.2","PESP.3","PIN.1","PIN.2","PIN.3","PLAZ.1","PLAZ.2","PLAZ.3","PMAN.1","PMAN.2","PMAN.3","PMOR.1","PMOR.2","PMOR.3","PROJ.1","PROJ.2","PROJ.3","PVIC.1","PVIC.2","PVIC.3","RED.1","RED.2","RED.3","SOMB.1","SOMB.2","SOMB.3","STAFE.1","STAFE.2","STAFE.3","SUAR.1","SUAR.2","SUAR.3","TOR.1","TOR.2","TOR.3"
"ASV_1",0,0,0,3963,17693,1441,14151,7405,10608,18203,15654,28297,13188,13198,26152,165183,56881,33894,2550,3046,5020,51206,46978,48574,0,0,59,18367,9492,25072,32194,53460,52321,2793,10197,1393,5132,19007,4561,7897,15753,21213,698,21,0,9339,24875,4819,26544,27505,998,12260,19168,4805,31701,2517,10488,34726,38680,9966,8577,14804,5038,23941,13187,5591,18432,4385,5550
"ASV_10",613,1122,3042,3577,1249,753,9101,6784,1536,2072,2500,720,2663,4025,5136,14698,626,4956,245,399,2530,0,116,625,0,384,0,621,2340,1146,1297,5295,1042,136,388,4629,6277,3977,5199,9001,4846,9697,13440,491,5413,0,410,371,2071,2159,621,950,1150,643,27990,1878,11259,3039,9008,3342,4078,4043,4696,0,437,4763,10050,7157,1277
"ASV_100",0,0,0,0,0,37,0,0,0,0,932,183,0,100,665,0,0,426,0,0,0,318,0,0,0,0,0,0,0,0,233,0,473,0,0,0,0,8,122,685,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,499,359,0,0,66,0,0,0,0,531,0
"ASV_1005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0
"ASV_101",0,0,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,1192,1117,210,0,0,0,0,207,33,0,0,0,1284,0,128,0,0,0,0,0,0,0,0,0,106,0,742,352,609,78,0,0,0,0,0,0,0,0,0
"ASV_102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,102,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049,5514,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0
"ASV_1023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_103",0,0,0,0,0,0,0,243,0,107,242,0,0,0,0,1110,303,0,0,66,171,0,0,0,0,0,0,0,285,0,0,0,0,0,0,77,33,224,0,153,543,419,0,0,227,0,357,0,0,0,38,0,0,0,195,0,143,0,619,232,250,0,269,0,0,334,0,0,0
"ASV_1032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0
"ASV_1033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0
"ASV_104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,2728,476,165,1709,0,972,0,470,0,0,0,0
"ASV_1041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
