"","Start","End","Flat","Flon","Tlat","Tlon","Calcdistance"
"1","BAR","BAR",-1.03875,-91.1563666666667,-1.03875,-91.1563666666667,0
"2","CDOU","BAR",-0.302816666666667,-91.6517333333333,-1.03875,-91.1563666666667,120608.901389799
"3","CHAM","BAR",-0.469583333333333,-91.6111833333333,-1.03875,-91.1563666666667,99633.5065436686
"4","CMAR","BAR",-0.00133333333333333,-91.22385,-1.03875,-91.1563666666667,155809.29897816
"5","CORA","BAR",0.311316666666667,-89.97515,-1.03875,-91.1563666666667,206664.553912996
"6","CUEV","BAR",-1.25335,-90.3741,-1.03875,-91.1563666666667,93130.0394274876
"7","DAPH","BAR",-0.4258,-90.3721166666667,-1.03875,-91.1563666666667,115059.064292759
"8","EGAS","BAR",-0.2596,-90.8687833333333,-1.03875,-91.1563666666667,115835.655514661
"9","ELI","BAR",-0.59505,-91.0859,-1.03875,-91.1563666666667,110252.20485986
"10","GARD","BAR",-1.36546666666667,-89.6393166666667,-1.03875,-91.1563666666667,178589.690405996
"11","PCAL","BAR",0.286433333333333,-90.5018166666667,-1.03875,-91.1563666666667,180324.874081443
"12","PESP","BAR",-0.272283333333333,-91.4353833333333,-1.03875,-91.1563666666667,125077.227256179
"13","PIN","BAR",0.603883333333333,-90.7898333333333,-1.03875,-91.1563666666667,212944.033983829
"14","PLAZ","BAR",-0.567566666666667,-90.1736166666667,-1.03875,-91.1563666666667,132546.410221053
"15","PMAN","BAR",-0.458566666666667,-91.3908333333333,-1.03875,-91.1563666666667,101105.67237504
"16","PMOR","BAR",-0.7223,-91.3450666666667,-1.03875,-91.1563666666667,77408.4695017008
"17","PROJ","BAR",-0.40895,-90.7155333333333,-1.03875,-91.1563666666667,97683.1649810202
"18","PVIC","BAR",-0.0453666666666667,-91.5430166666667,-1.03875,-91.1563666666667,151033.592675261
"19","RED","BAR",0.2706,-91.6264833333333,-1.03875,-91.1563666666667,183384.971594714
"20","SOMB","BAR",-0.350816666666667,-90.5685,-1.03875,-91.1563666666667,107988.457712814
"21","STAFE","BAR",-0.799483333333333,-90.04745,-1.03875,-91.1563666666667,130632.714014179
"22","SUAR","BAR",-1.35056666666667,-89.7104333333333,-1.03875,-91.1563666666667,169021.311627888
"23","TOR","BAR",-1.01171666666667,-90.8767,-1.03875,-91.1563666666667,31828.5597494627
"24","BAR","CDOU",-1.03875,-91.1563666666667,-0.302816666666667,-91.6517333333333,120608.901389799
"25","CDOU","CDOU",-0.302816666666667,-91.6517333333333,-0.302816666666667,-91.6517333333333,0
