"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",0,119.519115505792,99.0004588612042,155.639949315138,206.96895837233,92.9435246849485,114.585199771728,115.280690669492,109.752518339118,177.479235805148,180.214911640277,124.144715000812,212.502374501743,132.138322674371,100.416944431442,76.9089192097994,97.7863405666554,151.04400180598,182.944075964339,107.713551736108,129.63408129861,168.918199766938,31.8285593400473
"CDOU",119.519115505792,0,20.6844302421347,93.0491546792287,225.85420278926,210.893104952041,198.921911838966,141.01228281463,79.1045831869462,295.428423313973,166.763104666684,25.9859845126746,148.37432572407,227.743817916132,49.6319712992142,62.3844566500172,165.1414415474,31.6309736249719,63.7796871473869,180.857998901051,248.448889595702,286.867387275763,150.643412968862
"CHAM",99.0004588612044,20.6844302421347,0,113.378852285873,246.183900395904,190.374448307453,212.881480370582,161.341980421274,62.8514581292837,274.909766669386,187.092802273328,46.6704147548093,168.704023330714,230.434474326876,28.8891708279066,41.7829072657748,185.471139154044,52.2093165423234,84.1093907006822,201.187696507695,227.930232951114,266.348730631176,130.124756324274
"CMAR",155.639949315138,93.0491546792287,113.378852285873,0,146.684508709,170.013630989239,109.437897326764,49.4008942057747,146.731692839595,234.70813778648,87.7572640058102,94.5114840911552,83.1036499733528,138.259803403929,117.448004488923,147.024179060525,73.3178581967251,67.697887294296,58.2572034066411,88.9525983464229,166.293561462864,227.127245867827,129.036338834388
"CORA",206.96895837233,225.85420278926,246.183900395904,146.684508709,0,183.233224011931,93.5038306732762,121.37594723086,279.536740949627,194.130882330377,59.5229998528009,227.316532201187,101.265339277553,102.389169978766,250.253052598954,279.829227170556,117.222901270496,200.502935404327,184.972322664175,99.2564959355789,124.424352519222,190.416195001725,179.619365128853
"CUEV",92.9435246849485,210.89310495204,190.374448307453,170.013630989239,183.233224011931,0,105.295871699445,124.373286120216,201.126507785367,84.7780345841453,176.063247953382,215.518704447061,216.475382897194,81.0646294282724,191.790933877691,168.282908656048,103.329305209314,237.734728747124,228.294044859469,104.691688149642,64.2061856464654,76.2169969891295,62.7113899137132
"DAPH",114.585199771728,198.921911838966,212.881480370582,109.437897326764,93.5038306732761,105.295871699445,0,63.4500387380346,223.633539848495,136.301500135713,82.197974821058,200.384241250893,124.813075762917,28.8218519720433,214.297965940819,190.789940719177,38.7899346653882,173.570644454034,164.293499572887,23.7455037684449,57.8800295381279,130.101043440118,87.2356154280317
"EGAS",115.280690669492,141.01228281463,161.341980421274,49.4008942057747,121.37594723086,124.373286120216,63.4500387380346,0,194.694820974996,188.464219562957,74.0344320514001,142.474612226557,97.2216813217584,91.617196253198,165.411132624324,191.485431616941,25.6126401342878,115.661015429697,106.220331542042,41.3291974879385,120.04964323934,180.883327644303,88.6770801887422
"ELI",109.752518339118,79.1045831869463,62.8514581292838,146.731692839595,279.536740949627,201.126507785367,223.633539848495,194.694820974996,0,285.6618261473,220.44564282705,53.2004198414004,202.056863884436,241.186533804789,37.3177650967749,33.0557595467511,206.834680643423,80.543278304456,119.004341394719,216.761891812876,238.682292429028,277.100790109089,140.876815802188
"GARD",177.479235805147,295.428423313973,274.909766669385,234.70813778648,194.130882330377,84.7780345841453,136.301500135713,188.464219562957,285.661826147299,0,207.232618704144,300.054022808993,255.068970883219,107.479647178241,276.326252239623,252.818227017981,164.880495018119,302.429235544365,292.98855165671,159.39237463576,78.6334305940375,8.77725551066653,147.164597497479
"PCAL",180.214911640277,166.763104666684,187.092802273328,87.7572640058101,59.5229998528009,176.063247953382,82.1979748210581,74.0344320514,220.44564282705,207.232618704144,0,168.22543407861,48.6519514833035,103.481221791239,191.161954476378,220.73812904798,90.4677676313066,141.411837281751,125.665412691401,72.5013622963893,132.125096452448,202.191973648381,153.611244846059
"PESP",124.144715000812,25.9859845126746,46.6704147548093,94.5114840911551,227.316532201187,215.518704447061,200.384241250893,142.474612226556,53.2004198414004,300.054022808993,168.225434078611,0,149.836655135997,229.206147328058,23.7278079536685,53.3039825252706,166.603770959327,28.4888246110237,66.7841326462795,182.320328312977,253.074489090722,291.492986770783,155.269012463882
"PIN",212.502374501743,148.37432572407,168.704023330714,83.1036499733527,101.265339277553,216.475382897194,124.813075762917,97.2216813217584,202.056863884437,255.068970883219,48.6519514833034,149.836655135997,0,148.688675446001,172.773175533765,202.349350105367,122.61402073956,123.023058339138,101.875919795679,112.913481902336,178.552649440913,249.033633158925,185.898764020993
"PLAZ",132.138322674371,227.743817916132,230.434474326876,138.259803403929,102.389169978766,81.0646294282724,28.8218519720433,91.617196253198,241.186533804789,107.479647178241,103.481221791239,229.206147328058,148.688675446001,0,231.850959897113,208.342934675471,66.9569974812074,202.392550531199,193.115405650053,51.9127264720899,29.0581775660846,101.279190482645,100.309520248797
"PMAN",100.416944431442,49.6319712992143,28.8891708279066,117.448004488923,250.253052598954,191.790933877691,214.29796594082,165.411132624324,37.3177650967749,276.326252239624,191.161954476378,23.7278079536685,172.773175533764,231.850959897114,0,30.2370367332639,189.540291357094,51.5911067205524,89.7206530440472,207.4263179052,229.346718521352,267.765216201414,131.541241894512
"PMOR",76.9089192097995,62.3844566500172,41.7829072657748,147.024179060525,279.829227170557,168.282908656048,190.789940719177,191.485431616941,33.0557595467511,252.818227017981,220.73812904798,53.3039825252706,202.349350105367,208.342934675471,30.2370367332639,0,173.991081514104,81.1672812921545,119.296827615649,183.918292683557,205.838693299709,244.257190979771,108.033216672869
"PROJ",97.7863405666555,165.1414415474,185.471139154044,73.3178581967251,117.222901270496,103.329305209314,38.7899346653882,25.6126401342878,206.834680643423,164.880495018119,90.4677676313066,166.603770959327,122.61402073956,66.9569974812075,189.540291357094,173.991081514104,0,139.790174162467,130.349490274813,17.9664053349173,96.0151750472921,157.299603099465,71.1827300859053
"PVIC",151.04400180598,31.6309736249719,52.2093165423234,67.6978872942959,200.502935404327,237.734728747124,173.570644454034,115.661015429697,80.543278304456,302.429235544365,141.411837281751,28.4888246110237,123.023058339138,202.392550531199,51.5911067205524,81.1672812921545,139.790174162467,0,39.8876522302147,155.506731516118,231.450728097284,294.848343625711,182.16829926905
