"","Start","End","TempDiff"
"1","BAR","BAR",0
"2","CDOU","BAR",-3.87348747253418
"3","CHAM","BAR",-3.24107265472412
"4","CMAR","BAR",0.0922064781188965
"5","CORA","BAR",0.493379592895508
"6","CUEV","BAR",0.060821533203125
"7","DAPH","BAR",-0.215908527374268
"8","EGAS","BAR",0.0787239074707031
"9","ELI","BAR",-2.92029762268066
"10","GARD","BAR",0.327497800191242
"11","PCAL","BAR",0.339768409729004
"12","PESP","BAR",-3.47035980224609
"13","PIN","BAR",-1.00349760055542
"14","PLAZ","BAR",0.0965538024902344
"15","PMAN","BAR",-2.56586170196533
"16","PMOR","BAR",-3.81960678100586
"17","PROJ","BAR",0.292649745941162
"18","PVIC","BAR",-2.89533615112305
"19","RED","BAR",-2.02518892288208
"20","SOMB","BAR",0.646622657775879
"21","STAFE","BAR",-0.168197631835938
"22","SUAR","BAR",-0.854173183441162
"23","TOR","BAR",-0.0827860832214355
"24","BAR","CDOU",3.87348747253418
"25","CDOU","CDOU",0
"26","CHAM","CDOU",0.632414817810059
"27","CMAR","CDOU",3.96569395065308
"28","CORA","CDOU",4.36686706542969
"29","CUEV","CDOU",3.9343090057373
"30","DAPH","CDOU",3.65757894515991
"31","EGAS","CDOU",3.95221138000488
"32","ELI","CDOU",0.953189849853516
"33","GARD","CDOU",4.20098527272542
"34","PCAL","CDOU",4.21325588226318
"35","PESP","CDOU",0.403127670288086
"36","PIN","CDOU",2.86998987197876
"37","PLAZ","CDOU",3.97004127502441
"38","PMAN","CDOU",1.30762577056885
"39","PMOR","CDOU",0.0538806915283203
"40","PROJ","CDOU",4.16613721847534
"41","PVIC","CDOU",0.978151321411133
"42","RED","CDOU",1.8482985496521
"43","SOMB","CDOU",4.52011013031006
"44","STAFE","CDOU",3.70528984069824
"45","SUAR","CDOU",3.01931428909302
"46","TOR","CDOU",3.79070138931274
"47","BAR","CHAM",3.24107265472412
"48","CDOU","CHAM",-0.632414817810059
"49","CHAM","CHAM",0
"50","CMAR","CHAM",3.33327913284302
"51","CORA","CHAM",3.73445224761963
"52","CUEV","CHAM",3.30189418792725
"53","DAPH","CHAM",3.02516412734985
"54","EGAS","CHAM",3.31979656219482
"55","ELI","CHAM",0.320775032043457
"56","GARD","CHAM",3.56857045491536
"57","PCAL","CHAM",3.58084106445312
"58","PESP","CHAM",-0.229287147521973
"59","PIN","CHAM",2.2375750541687
"60","PLAZ","CHAM",3.33762645721436
"61","PMAN","CHAM",0.675210952758789
"62","PMOR","CHAM",-0.578534126281738
"63","PROJ","CHAM",3.53372240066528
"64","PVIC","CHAM",0.345736503601074
"65","RED","CHAM",1.21588373184204
"66","SOMB","CHAM",3.8876953125
"67","STAFE","CHAM",3.07287502288818
"68","SUAR","CHAM",2.38689947128296
"69","TOR","CHAM",3.15828657150269
"70","BAR","CMAR",-0.0922064781188965
"71","CDOU","CMAR",-3.96569395065308
"72","CHAM","CMAR",-3.33327913284302
"73","CMAR","CMAR",0
"74","CORA","CMAR",0.401173114776611
"75","CUEV","CMAR",-0.0313849449157715
"76","DAPH","CMAR",-0.308115005493164
"77","EGAS","CMAR",-0.0134825706481934
"78","ELI","CMAR",-3.01250410079956
"79","GARD","CMAR",0.235291322072346
"80","PCAL","CMAR",0.247561931610107
"81","PESP","CMAR",-3.56256628036499
"82","PIN","CMAR",-1.09570407867432
"83","PLAZ","CMAR",0.00434732437133789
"84","PMAN","CMAR",-2.65806818008423
"85","PMOR","CMAR",-3.91181325912476
"86","PROJ","CMAR",0.200443267822266
"87","PVIC","CMAR",-2.98754262924194
"88","RED","CMAR",-2.11739540100098
