"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.119059885769354,-0.122350565640489,-0.130164198826985,-0.106424311714089,0.0610482457727162,-0.0741510980641595,-0.12981784223981,-0.0475396286701756,0.0587041340728247,-0.148345096852818,-0.049822922017844,-0.181273307946817,-0.0670347396656907,-0.0558199692556079,-0.0802253237083127,-0.111157646345363,-0.0982174493049467,-0.095820188944535,-0.0913879950341202,-0.0472929314422641,0.0592602705582116,-0.0769823273042434
"CDOU",0.119282143994128,NA,0.101141377724615,0.0668025975163174,0.120161092051579,0.0993277842856157,0.156158483875903,0.158649550288312,0.0733904849398842,0.0870248772639654,0.116826623036574,0.0420322499952052,0.00448189260849732,0.144430140575132,0.0876877479603743,0.117845256164769,0.168212525380908,-0.015706306313937,-0.0498578025777667,0.155760038259085,0.0313985511863054,0.0882768134221684,0.0779010231893818
"CHAM",0.123701995355675,-0.0951036162143652,NA,0.0379899850143755,0.101674478809505,0.099862718096636,0.0153539961577469,0.12569663753109,0.101786588840561,0.085539421628174,0.0947447581034205,-0.0195696677407271,-0.00701803014089263,0.0139225958462155,0.080086542467871,0.127522878596631,0.138661998600339,-0.0443822549492979,-0.0624217026488227,0.130743061778583,0.0250514336338397,0.0870450627483831,0.0740113647565424
"CMAR",0.126623219923518,-0.061349200648992,-0.0343543517539964,NA,0.113431723359923,0.214807372711184,0.159132836989461,0.287818027734398,0.0211874170761261,0.210131055858352,0.103058851438196,-0.0219861920743993,-0.100664007167661,0.140307821313152,-0.00809535889846295,-0.0028623280888193,0.271721209996229,-0.0949915693736863,-0.25472000598436,0.230720383104643,0.169241343007718,0.211937903929676,0.140379606585479
"CORA",0.105269373901654,-0.117850298314751,-0.10132337111933,-0.111527430504891,NA,0.187750304461237,0.147523246230726,-0.00748550721318722,-0.0629633731912582,0.211525790859874,-0.118922644218725,-0.100873781509822,-0.175423694597061,0.173293588704555,-0.0872841140254568,-0.0758277082580198,0.0627164919789678,-0.136723626557131,-0.200448443615682,0.073862326963018,0.190792441653231,0.209617349021043,0.11843908402454
"CUEV",-0.060859579781961,-0.099206685570986,-0.0986378484621906,-0.216174658322232,-0.188232922759398,NA,-0.190672547928592,-0.253740535106888,-0.0585794184732156,0.0542111138417554,-0.227326611024135,-0.0591592226824904,-0.244660942656914,-0.15415668536526,-0.064188207539962,-0.0749079098349126,-0.253065375263302,-0.186641347463851,-0.229851615348529,-0.216606895880424,-0.140830105560715,0.0550936727495886,-0.137253190799418
"DAPH",0.0723283168922271,-0.153669991626442,-0.0159722270838568,-0.158680655131523,-0.147978859975666,0.19030939366517,NA,-0.104333975526886,0.0163553642574372,0.152122448742202,-0.252304003517478,-0.135029529996548,-0.291990881734194,0.0530971622661054,0.0144430125628595,0.0143866452757468,-0.0370960815671683,-0.179710535743249,-0.237666181097107,-0.0601016490279414,0.070038941836902,0.151329526864462,0.0877552953692056
"EGAS",0.130421612177894,-0.155932655169938,-0.125093048547204,-0.290855737716037,0.0083748844886169,0.253969147023503,0.105628718258706,NA,-0.0666603880204614,0.184970110626065,-0.1237731368006,-0.129494379829776,-0.237794023539018,0.0973665750142755,-0.103669358432967,0.0497545386711726,0.203198684853046,-0.195041115804649,-0.290366875238773,0.132521767400731,0.0927750108454944,0.184684586703713,0.148981214599431
"ELI",0.0477442771792102,-0.0722705658398869,-0.10098843427178,-0.0176825396238854,0.0647929363213379,0.0592004614798254,-0.0164700732830955,0.0696595882945666,NA,0.0584087664271859,0.0478629414368679,-0.0885369203320017,-0.0404019730676304,-0.0159671754193812,-0.0941957189768616,-0.0229582270836103,-0.0285946538827027,-0.109643805547309,-0.0960314947987388,-0.022604499164735,-0.00558908758079554,0.0588217171881037,0.018645372726416
"GARD",-0.0584932053079466,-0.0863982252407212,-0.0854328713438261,-0.210422041089481,-0.211047211118802,-0.051730420174608,-0.152474632463598,-0.184174778647464,-0.0579383367923333,NA,-0.234383742814284,-0.0581784647267199,-0.230761257068257,-0.177482857051431,-0.0615491568912147,-0.0686911273899162,-0.17773794746215,-0.18936768521324,-0.223474407497877,-0.139831459840189,-0.208188459301425,-0.0361864362163691,-0.0900899320801093
"PCAL",0.147777696995879,-0.115826295935289,-0.0937212865719144,-0.104594001761091,0.118914811763137,0.228513452491769,0.257423588561491,0.125713016177283,-0.046023408866072,0.236364283194708,NA,-0.0943763481775188,-0.201698147912606,0.264938789238323,-0.0752595772330339,-0.0623818487849456,0.187278874245899,-0.141954338406256,-0.236118445436118,0.236882767779808,0.228395150577781,0.234966975768954,0.16339249909719
"PESP",0.0507292026067852,-0.0366931920217112,0.0213833837824004,0.0272694037185364,0.102808274881289,0.0598953226885432,0.13802086890005,0.132737334396942,0.0885693815115505,0.0588924975100653,0.0957591038795466,NA,-0.0184858874310136,0.128058695633457,0.0278944539168431,0.0234327970789145,0.146664944193559,-0.142720936103343,-0.0955067402108318,0.134932063491724,-0.000934663825130647,0.0594859797498977,0.0235249726569726
"PIN",0.180004850587375,-0.00242317410448949,0.00841190613171655,0.100658946696277,0.175128319462458,0.244272572455046,0.292679260171895,0.238111189652791,0.0423088930367488,0.231111085193756,0.204829147161234,0.0215819612361211,NA,0.27254346572451,0.0259480108551718,0.0248750308479723,0.230383632427908,-0.00799907920578584,-0.0438767005552608,0.276397675152135,0.241439000411594,0.232008059477454,0.195539317717989
"PLAZ",0.0658376395560033,-0.142718622050234,-0.0143928468018868,-0.136693792161356,-0.172785223762474,0.15362783125878,-0.0470674071798485,-0.0958115824731698,0.0156376418357746,0.176299027891233,-0.260821891611953,-0.125257681996672,-0.271212849095101,NA,0.0140642550356559,0.0138354384421823,-0.0518588642903887,-0.163484454751184,-0.213417941570161,-0.0541478707933016,0.0856271118640347,0.17514867939298,0.0617019891659494
"PMAN",0.0572655254956523,-0.0867402878479457,-0.0776684785936689,0.010914908894689,0.0880488425364265,0.0652246266997394,-0.0141170850402754,0.104385498549983,0.0942807741266993,0.0621418498478317,0.0766755885895637,-0.0304957309411609,-0.023595809754499,-0.0138115965444735,NA,0.0233770144829518,0.120662328515933,-0.094441526436946,-0.0840269275211853,0.113329897883631,-0.0034049665612293,0.0630290896462229,0.0240098078469663
