"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",0,120608.901389799,99633.5065436687,155809.298978161,206664.553912996,93130.0394274876,115059.064292759,115835.655514661,110252.20485986,178589.690405996,180324.874081443,125077.227256179,212944.033983829,132546.410221053,101105.67237504,77408.4695017008,97683.1649810201,151033.592675261,183384.971594714,107988.457712814,130632.714014179,169021.311627888,31828.5597494627
"CDOU",120608.901389799,0,21444.4233102277,93108.7268664709,225021.935018026,211233.884182482,197378.024671567,141049.075698222,79076.9028433213,296693.535160989,165931.306263147,25875.9476186677,148033.869524075,225362.595745641,49325.3396768085,62681.0196674565,164966.322086961,31429.0214484969,63780.4032224433,180031.249250817,249386.427344821,287125.156382882,150582.377636769
"CHAM",99633.5065436686,21444.4233102277,0,113548.818633417,245462.026784971,190258.489336351,212837.53110184,161489.167465168,62774.6024325936,275718.140314859,186371.398030093,46670.76800231,168473.961291021,230324.800436299,28432.7299304803,41788.4099211284,185406.413853906,51869.1145956896,84220.4935151424,200471.341017763,228411.032498691,266149.761536752,129606.982790638
"CMAR",155809.29897816,93108.7268664709,113548.818633417,0,146792.602895151,169741.60936788,109412.224228334,49319.4507558268,146708.891915192,235199.288353758,87702.0116386167,93908.0114130493,83482.3183047131,137396.795302408,117479.515750502,146835.677638526,73236.625953135,68052.1077080625,57734.2876795352,88301.5796866186,166268.65659415,227021.617217471,128765.969123634
"CORA",206664.553912996,225021.935018026,245462.026784972,146792.602895152,0,183234.884484689,93090.5444246004,121182.880825793,278622.100066748,194435.049383833,59523.0259493663,225821.219564605,101756.235031984,102390.29357683,249392.723902057,278748.885790082,119096.447581044,199965.315859618,184756.000113023,99257.6290682036,124425.565130288,190877.4893835,179372.276396831
"CUEV",93130.0394274876,211233.884182482,190258.489336352,169741.609367881,183234.884484689,0,106656.050194619,123968.521335738,200877.187652543,86677.1583135663,176065.007283023,215702.210048862,216477.630324495,81285.5726333173,191730.655167723,168033.452294384,102317.638314987,237687.628164734,227369.808136206,104692.663014474,65664.5084113361,77108.7795354578,62817.5887540066
"DAPH",115059.064292759,197378.024671567,212837.53110184,109412.224228334,93090.5444246003,106656.050194618,0,63541.2752317174,223456.229418031,136016.337532812,82198.8905900042,198177.309218145,125034.853576517,27984.5749673343,214309.696933211,190612.494059872,39744.7586191609,172321.405513158,162003.586226211,23745.5776951812,57043.1004615369,129642.089343229,87766.7867765936
"EGAS",115835.655514661,141049.075698222,161489.167465168,49319.4507558268,121182.880825793,123968.521335738,63541.2752317175,0,194649.240746943,189423.640584357,74496.0124158563,141848.3602448,97683.4206532497,90952.875702617,165419.864582253,191389.085281774,25975.7168098668,115992.456539814,105674.636511286,41040.6391375889,120011.40119682,181245.969448069,88792.3256601343
"ELI",110252.20485986,79076.9028433212,62774.6024325936,146708.891915192,278622.100066746,200877.187652542,223456.229418031,194649.240746943,0,286336.83863105,219531.471311868,53200.9552246535,201634.034572797,240943.49875249,37317.8833873664,33055.8968947919,206080.330106292,80756.1779335356,118756.951219679,216385.622838086,239029.730814882,276768.459852943,140225.681106829
"GARD",178589.690405996,296693.535160991,275718.14031486,235199.288353758,194435.049383832,86677.1583135665,136016.337532812,189423.640584356,286336.838631051,0,207289.118830724,301161.86102737,255924.711247112,108031.762891565,277190.306146231,253493.103272892,164954.712530881,303145.306793569,292827.486765042,159189.128460906,79728.9443048454,10568.6057949885,148277.239732515
