"","journeyID","OceanographicResistance","OceanographicResistanceSD","start","end"
"1","CDOU_BAR",0.066021522320401,0.0366330289001943,"CDOU","BAR"
"2","CHAM_BAR",0.0727464673194872,0.0369315154837492,"CHAM","BAR"
"3","CMAR_BAR",0.117224599981367,0.0765528850724385,"CMAR","BAR"
"4","CORA_BAR",0.185457762386655,0.0735898983030161,"CORA","BAR"
"5","CUEV_BAR",0.0598626200505046,0.135261345808364,"CUEV","BAR"
"6","DAPH_BAR",0.141979848970226,0.0791992881861607,"DAPH","BAR"
"7","EGAS_BAR",0.123245127687826,0.0851859231332667,"EGAS","BAR"
"8","ELI_BAR",0.0317229356471986,0.0472118154694288,"ELI","BAR"
"9","GARD_BAR",0.0669435540097037,0.11915503920827,"GARD","BAR"
"10","PCAL_BAR",0.233502706927113,0.116170971584852,"PCAL","BAR"
"11","PESP_BAR",0.037612418115291,0.0424247271899955,"PESP","BAR"
"12","PIN_BAR",0.199418807714111,0.142568721594877,"PIN","BAR"
"13","PLAZ_BAR",0.157982246169515,0.0780079530966435,"PLAZ","BAR"
"14","PMAN_BAR",0.0465051000397827,0.04280010828323,"PMAN","BAR"
"15","PMOR_BAR",0.04353094498395,0.0508442066107837,"PMOR","BAR"
"16","PROJ_BAR",0.160389640984661,0.0726707220896788,"PROJ","BAR"
"17","PVIC_BAR",0.0653744362232801,0.03272552841277,"PVIC","BAR"
"18","RED_BAR",0.0741858814736753,0.0424024927925869,"RED","BAR"
"19","SOMB_BAR",0.170263648161366,0.0751977220843217,"SOMB","BAR"
"20","STAFE_BAR",0.204373536984853,0.0917675550146817,"STAFE","BAR"
"21","SUAR_BAR",0.0748327204043769,0.118544904964673,"SUAR","BAR"
"22","TOR_BAR",0.163566860203236,0.0956843500329615,"TOR","BAR"
"23","BAR_CDOU",-0.0664740522120834,0.0372650270476661,"BAR","CDOU"
"24","CHAM_CDOU",-0.0311200397246835,0.0238028608813826,"CHAM","CDOU"
"25","CMAR_CDOU",-0.0120655373078589,0.137894549605535,"CMAR","CDOU"
"26","CORA_CDOU",-0.10482589792979,0.128203083539876,"CORA","CDOU"
"27","CUEV_CDOU",0.00189217403167207,0.142208983900895,"CUEV","CDOU"
"28","DAPH_CDOU",-0.148572232332881,0.172312351444885,"DAPH","CDOU"
"29","EGAS_CDOU",-0.101686543284193,0.168701735309392,"EGAS","CDOU"
"30","ELI_CDOU",-0.0123670640584024,0.0184577298799349,"ELI","CDOU"
"31","GARD_CDOU",0.0229502351134552,0.135007942085566,"GARD","CDOU"
"32","PCAL_CDOU",-0.100165343760441,0.144212568677485,"PCAL","CDOU"
"33","PESP_CDOU",-0.00141728215803294,0.00783732215643386,"PESP","CDOU"
"34","PIN_CDOU",0.0239881064875312,0.0918767884841232,"PIN","CDOU"
"35","PLAZ_CDOU",-0.137441191823765,0.166513448346856,"PLAZ","CDOU"
"36","PMAN_CDOU",-0.0277975280890259,0.0321431954793894,"PMAN","CDOU"
"37","PMOR_CDOU",-0.0505907138508638,0.033743658462777,"PMOR","CDOU"
"38","PROJ_CDOU",-0.102470065259992,0.157430844119654,"PROJ","CDOU"
"39","PVIC_CDOU",0.0579067356236602,0.0147157758611057,"PVIC","CDOU"
"40","RED_CDOU",0.0874046785042316,0.0500128491521103,"RED","CDOU"
"41","SOMB_CDOU",-0.0917050955517526,0.154627928302234,"SOMB","CDOU"
"42","STAFE_CDOU",0.0773026240406212,0.154119298370386,"STAFE","CDOU"
"43","SUAR_CDOU",0.0258219861755885,0.136773109996879,"SUAR","CDOU"
"44","TOR_CDOU",-0.015745855898188,0.115211571709653,"TOR","CDOU"
"45","BAR_CHAM",-0.0727356797748297,0.0368270432198009,"BAR","CHAM"
"46","CDOU_CHAM",0.0301852385326557,0.0253127393038367,"CDOU","CHAM"
"47","CMAR_CHAM",-0.00383611411026378,0.126487122777775,"CMAR","CHAM"
"48","CORA_CHAM",-0.0938511852407357,0.12837208010084,"CORA","CHAM"
"49","CUEV_CHAM",0.0059812804136646,0.149136506730774,"CUEV","CHAM"
"50","DAPH_CHAM",0.0453074169836046,0.126502025798911,"DAPH","CHAM"
"51","EGAS_CHAM",-0.0845749089683576,0.164051925053009,"EGAS","CHAM"
"52","ELI_CHAM",-0.0380966014285214,0.0218899021452231,"ELI","CHAM"
"53","GARD_CHAM",0.0272891909137365,0.139002792313712,"GARD","CHAM"
"54","PCAL_CHAM",-0.0855135006058412,0.142414246125066,"PCAL","CHAM"
"55","PESP_CHAM",0.012409018924786,0.0230132788238936,"PESP","CHAM"
"56","PIN_CHAM",0.0252049764838305,0.0868692767123292,"PIN","CHAM"
"57","PLAZ_CHAM",0.0598790737938784,0.133013757206932,"PLAZ","CHAM"
"58","PMAN_CHAM",-0.0231997338057715,0.0358773129675245,"PMAN","CHAM"
"59","PMOR_CHAM",-0.0602396824143557,0.0337118249060418,"PMOR","CHAM"
"60","PROJ_CHAM",-0.0878908683843992,0.155110714344617,"PROJ","CHAM"
"61","PVIC_CHAM",0.0494421521205325,0.0238553651120131,"PVIC","CHAM"
"62","RED_CHAM",0.0751378752675551,0.0519321022586898,"RED","CHAM"
"63","SOMB_CHAM",-0.0789531508124036,0.151378280278811,"SOMB","CHAM"
"64","STAFE_CHAM",0.0876954620285738,0.15705699696137,"STAFE","CHAM"
"65","SUAR_CHAM",0.030846092745001,0.140636384564688,"SUAR","CHAM"
"66","TOR_CHAM",-0.0120729338538913,0.123314043899176,"TOR","CHAM"
"67","BAR_CMAR",-0.118706822320109,0.0802585404833621,"BAR","CMAR"
"68","CDOU_CMAR",0.0140727895382348,0.137349674569186,"CDOU","CMAR"
"69","CHAM_CMAR",0.00466288046703768,0.125581736390528,"CHAM","CMAR"
"70","CORA_CMAR",-0.0982933873719918,0.0742659714082468,"CORA","CMAR"
"71","CUEV_CMAR",-0.143302889319621,0.0910354441183816,"CUEV","CMAR"
"72","DAPH_CMAR",-0.151552086238908,0.0887621622013502,"DAPH","CMAR"
"73","EGAS_CMAR",-0.216643969921129,0.0240001225231974,"EGAS","CMAR"
"74","ELI_CMAR",0.00771916366825386,0.108361722197865,"ELI","CMAR"
"75","GARD_CMAR",-0.139206292219199,0.0667532696054981,"GARD","CMAR"
"76","PCAL_CMAR",-0.0845199169227597,0.0831830838832279,"PCAL","CMAR"
"77","PESP_CMAR",0.0219377547617014,0.133170188712496,"PESP","CMAR"
"78","PIN_CMAR",0.116601107545334,0.0801208143819201,"PIN","CMAR"
"79","PLAZ_CMAR",-0.130151956448057,0.0916987719568459,"PLAZ","CMAR"
"80","PMAN_CMAR",0.0177590477396226,0.11892932432556,"PMAN","CMAR"
"81","PMOR_CMAR",0.00492838832525208,0.109040752890343,"PMOR","CMAR"
"82","PROJ_CMAR",-0.183973696582164,0.0681710150620791,"PROJ","CMAR"
"83","PVIC_CMAR",0.0466432830673573,0.148867979891238,"PVIC","CMAR"
"84","RED_CMAR",0.195775025872634,0.0915208898779583,"RED","CMAR"
"85","SOMB_CMAR",-0.147981552265374,0.0989431696216968,"SOMB","CMAR"
"86","STAFE_CMAR",-0.0742816671430113,0.134405269347511,"STAFE","CMAR"
"87","SUAR_CMAR",-0.138267022104167,0.0680953684943858,"SUAR","CMAR"
"88","TOR_CMAR",-0.120250900307419,0.100043794085488,"TOR","CMAR"
"89","BAR_CORA",-0.186559814689111,0.0741729480126618,"BAR","CORA"
"90","CDOU_CORA",0.10604232960086,0.12914136087328,"CDOU","CORA"
"91","CHAM_CORA",0.0931485615793646,0.130148701985834,"CHAM","CORA"
"92","CMAR_CORA",0.10028193715085,0.0750464649426308,"CMAR","CORA"
"93","CUEV_CORA",-0.310701809759098,0.0511156786416373,"CUEV","CORA"
