"","journeyID","OceanographicResistance","OceanographicResistanceSD","start","end"
"1","CDOU_BAR",-0.0106211186342716,0.115171874415067,"CDOU","BAR"
"2","CHAM_BAR",-0.0122845470818937,0.121785261542611,"CHAM","BAR"
"3","CMAR_BAR",0.167124465736626,0.0878512936924373,"CMAR","BAR"
"4","CORA_BAR",0.0774487338739409,0.0590869092333254,"CORA","BAR"
"5","CUEV_BAR",-0.10569733377263,0.059162491470696,"CUEV","BAR"
"6","DAPH_BAR",0.0661735383645367,0.0720530398040079,"DAPH","BAR"
"7","EGAS_BAR",0.177307231822001,0.0994720543060418,"EGAS","BAR"
"8","ELI_BAR",0.00137544253586615,0.130921571900989,"ELI","BAR"
"9","GARD_BAR",-0.158671817306704,0.0883413138655572,"GARD","BAR"
"10","PCAL_BAR",0.140114869107016,0.13828462478658,"PCAL","BAR"
"11","PESP_BAR",0.035009692960027,0.128742351200187,"PESP","BAR"
"12","PIN_BAR",0.197568446783102,0.111153508224466,"PIN","BAR"
"13","PLAZ_BAR",0.0454971699348837,0.0322153955019447,"PLAZ","BAR"
"14","PMAN_BAR",0.0308459274282367,0.141395708878689,"PMAN","BAR"
"15","PMOR_BAR",0.0120981452882977,0.157104471451968,"PMOR","BAR"
"16","PROJ_BAR",0.116555499142073,0.0778164774564045,"PROJ","BAR"
"17","PVIC_BAR",-0.0185243162591105,0.120333640046465,"PVIC","BAR"
"18","RED_BAR",-0.0531852314355867,0.145657395818155,"RED","BAR"
"19","SOMB_BAR",0.0757614227819626,0.0788197963156476,"SOMB","BAR"
"20","STAFE_BAR",0.00299369891237332,0.0539731707083372,"STAFE","BAR"
"21","SUAR_BAR",-0.164985813788758,0.0904799231759546,"SUAR","BAR"
"22","TOR_BAR",0.0922551848715334,0.0462958654758391,"TOR","BAR"
"23","BAR_CDOU",0.00915585547660185,0.113973308755029,"BAR","CDOU"
"24","CHAM_CDOU",-0.0463333830726375,0.0811155511879461,"CHAM","CDOU"
"25","CMAR_CDOU",-0.21709770405532,0.320065780508261,"CMAR","CDOU"
"26","CORA_CDOU",-0.207487554293961,0.214452973590455,"CORA","CDOU"
"27","CUEV_CDOU",-0.0470627443442013,0.115736176912863,"CUEV","CDOU"
"28","DAPH_CDOU",-0.236283265017715,0.245603137663343,"DAPH","CDOU"
"29","EGAS_CDOU",-0.311484921881178,0.28714147368649,"EGAS","CDOU"
"30","ELI_CDOU",-0.0915876791150743,0.0675733150030242,"ELI","CDOU"
