"","journeyID","OceanographicResistance","OceanographicResistanceSD","start","end"
"1","CDOU_BAR",0.128773078658337,0.0952024701555547,"CDOU","BAR"
"2","CHAM_BAR",0.136509923558887,0.0938740259981137,"CHAM","BAR"
"3","CMAR_BAR",0.065641077531564,0.0687450523786685,"CMAR","BAR"
"4","CORA_BAR",0.0227671481938623,0.0578605578030396,"CORA","BAR"
"5","CUEV_BAR",-0.131197425924807,0.0448830099882285,"CUEV","BAR"
"6","DAPH_BAR",-0.0225235103184915,0.0317082763350526,"DAPH","BAR"
"7","EGAS_BAR",0.0543980907689601,0.0705018695927385,"EGAS","BAR"
"8","ELI_BAR",0.0445266409691685,0.131737696244175,"ELI","BAR"
"9","GARD_BAR",-0.126944848108524,0.0417883575565414,"GARD","BAR"
"10","PCAL_BAR",0.0599275626316882,0.123761236330879,"PCAL","BAR"
"11","PESP_BAR",0.0471739944910443,0.129558756739834,"PESP","BAR"
"12","PIN_BAR",0.116383517305764,0.111340010842026,"PIN","BAR"
"13","PLAZ_BAR",-0.0223707142990615,0.0198816535309122,"PLAZ","BAR"
"14","PMAN_BAR",0.0476045845068241,0.139489603129768,"PMAN","BAR"
"15","PMOR_BAR",0.0815289765922858,0.142150888195696,"PMOR","BAR"
"16","PROJ_BAR",0.0197502490287644,0.0676638877415791,"PROJ","BAR"
"17","PVIC_BAR",0.088817597261158,0.124614055784184,"PVIC","BAR"
"18","RED_BAR",0.114621869940992,0.116795942687497,"RED","BAR"
"19","SOMB_BAR",-0.0111221683542263,0.0400830839319743,"SOMB","BAR"
"20","STAFE_BAR",-0.0464932433723454,0.0325927921034542,"STAFE","BAR"
"21","SUAR_BAR",-0.131667658427064,0.0388759403933804,"SUAR","BAR"
"22","TOR_BAR",-0.0137402643822469,0.0217602024403326,"TOR","BAR"
"23","BAR_CDOU",-0.128650091813815,0.0933104970563198,"BAR","CDOU"
"24","CHAM_CDOU",-0.102096357635357,0.121075997091746,"CHAM","CDOU"
"25","CMAR_CDOU",-0.0357247653821042,0.141780233833381,"CMAR","CDOU"
"26","CORA_CDOU",-0.104635375510775,0.110237639734817,"CORA","CDOU"
"27","CUEV_CDOU",-0.145955250940971,0.078472596597058,"CUEV","CDOU"
"28","DAPH_CDOU",-0.118745720304238,0.14062410853274,"DAPH","CDOU"
"29","EGAS_CDOU",-0.125800996253025,0.169528085222968,"EGAS","CDOU"
"30","ELI_CDOU",-0.0988053481898898,0.0673463382591596,"ELI","CDOU"
"31","GARD_CDOU",-0.138716380873555,0.0712202538784484,"GARD","CDOU"
"32","PCAL_CDOU",-0.0920407754815812,0.120940234895688,"PCAL","CDOU"
"33","PESP_CDOU",-0.0490711528309963,0.0592346052871043,"PESP","CDOU"
"34","PIN_CDOU",0.00552272296630655,0.103108402886658,"PIN","CDOU"
"35","PLAZ_CDOU",-0.111993859693542,0.134816677980724,"PLAZ","CDOU"
"36","PMAN_CDOU",-0.0942202760100787,0.0842654596653989,"PMAN","CDOU"
"37","PMOR_CDOU",-0.118835541500059,0.0598656332229042,"PMOR","CDOU"
"38","PROJ_CDOU",-0.135952701988533,0.160309325312056,"PROJ","CDOU"
"39","PVIC_CDOU",-0.0609903221001308,0.0964593944546066,"PVIC","CDOU"
"40","RED_CDOU",0.0915038978731388,0.136390420645806,"RED","CDOU"
"41","SOMB_CDOU",-0.128131663635387,0.15486918203248,"SOMB","CDOU"
"42","STAFE_CDOU",-0.0863781909478546,0.0787041015999234,"STAFE","CDOU"
"43","SUAR_CDOU",-0.142075613769434,0.0708033089534588,"SUAR","CDOU"
"44","TOR_CDOU",-0.10543622653303,0.0970581844805779,"TOR","CDOU"
"45","BAR_CHAM",-0.134223490758002,0.095113628167976,"BAR","CHAM"
"46","CDOU_CHAM",0.108948871016116,0.125480363899361,"CDOU","CHAM"
"47","CMAR_CHAM",-0.0132108100893861,0.15100641025433,"CMAR","CHAM"
"48","CORA_CHAM",-0.0889514369411644,0.125156082983558,"CORA","CHAM"
"49","CUEV_CHAM",-0.150475676132014,0.0788111421432518,"CUEV","CHAM"
"50","DAPH_CHAM",-0.073662184590185,0.0891021600651623,"DAPH","CHAM"
"51","EGAS_CHAM",-0.0987371797233842,0.181502748947742,"EGAS","CHAM"
"52","ELI_CHAM",-0.105462035775161,0.0278899288020528,"ELI","CHAM"
"53","GARD_CHAM",-0.141864973455274,0.0697411958364923,"GARD","CHAM"
"54","PCAL_CHAM",-0.0726050496931428,0.136173054610367,"PCAL","CHAM"
"55","PESP_CHAM",0.0156257780093181,0.12444527476237,"PESP","CHAM"
"56","PIN_CHAM",0.0154787050195363,0.113255423047327,"PIN","CHAM"
"57","PLAZ_CHAM",-0.0703760883518406,0.0846150243079305,"PLAZ","CHAM"
"58","PMAN_CHAM",-0.0846772223340174,0.0473684928100227,"PMAN","CHAM"
"59","PMOR_CHAM",-0.118370323305005,0.0399749209596254,"PMOR","CHAM"
"60","PROJ_CHAM",-0.112421130560893,0.174227337694765,"PROJ","CHAM"
"61","PVIC_CHAM",0.00034341178354122,0.139594085670269,"PVIC","CHAM"
"62","RED_CHAM",0.09163066706093,0.140665234758557,"RED","CHAM"
"63","SOMB_CHAM",-0.105286750800923,0.16826553730746,"SOMB","CHAM"
