"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,0.0320909621358962,0.0318924964068687,-0.105830591149378,-0.1134168721012,0.0344270728103636,-0.0768148851048984,-0.093606697431776,0.0146223853815993,0.0916639070663467,-0.14089390093396,-0.0160176047059737,-0.114952091081603,-0.0210320347124317,-0.0130068920949131,0.0189630678336784,-0.0961514128955971,0.0284507444423006,0.0533273972501528,-0.0966894650858733,0.011831889750666,0.0923902127305766,-0.023543100926314
"CDOU",-0.0325187874333993,NA,0.0216782932528499,0.106084190108363,0.080001699733838,-0.0181945992599471,0.151153035786038,0.158482757365444,0.0677058457586459,0.0320387393691543,0.12427954585111,0.0569022108192106,0.187692553967271,0.138358802184826,0.0119022034432953,0.0485395066868258,0.165235011909687,0.0107107764172303,0.0970427468765826,0.148772828821831,-0.00997594048487171,0.030632046383558,-0.0315564432327119
"CHAM",-0.0323073985125077,-0.0154626040537703,NA,0.0841492129182691,0.0724796510971499,-0.0157759259888226,-0.0569059953514906,0.13608215465003,0.0647240602574242,0.0366840300337179,0.109155848244414,0.0248591841479667,0.162532480088099,-0.0263834272960003,0.0102035567472186,0.0627005582182767,0.145017419763253,0.00211940027084436,0.0688872922831528,0.132290521104584,-0.00810208060413912,0.0350818767351078,-0.0307396952860818
"CMAR",0.104857226914745,-0.105755866019328,-0.0850567295120463,NA,0.0147290304130742,0.18697841519088,0.122497305824961,0.21716320757123,-0.0116852479619396,0.203688280402942,0.0530335337305441,-0.0642835458219974,0.0022462741330403,0.105919345657288,-0.0402318256910078,-0.0198134018776709,0.217238689164187,-0.154696900500072,-0.171935224968972,0.176974824202935,0.141262037122787,0.209262593348066,0.123159023507306
"CORA",0.11281583862281,-0.0792246405569883,-0.0714969128851628,-0.014180137301085,NA,0.156897418018085,0.156283617849724,0.0746542589946166,-0.0346050190586008,0.193633901882589,0.0420183874368546,-0.06209771988793,-0.0364702774137259,0.143034842071093,-0.0507678997460023,-0.0386689073764633,0.119353625172306,-0.0915208808430334,-0.134351004254296,0.138720241812694,0.165365344511373,0.207469606666993,0.131777105630115
"CUEV",-0.0350278569838201,0.0162001811999077,0.0153592261974845,-0.187274766319262,-0.15666609695656,NA,-0.190201169311091,-0.214110796349794,0.00693139026933395,0.152680717351881,-0.215831503542473,-0.0104761955274251,-0.167328218750732,-0.153615554756062,-0.00796858251707328,0.00710755410867515,-0.222765249914814,-0.181068195804947,-0.186885244136214,-0.22100943138727,-0.172763008750288,0.161323357893522,-0.131231739515373
"DAPH",0.0757330822880933,-0.150713641114674,0.0570673337415232,-0.121636231306016,-0.157096839704406,0.190545199116366,NA,-0.0741475868441434,0.0467279730809803,0.160645493793771,-0.227359679524362,-0.13149100870118,-0.159768482546618,0.034935326206384,0.0352081264703,0.0541737618451762,-0.0134253409719767,-0.176025873989669,-0.185934762801835,-0.0278133788736431,0.036899139911941,0.156983793760698,0.103001266898985
"EGAS",0.0938133426438967,-0.15829454742997,-0.136871208788544,-0.218053770442478,-0.0730714346166912,0.213729295321455,0.074785565778001,NA,-0.07259586626983,0.194295879640602,-0.120285053663395,-0.131332735457451,-0.138258116260312,0.0784515510149664,-0.103887834788575,0.0651793895148566,0.163775184158274,-0.197834926057327,-0.211910901506558,0.0921990393308074,0.0676981412400651,0.200294608571534,0.116471991299527
"ELI",-0.0172542445684716,-0.0657063729673953,-0.0645626620345593,0.0122768077268305,0.0354794369513586,-0.00878052998353071,-0.0480166966266388,0.0733163888743411,NA,0.0399890288540346,0.0566443170355571,-0.0712545913042082,0.0969436318876818,-0.0198605265642741,-0.0928578898150121,-0.00450133849948048,-0.0552428770613236,-0.0943053780650371,0.00831613715126888,-0.0571670232513939,-0.00232462895020706,0.0385237600097817,-0.0196508530633518
"GARD",-0.0920947131332978,-0.0323337458008698,-0.0373370456192115,-0.204014229291602,-0.19408531923238,-0.152624729956696,-0.161182211577263,-0.194578160663346,-0.0415598466829176,NA,-0.198270573877085,-0.0514947200521597,-0.16882880755247,-0.191087437574383,-0.0532652134511943,-0.0473962956092696,-0.200130194653372,-0.1966924190443,-0.20264088696604,-0.14302095592904,-0.245229340470574,-0.0501702077178112,-0.14516348777018
