"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.116730709844749,-0.103207661671872,-0.148373519403072,-0.313428615536231,-0.0156072051925455,-0.240283574093091,-0.159106610446261,-0.0445100769356785,0.0125615510862911,-0.349282559156539,-0.061168435482836,-0.311979857214623,-0.161143675192893,-0.067571699618054,-0.0739944078202259,-0.241550020723936,-0.101912412915718,-0.158240392857329,-0.267438158272555,-0.13572316352307,0.00625983478575311,-0.175635342032271
"CDOU",0.116129797664352,NA,0.13153775958494,-0.0294086656812213,0.0989731168201577,0.0481035866495452,0.176501556374019,0.0827756825796763,0.105852567163057,0.0474049886011719,0.103597295116753,0.0695821211907891,-0.123058993886661,0.162685910325652,0.0915254334128486,0.143630359371984,0.0982260526773524,-0.0429369257101578,-0.23048260024421,0.0908217787667405,-0.0166665780061592,0.0451042921566903,0.0542651104886439
"CHAM",0.100472019027909,-0.118828189384026,NA,-0.0462582411937157,0.0801430279095404,0.0336199974072882,-0.0848775046628548,0.0561278223437278,0.149091959688681,0.0362518721955316,0.0797728810643698,-0.0132052809715926,-0.123217981411974,-0.0512595413140989,0.0663978959416253,0.150681668527669,0.0738569273525952,-0.0744950740985981,-0.211098925914388,0.0691093727754159,-0.0358970488310739,0.0328888534788347,0.0332444951875149
"CMAR",0.147634465947574,0.02874560895357,0.0451135851647315,NA,0.0857603731704977,0.213134987746279,0.177457544982258,0.199615830551469,0.0941945198168818,0.247167024943912,0.0853407911091004,0.0713943633056729,-0.235441436711251,0.153111460053486,0.073515260557019,0.0697001850965092,0.201566075288717,-0.00288664381128174,-0.288557519938253,0.16875012427337,0.107127085298425,0.24472026159061,0.15445271441234
"CORA",0.3130190126168,-0.0981900997819638,-0.0800667834245766,-0.0846680941879398,NA,0.426650006718584,0.412903493528153,0.127259898479444,-0.0392614783156805,0.472538157117007,-0.0816126349498244,-0.0799370244121175,-0.296781531748588,0.444598061498234,-0.0645592503760407,-0.0518919511295158,0.260359010266508,-0.12496043271412,-0.25302583093334,0.294140121013487,0.468529222425276,0.485993469805037,0.348571847487128
"CUEV",0.0145281085536262,-0.0495826464089277,-0.0337742592206746,-0.213856040993563,-0.424806652869431,NA,-0.30811101754507,-0.291181564447452,-0.0053383857339746,0.0414509207737936,-0.408656066811205,-0.0179823001675545,-0.409443563264494,-0.307613040203167,-0.0155451475391582,-0.0115381355472574,-0.336787057408938,-0.159083216882994,-0.237639951612589,-0.35322173911926,-0.308184018301278,0.0302167296271466,-0.135060444732369
"DAPH",0.238365859530489,-0.17655684699104,0.084482481777597,-0.176662334283571,-0.413153570633087,0.308293061885796,NA,-0.0596221661436825,0.103118526243397,0.265485241347978,-0.518226267315365,-0.156748896528591,-0.526176086400782,0.0480404528362495,0.0986899494454365,0.117100654603577,0.0379443366140986,-0.21900666658845,-0.328699680797448,-0.0475241661962453,0.0533768662685873,0.270422229350278,0.286815026636388
"EGAS",0.159271093219619,-0.0825329558831946,-0.056342726724281,-0.198505303151482,-0.125268659221896,0.290544951452421,0.05913356215299,NA,-0.00225299248835019,0.255315115132524,-0.301765277692448,-0.0548463781465615,-0.493352244252812,0.081308133239154,-0.0340383824477791,0.0699371712899742,0.155281874291701,-0.124975014376239,-0.292101172619499,0.0983977262586972,0.0750893171981098,0.251978656351497,0.173475899369093
"ELI",0.0426540129204874,-0.103214989593018,-0.148060897628191,-0.0933753491154645,0.0401214064879572,0.00455744032716858,-0.103979449900193,0.00337952994702726,NA,0.0162968166411645,0.0276117269791696,-0.11847175926823,-0.14488895374384,-0.0711518881990759,-0.158347050661881,-0.0238798962783722,-0.0939799790798635,-0.158498098150161,-0.203330212532847,-0.113525220625557,-0.0567861563718652,0.012490411056415,-0.00958293025186588
"GARD",-0.0131252092591984,-0.0469219529473456,-0.0366976348453662,-0.247183781246548,-0.471034579301422,-0.0406015112083399,-0.26589295231253,-0.255603974236232,-0.0170560234306032,NA,-0.432731384700854,-0.0251355142610788,-0.411626176633222,-0.318338791066589,-0.024201627790749,-0.0221149082819764,-0.284897947148056,-0.19906942862607,-0.261524896337356,-0.236891853163188,-0.411062159454066,-0.0306803191743447,-0.0820303581532752
