"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.136321475996343,-0.141863466271423,-0.125315752022997,-0.24119036393271,0.0302033184090604,-0.169184781863992,-0.126488548160074,-0.0391113152929603,0.0403775277666239,-0.268932154298603,-0.0334262869440438,-0.243061288133001,-0.109876209735843,-0.0336139468694694,-0.0660436539585448,-0.17805199036531,-0.0957867105075081,-0.122631825483806,-0.197584697261674,-0.0827012498636253,0.0369070407579523,-0.100246427440936
"CDOU",0.135169151993898,NA,0.0767563049462271,0.0342155667456743,0.112988547751228,0.0883694635539679,0.174177268792898,0.108922504532471,0.0986897886006447,0.0784162365944712,0.124853626101203,0.0898639597642148,-0.0619998892258537,0.160648140333761,0.0731079649158777,0.116077735379421,0.122232952365417,0.0638309715687647,-0.0915650233131714,0.111330474960127,0.0205296492723216,0.0780927847137948,0.0859686222887066
"CHAM",0.140478454195586,-0.0625346050201052,NA,0.0154117702555244,0.0977398373464351,0.0871425756414581,-0.0273290952980727,0.0859426257695278,0.108457931949138,0.0757297495607955,0.104532693712494,0.0220635973580971,-0.063438392850668,-0.0038718529650641,0.0782056299843242,0.137276434404876,0.100772788224394,0.0111880048580054,-0.0901489303504596,0.0932367240686534,0.012023303325891,0.0746463821882632,0.0830409551582629
"CMAR",0.124238009935684,-0.033199822886347,-0.0159924740705641,NA,0.0911303916917746,0.216952588016092,0.150036912083398,0.183591640377328,0.0489011653185106,0.219373835073611,0.0978143844636715,0.0115100851976565,-0.172032206641648,0.131153444843853,0.0229625348912662,0.0231392261689093,0.191320514692312,-0.0313066455249726,-0.251567526715071,0.159582319463167,0.103403539323158,0.220844711822898,0.13173767374276
"CORA",0.240782734091211,-0.111963197669189,-0.0974129632658417,-0.0901140894598839,NA,0.357609222638272,0.337890170551618,0.085676722156463,-0.0535340485253745,0.389026397887862,-0.0764673503266887,-0.092974713960999,-0.253341149419197,0.362694619701421,-0.0777435701165138,-0.066884861764994,0.207011205486774,-0.121347985749195,-0.224008904738455,0.234162688645512,0.396085687981783,0.40559241214063,0.269340324863141
"CUEV",-0.0307104478468013,-0.0899994990005668,-0.0863540547025149,-0.217407435035364,-0.356165669447476,NA,-0.295209119629631,-0.290304808873181,-0.0330421753520641,0.04988673667908,-0.356791157327194,-0.030389480072053,-0.349928475074444,-0.255146333337089,-0.0298493270260499,-0.0444845483010285,-0.329240355542875,-0.169106363336947,-0.23048762703173,-0.3328881896747,-0.245705850264665,0.0426914286110056,-0.157366953376342
"DAPH",0.167668542705011,-0.17360614140563,0.0273761946966883,-0.149316641540937,-0.338329159853756,0.295676672073672,NA,-0.0691944582383799,0.068851838094946,0.225606039728572,-0.415151576838794,-0.152683104162226,-0.420955815053663,0.0495310079442405,0.0761063527926368,0.0769185499443457,0.0216333868920509,-0.19315813907726,-0.277503439216594,-0.0445194411196522,0.0624493326127714,0.232774643585731,0.202871084023258
"EGAS",0.126408078101904,-0.107970411322333,-0.0859600331513692,-0.183219134205605,-0.0838424539574656,0.289867281535373,0.0686885458038132,NA,-0.0253806345939373,0.225588834623084,-0.218453269682136,-0.0790443381857124,-0.381564696479246,0.0829938910684327,-0.0570100200398848,0.0524670619294953,0.168453188446026,-0.123019623080977,-0.251748976865931,0.103084599794493,0.0802014965871111,0.227043223980697,0.138273460788769
"ELI",0.0396195391622294,-0.0958575794442188,-0.106440222854105,-0.0484168218838688,0.0542985227889538,0.0339064718525179,-0.0684993271366429,0.0261861250458847,NA,0.0393282364857576,0.0470049030356167,-0.100834761605541,-0.0967990831701551,-0.0436637011960152,-0.111103674086236,-0.0230792426564297,-0.0649237048050367,-0.107185672384117,-0.1321526452739,-0.0797464526121555,-0.0289348756260534,0.0371021082984876,0.00643669604924212
"GARD",-0.0406239671324257,-0.0780187288115419,-0.0755725280108087,-0.21937577217218,-0.387954709291571,-0.049320377468864,-0.226169045702579,-0.225742730235771,-0.0389234496010937,NA,-0.365142227928081,-0.0364118619641585,-0.341378434196846,-0.268809249831547,-0.0366528251575388,-0.0467938090932812,-0.245172364380502,-0.183148530600475,-0.231278089567797,-0.201948754941037,-0.33755152301862,-0.0240592110306322,-0.0966049899730054
