"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.110297440305077,-0.114513143768347,-0.123002541873502,-0.270388291951907,-0.0378261292921842,-0.205814499857771,-0.1341142689858,-0.0476583015813898,-0.00822923621513137,-0.294996988252421,-0.0477534843699198,-0.250214032254439,-0.174745899955317,-0.0537980484514561,-0.0722851001566632,-0.207256424791612,-0.0904683285619711,-0.114143120504112,-0.219231220300243,-0.166615923687865,-0.0154889130913289,-0.185854714255299
"CDOU",0.109276241780543,NA,0.0536929568871224,0.00326805250635873,0.124393285219272,0.0367547953946475,0.161307219730152,0.0789947224746658,0.0620482186664486,0.0335156369670531,0.119638045599128,0.0264356046723321,-0.0522518862365354,0.147241182998119,0.0511382510903947,0.0690466471465602,0.0891899690064465,-0.0136316862481123,-0.118915374619911,0.0806050388133184,-0.0366298102971176,0.0307384527006723,0.0466509950308593
"CHAM",0.111782065662436,-0.0488080168824192,NA,-0.00641651763497104,0.109340377870944,0.0313561326487718,-0.0608951226204604,0.0621509907623818,0.0693670409503525,0.0286526194078305,0.101807911233837,-0.00629340220859041,-0.0521283404520063,-0.0544171060028178,0.0503635974478064,0.0772272987514764,0.0738621464644877,-0.0285820316821772,-0.105903292388577,0.0673235475387458,-0.0487189746475115,0.0251081605070143,0.0394532032256762
"CMAR",0.122345017146006,-0.00451958624968428,0.00493109895403712,NA,0.115550910421628,0.17594058218135,0.148000488509214,0.153122275413408,0.0425538392556159,0.210861338116578,0.100640823340639,0.0181889162150743,-0.15714355502911,0.126119209848289,0.0229999906382179,0.0218671254802412,0.155663521579096,-0.0200353584712277,-0.22834396808518,0.12690544874009,0.0794231906738512,0.208192098484933,0.124868308277147
"CORA",0.269982594795178,-0.123934298886544,-0.109819882726945,-0.114568600564833,NA,0.422267239696362,0.366037568341094,0.084417419702959,-0.0762403608926099,0.475100857072574,-0.13233078106812,-0.114037212858329,-0.313180387718753,0.428841507883636,-0.0992593899553402,-0.0869732116227219,0.212813011676311,-0.144870647974831,-0.245913688586975,0.242099281851691,0.457937250661954,0.486025828848428,0.302434142990183
"CUEV",0.0368759202593037,-0.0377142174832105,-0.031393049233585,-0.176866724144559,-0.420766396082092,NA,-0.281805960340819,-0.256930144149587,0.000947455568612709,0.0224001826055415,-0.359674609166897,-0.00281783821477419,-0.355509648859449,-0.315355935004832,7.75813539255726e-05,-0.00123354240729397,-0.295081751833594,-0.136181637514767,-0.193615479590877,-0.31100008723151,-0.317680332441981,0.00898345815015492,-0.103174080742392
"DAPH",0.20401675113831,-0.161573321786501,0.060168815293406,-0.146997273022887,-0.366052301510112,0.28154775168222,NA,-0.0415987823283677,0.0837476357412812,0.270501766098259,-0.448198868738421,-0.150970494600955,-0.453598896430028,0.0328003538625472,0.0865697661766626,0.0968071079027732,0.0299286640592497,-0.190782614903993,-0.271458589531093,-0.0410529195725682,0.055123991029531,0.275238398111891,0.248353314434806
"EGAS",0.133873437134491,-0.0792929762193662,-0.0627625941207527,-0.152488388504163,-0.0829792765709009,0.256017121580026,0.0419475211727841,NA,-0.0231333691852184,0.223073495294012,-0.236355697775595,-0.0645519892088054,-0.388981341447567,0.0527288393593635,-0.0485899825134951,0.0549994073148348,0.123487522984983,-0.10456979647985,-0.225808546561687,0.0703521505279515,0.0579693546161868,0.2198778523819,0.142166938111689
"ELI",0.0470452090899858,-0.0610983305480331,-0.0684130932706935,-0.0425140407369381,0.0766274234796996,-0.000862482825589094,-0.0841302101787385,0.023424771757401,NA,0.00680986894335774,0.0601015312203463,-0.0763535371487578,-0.0708145167194615,-0.076811022557455,-0.0874784680091121,-0.00968621513213758,-0.0752986104189598,-0.0894008226914768,-0.113725648785611,-0.0873230651647976,-0.0716927098842465,0.00273940110043967,-0.00843498755656802
"GARD",0.00761540215551598,-0.033454176100708,-0.0291636691575638,-0.211000159711783,-0.473892891805609,-0.0215407027121153,-0.271677577269633,-0.223408350413877,-0.00699298579522778,NA,-0.428672382010446,-0.00882528593924331,-0.380370211511733,-0.328334628242648,-0.00752332472435984,-0.00881819617649051,-0.246615502700557,-0.173183859771016,-0.218859944196511,-0.239968749441544,-0.418371128304808,-0.033695098718689,-0.057407118472403
"PCAL",0.295549440182403,-0.120513258843808,-0.10185766807943,-0.102314982387558,0.13137503748054,0.360449663801715,0.45237833306964,0.238235308042624,-0.0597787287001837,0.430493583622588,NA,-0.107553957526786,-0.342987440825623,0.434073778717706,-0.0882293839745949,-0.073223692886602,0.330138375768814,-0.148536735986616,-0.299200830052611,0.408128464892434,0.359043761133767,0.427321416587588,0.330210607860027
"PESP",0.0469679947843639,-0.0294407689002208,0.00679248072134007,-0.0195599672947966,0.114324319490058,0.0026775960949918,0.150402916151888,0.0640785728795774,0.0783238431118613,0.00888987783748466,0.107631302488589,NA,-0.065307755729943,0.137464985774753,0.0245049725869295,0.0211452753711707,0.0770664598781661,-0.110431110663991,-0.140055095305039,0.068709263453278,-0.0644245015309623,0.00523349714661727,-0.00140438115293284
