"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.16189984777968,-0.161491941919428,-0.155716630704178,-0.286505061813306,0.00711984009564327,-0.217249800456838,-0.156129637766873,-0.0578842446460486,0.032595050802494,-0.336625236176504,-0.0720033610538146,-0.294787560295748,-0.154433509431566,-0.0796881536950687,-0.0922255014456629,-0.225580230533943,-0.128401188272648,-0.175461685892336,-0.249126890567326,-0.115304727341211,0.0269028678682132,-0.163813964969754
"CDOU",0.160629999095403,NA,0.120097046067438,-0.0046504517775998,0.130892262001639,0.08815022342601,0.190257147033628,0.115374296952643,0.109939106014833,0.0809531690896252,0.133276456957276,0.0838768166061026,-0.0956730135349083,0.17526110283784,0.0894792304859217,0.149821092131212,0.128406350469775,0.000934817255114807,-0.19570087612301,0.117281669369378,0.0149308294637621,0.0796041566881295,0.0923528555654608
"CHAM",0.15887078496196,-0.105264542993433,NA,-0.0237316173864992,0.110422427620567,0.080720210698746,-0.045442490903394,0.0860977103416663,0.135778346295548,0.0739788666896195,0.107737751619452,0.000607777273518627,-0.0978678062234532,-0.0221850964840601,0.0731372127002775,0.165882892615956,0.101887628237188,-0.0418126181356364,-0.180384818659182,0.0943228490796231,0.000559278732128627,0.071653035251039,0.0811049055791408
"CMAR",0.154640861859811,0.00454703326669164,0.0223418640507137,NA,0.125673627422939,0.246634356025513,0.195988822813639,0.255070956021761,0.0933661643729432,0.272334495841719,0.125597506465389,0.0693528786366086,-0.204651258963703,0.168758214361872,0.072727808392078,0.0704371958459035,0.243056834612388,-0.0121548199482633,-0.313769897421168,0.201928365970187,0.121449122573127,0.271903594510673,0.160556876217113
"CORA",0.285785336973728,-0.130034834221136,-0.110740602622754,-0.124570428869389,NA,0.428978384766724,0.38056989246954,0.0866209519748159,-0.0573198401200686,0.468235632346282,-0.121255333864811,-0.102444468650164,-0.328071670884938,0.425300332296775,-0.0845448866770485,-0.0691441134451371,0.227744568541109,-0.152839682150444,-0.290000361910007,0.255594301779767,0.463629263489717,0.487005376583734,0.316495148462963
"CUEV",-0.00832406333875577,-0.090059348365222,-0.0803412453769059,-0.247590650394394,-0.427460858124934,NA,-0.34613786650172,-0.326878487401921,-0.0278906763372414,0.0581972936012053,-0.432196016788376,-0.0385021166730055,-0.424164249015649,-0.320493657760629,-0.0378808761975436,-0.0382563175598135,-0.375100149757998,-0.186326410573904,-0.269755379569167,-0.385339610549275,-0.319869530862376,0.0478653400638677,-0.181527702933662
"DAPH",0.215078252375776,-0.189955162847373,0.0449717849423963,-0.194920930871603,-0.381073391201981,0.346076847034954,NA,-0.0589173546938387,0.0847698880281433,0.286897362482816,-0.513125433264315,-0.15969999248438,-0.525708237794685,0.0517911223029341,0.0807320285046919,0.0959342487236134,0.0398496453514603,-0.224828391247554,-0.340126098553138,-0.0544856985819081,0.0771727668806482,0.294495885350178,0.254728440340499
"EGAS",0.156308267311733,-0.114933307111848,-0.0866426839296309,-0.254774441517348,-0.0847645014641468,0.326009417953953,0.0588106808314596,NA,-0.0147784061385893,0.272019792431241,-0.273375973607885,-0.0727212596414998,-0.458762510725786,0.0804557072441729,-0.0486856763744999,0.061032365248854,0.165471240162878,-0.150428372723895,-0.32793511435953,0.101084036958885,0.0845995645481612,0.270624263782756,0.165961248834114
"ELI",0.0570893699738588,-0.106830547110371,-0.134035680081637,-0.0927238404572265,0.0580626073929868,0.0279785677047282,-0.0852849492932168,0.0158161559356456,NA,0.0379191889702564,0.0399925638467493,-0.117709965321107,-0.13583672911103,-0.0608421122794228,-0.147487603612328,-0.0218251948058141,-0.0789158857504985,-0.164198677545776,-0.209576443991519,-0.0972789542512277,-0.0395959362836663,0.0345279905616946,0.00457886390126588
"GARD",-0.0331392560186211,-0.0805116128843503,-0.0740747220613104,-0.272342392024421,-0.466866717803815,-0.0569767876478802,-0.287640121864974,-0.272208591777536,-0.0380552981052849,NA,-0.444987522628044,-0.0446727394133388,-0.424378627353781,-0.344006025345067,-0.044949920258285,-0.045538940727569,-0.299549699354868,-0.221137321888838,-0.28728094936185,-0.25619420779751,-0.430834234656642,-0.0340904060998415,-0.111630062099214
