"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.0360248278572398,-0.0181690820745766,-0.123847728795014,-0.169180978824573,0.0385590077438318,-0.129292300305242,-0.106650496692252,-0.0336036758714335,0.0568369636449664,-0.197496163114468,-0.0558618788085989,-0.165585281233313,-0.0932727474442462,-0.060980131596172,-0.0546872501577439,-0.123489959827555,-0.0308966704793567,-0.0618391961917584,-0.134571067001512,-0.0588655820311518,0.0551099191801791,-0.0652951509784284
"CDOU",0.0351223873153596,NA,0.100424562476595,0.0379479016046961,0.0957385256198614,0.0347661179721576,0.147535494533436,0.121035212843552,0.102457223218582,0.0477868077329509,0.105826342007374,0.095803274429767,-0.0277181278820087,0.136916117731448,0.0601364450138939,0.0819197756855694,0.133389133842164,-0.0085701122039455,-0.098747721459735,0.120475463264701,-0.0148915485501357,0.0468071939190713,0.0137740916024864
"CHAM",0.0154606355935445,-0.0880363227164575,NA,0.0141970180606567,0.0798671557676414,0.0255336754648802,-0.0636137686716048,0.093407152269399,0.0973633242258923,0.0411621907306972,0.0844694015908752,0.0144328681223138,-0.0359540686842192,-0.0477182296087647,0.0376869155873027,0.0733606310424634,0.108229501815253,-0.0411297841914286,-0.106115307085932,0.0988141009533443,-0.0286093333205684,0.0392949420950531,-0.00411455495489499
"CMAR",0.122358722766852,-0.0371882074316314,-0.0143659268097968,NA,0.0903877402504515,0.241479130499073,0.158626104361729,0.224774011411024,0.0542008995530309,0.231279313134378,0.104902572207349,0.0178423029816505,-0.085573922001262,0.137914335972877,0.0295642048747038,0.0304707222958192,0.226443756393287,-0.0809914300018921,-0.200795641004813,0.184513015554132,0.12343119980215,0.236059083309786,0.135518503874334
"CORA",0.16839550195286,-0.0949302455412303,-0.079569299177433,-0.0898323528142391,NA,0.289679474374802,0.222272591917074,0.0234147371741296,-0.0355355752788277,0.311184163973389,-0.0658170429707182,-0.0716585645812477,-0.183977043816986,0.240864786400854,-0.057574887320697,-0.0478120690867156,0.125406074939711,-0.11664146071427,-0.176270044441279,0.142694465014639,0.283594898807888,0.325621409631095,0.195210377948364
"CUEV",-0.0392015583724693,-0.0367766561717302,-0.0259493226675993,-0.24216662290066,-0.289123871149172,NA,-0.300258098890243,-0.296971900007421,-0.0339015041175016,0.0749307664461876,-0.324518594046103,-0.0470014000173484,-0.297186545693023,-0.263547957710167,-0.0482396781010425,-0.0440347634697758,-0.323804249918245,-0.200454392872921,-0.235922960881931,-0.331915541052729,-0.265616786317094,0.0725497323822324,-0.182242612724081
"DAPH",0.12804151752234,-0.146995450466306,0.0629973994297972,-0.157883265197722,-0.223509416598162,0.300193750864498,NA,-0.0658943461387943,0.0506143567190262,0.216971245938126,-0.334623601238403,-0.121537174473618,-0.318623912736744,0.0490176928824127,0.0414707593557246,0.0569631039932842,0.00904938275232234,-0.179874520737442,-0.226778805132318,-0.0471120081994294,0.0587585787606601,0.222011511941404,0.169968434166683
"EGAS",0.106442453205797,-0.120315091129328,-0.0933740008753919,-0.225335904144163,-0.0221948077546092,0.296338690607048,0.0661259324587875,NA,-0.0281107202760177,0.225321121049862,-0.138472994162427,-0.0845830658038353,-0.234537937215779,0.0763392414950521,-0.0603627333621912,0.0442561629318706,0.167187513080424,-0.163473765405558,-0.23727636940271,0.0974852074218457,0.0734211124791516,0.230241877867081,0.12042664671896
"ELI",0.0296005184597276,-0.0991200581765192,-0.0974467372374319,-0.0526500850215782,0.0364708439491437,0.03194021754722,-0.0525683934092838,0.0297659546004194,NA,0.045551312134086,0.0280335529053833,-0.101918410562658,-0.076703460040468,-0.0386494351499271,-0.129052702705874,-0.0154891926996911,-0.0439742067052578,-0.145190287932562,-0.108780729757094,-0.0529740931483267,-0.0204011780087593,0.0440074380406467,0.0071959317243334
"GARD",-0.0570658051711663,-0.0472050611615672,-0.0416448874203775,-0.231301154007313,-0.310820590918663,-0.0737066089390786,-0.217366479366017,-0.225323726908485,-0.0470089018602796,NA,-0.310489965792659,-0.0554027487835281,-0.283679791545708,-0.25800608773062,-0.0570891996937103,-0.0548940818235305,-0.2357891535203,-0.202678562710154,-0.230525336137166,-0.1941788377383,-0.325974315305177,-0.0255009784317755,-0.121477689362271
"PCAL",0.197785626208807,-0.10507627737601,-0.0836966578282435,-0.105959328985989,0.0649106413856489,0.324667033839264,0.336188183962543,0.14041077014006,-0.0267704937787693,0.311701133761326,NA,-0.0750176898371927,-0.197991817916185,0.329913020482372,-0.0547856980199658,-0.0424592405078181,0.231858751598128,-0.138300956924917,-0.227721844159265,0.288423910689316,0.273308938322585,0.313842725715321,0.223522982185115
"PESP",0.0525721959279433,-0.091545482725385,-0.011176563245842,-0.0184077605811564,0.0723645264834831,0.0454006202275029,0.121018911058155,0.0852208061822821,0.105303099966515,0.0544462326278217,0.0756715152936655,NA,-0.0612340243867288,0.113201956190802,0.044381430971344,0.0399269932671041,0.103097766987732,-0.223575611881244,-0.104344399886296,0.091480477754447,-0.00578143059292531,0.0532578948862125,0.0289408373703918
"PIN",0.164994945361104,0.0297229941806296,0.037142924998508,0.0861483117005869,0.181412438508936,0.296391505738778,0.31777646160175,0.235437221305437,0.0785034287689083,0.283367517662206,0.194395350457672,0.0626456777967319,NA,0.30467471456288,0.0660616967654643,0.0614248174802546,0.22001863820557,0.0202538119028371,-0.0450766975207478,0.269195022566372,0.26551724968559,0.288572999238228,0.179730439317775
"PLAZ",0.091772157495175,-0.135565976476094,0.0462677136816307,-0.135996968434742,-0.237897640018615,0.262835118452724,-0.0407875700396515,-0.0757392732612059,0.0362635140042963,0.256439504753882,-0.326454951370056,-0.112744592892264,-0.304348618402391,NA,0.0271203412865677,0.0394708748985611,-0.0282957421781036,-0.163290537410471,-0.202851552740761,-0.0541388293281303,0.0691607593999318,0.267090090833699,0.100008762667944
