"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.127542259574954,-0.130199145254547,-0.119088894026968,-0.174373049211427,0.0665884146863148,-0.143282245143567,-0.117915329353791,-0.0421957938423737,0.080466726689427,-0.20901753345665,-0.0386580020066354,-0.201441169275925,-0.0756447243380596,-0.0409022185685928,-0.0717702240223974,-0.151690803081,-0.0930108956832728,-0.118236478115965,-0.156468605920723,-0.0415318132939628,0.0808205510636685,-0.0699369812501014
"CDOU",0.126794251998058,NA,0.0855672674801727,0.0287360681529902,0.112533847769445,0.10481466870711,0.146395971867702,0.113279019637184,0.0998912373589314,0.10276877911541,0.119190225541714,0.076468895532708,-0.0478629949071345,0.135212669189562,0.0778771727128691,0.109474658667396,0.125670114331612,0.0424884879100324,-0.0963797186505251,0.115149306845086,0.0384746737145617,0.104018392710364,0.0860879455933144
"CHAM",0.129073060165004,-0.0740302892119038,NA,0.00924974332323791,0.096374026280911,0.104657682462746,-0.0184162893734386,0.0883659055485444,0.118038134073861,0.101528131027045,0.0983230281093255,0.00972924936584234,-0.0520256503478487,0.0116030558384083,0.0779930791719539,0.122621338279826,0.102894379016822,-0.00544560996917531,-0.0958040116711181,0.0955947383208494,0.0311746962752364,0.102357200764663,0.0819512837298289
"CMAR",0.118002931868005,-0.0284968989159572,-0.0101554311273669,NA,0.107278844165521,0.209213080609654,0.144219926473593,0.20817940951976,0.0519379162341058,0.22499851488338,0.115268753688041,0.0119161947839359,-0.121242428236609,0.125149688201627,0.0233649726259955,0.0182268762912442,0.204973599225321,-0.0328359529072166,-0.22583706634232,0.17346519854397,0.118916169285873,0.225987203324129,0.131529612321458
"CORA",0.173936491701237,-0.111891423580753,-0.0965290480605158,-0.106582910687679,NA,0.2649080820956,0.214133737968706,0.0291479300270083,-0.0534785214440123,0.299730911508927,-0.0910668974099421,-0.0946676941717495,-0.234237129116245,0.249657292862101,-0.0792685418008935,-0.0710333917264324,0.121694475303218,-0.124098588219624,-0.209307267886254,0.139538354792588,0.279197154115963,0.30855698845771,0.197974946504627
"CUEV",-0.0671253383007753,-0.106170103414613,-0.104085774876969,-0.209823029456554,-0.26382739372365,NA,-0.268973580952127,-0.271591370343134,-0.0572002212463895,0.0938636433077575,-0.304407771454046,-0.0543511755488366,-0.304036442825945,-0.217823903650593,-0.057245468032643,-0.0740702677829425,-0.302644071678054,-0.163759739478879,-0.218027032784691,-0.30177941374547,-0.205649861652502,0.0956949398884466,-0.146892496601175
"DAPH",0.141711256452895,-0.146052380712652,0.0180714606517703,-0.143692640310257,-0.214073921251118,0.268623317724355,NA,-0.0834081288877897,0.0536430712763101,0.195901939508756,-0.321614697916085,-0.127338944245202,-0.346188087818261,0.0429351880968684,0.0583653476550247,0.0584795491896992,-0.0156649802337334,-0.164777716043042,-0.238192768634708,-0.0645602869057216,0.0492660613094471,0.197009146023494,0.180274208807904
"EGAS",0.118173283382955,-0.112872537386337,-0.088838583000322,-0.208651419565317,-0.0277229165345053,0.271046956554991,0.0830367631459188,NA,-0.0288193092543328,0.22844676774451,-0.146503611022672,-0.0867103007400935,-0.299849414813758,0.084655507419864,-0.0635357621493238,0.0446894157641034,0.16413166056823,-0.13358140194555,-0.24854921435725,0.102902255689238,0.0764817099466302,0.229071026099049,0.137692974389232
"ELI",0.0428015464864287,-0.0976321026722289,-0.116066427814599,-0.0515139321820588,0.0540009661486685,0.0578981186356823,-0.0536102044756174,0.0295191076631463,NA,0.0693704114822442,0.0429818690788666,-0.108532900666821,-0.0860880256102678,-0.0226892867324984,-0.122608659332029,-0.0263623971316483,-0.050413095042798,-0.11464182547021,-0.135219811776419,-0.0574683473192748,-0.00438498121358131,0.0691411585871071,0.0164226573073106
"GARD",-0.0804595200799658,-0.102248895815336,-0.101289419875127,-0.224821898360867,-0.298797058105906,-0.0924219440525004,-0.195769862833153,-0.228243888513303,-0.0688915366685323,NA,-0.286902911215563,-0.0659088302639982,-0.281752606568914,-0.232795677160262,-0.0690505400408631,-0.0810930920325134,-0.244491070475147,-0.187288865855917,-0.230220158988349,-0.17809277252563,-0.296543745711096,-0.0220273297956346,-0.11724745062429
"PCAL",0.209727988889294,-0.119019920062283,-0.0979420970186474,-0.116961377597555,0.0903119440635701,0.30512519408406,0.32501315290405,0.148434644109217,-0.042463543421944,0.288782105257114,NA,-0.0966772834030528,-0.297798343980407,0.308364164105169,-0.0751732553656792,-0.0646477295200135,0.229018636089961,-0.137348173675934,-0.263508707895631,0.287459414000728,0.25277999791885,0.287702118032664,0.238649104596838
"PESP",0.0388133315899213,-0.0737501598906029,-0.00764754056806446,-0.0133556446590516,0.0949662571671814,0.0548219164442706,0.126573618675778,0.0863122175009118,0.111221010520398,0.0665555287989245,0.0967174376748805,NA,-0.0728325957402641,0.117501941080889,0.0409342089656906,0.0179332449592782,0.10278281015864,-0.119083642935706,-0.149572021180105,0.0935064032233628,-0.00320285118487668,0.0662675681196577,0.0169110166397173
"PIN",0.201195311801501,0.0493067446622384,0.0525353273606185,0.122023000941531,0.230424660820222,0.303326475177644,0.345480394206267,0.300863802453624,0.0870376285885581,0.281804370008099,0.293201922484923,0.0731878018360369,NA,0.319891390478853,0.0737393660087971,0.0625953921874769,0.271302754142688,0.0631155312744551,-0.0447309777666225,0.311906376957647,0.276115218486071,0.285400329238434,0.222064722123507
"PLAZ",0.0741341216084997,-0.133985577787625,-0.0124203538292934,-0.123364921844594,-0.245327481287088,0.216957461504067,-0.0349010283293324,-0.0838782700836702,0.0224125495614231,0.231907507821326,-0.303982857362562,-0.117158045352682,-0.319366681670403,NA,0.0255026379435856,0.0215937753378067,-0.0382045791903795,-0.149429013403529,-0.211877395440962,-0.0579437100645994,0.056614085138971,0.237203069305039,0.0779086343774088
"PMAN",0.0405707118977292,-0.0793375099100685,-0.0783171825033335,-0.0234390331080076,0.0797373094108066,0.0578084503680647,-0.0589869279983467,0.0634336396999846,0.124863317853024,0.0692848338493142,0.0753087948110403,-0.0375955401989891,-0.0723905963945788,-0.0263082112149589,NA,0.00465690432451942,0.0810712519266865,-0.084729234436493,-0.127530506490341,0.074682612483011,-0.00714352882191764,0.069411941339002,0.0133849778095043
