"","journeyID","OceanographicResistance","OceanographicResistanceSD","start","end"
"1","CDOU_BAR",0.116129797664352,0.0858455814967505,"CDOU","BAR"
"2","CHAM_BAR",0.100472019027909,0.0910948472162541,"CHAM","BAR"
"3","CMAR_BAR",0.147634465947574,0.0947558238229927,"CMAR","BAR"
"4","CORA_BAR",0.3130190126168,0.101427545380794,"CORA","BAR"
"5","CUEV_BAR",0.0145281085536262,0.160222952916752,"CUEV","BAR"
"6","DAPH_BAR",0.238365859530489,0.0795874686692434,"DAPH","BAR"
"7","EGAS_BAR",0.159271093219619,0.103263101673957,"EGAS","BAR"
"8","ELI_BAR",0.0426540129204874,0.103256120105046,"ELI","BAR"
"9","GARD_BAR",-0.0131252092591984,0.139845968814484,"GARD","BAR"
"10","PCAL_BAR",0.350058122795753,0.162803203915132,"PCAL","BAR"
"11","PESP_BAR",0.0593208383378953,0.093894579159954,"PESP","BAR"
"12","PIN_BAR",0.311731858295788,0.235986975689474,"PIN","BAR"
"13","PLAZ_BAR",0.159237522658941,0.0765992155634962,"PLAZ","BAR"
"14","PMAN_BAR",0.0644084658822417,0.0981446647623715,"PMAN","BAR"
"15","PMOR_BAR",0.072023337555013,0.108147989457345,"PMOR","BAR"
"16","PROJ_BAR",0.242138667779719,0.081488001019099,"PROJ","BAR"
"17","PVIC_BAR",0.101371393779866,0.08236543158328,"PVIC","BAR"
"18","RED_BAR",0.160470513255133,0.12919733417378,"RED","BAR"
"19","SOMB_BAR",0.267759733109498,0.0963344894318952,"SOMB","BAR"
"20","STAFE_BAR",0.133793025472035,0.081243031977856,"STAFE","BAR"
"21","SUAR_BAR",-0.00745216596018199,0.150526188037938,"SUAR","BAR"
"22","TOR_BAR",0.173271222357301,0.111365348694631,"TOR","BAR"
"23","BAR_CDOU",-0.116730709844749,0.0854910014637402,"BAR","CDOU"
"24","CHAM_CDOU",-0.118828189384026,0.0861532759682645,"CHAM","CDOU"
"25","CMAR_CDOU",0.02874560895357,0.244926414787991,"CMAR","CDOU"
"26","CORA_CDOU",-0.0981900997819638,0.207207800807895,"CORA","CDOU"
"27","CUEV_CDOU",-0.0495826464089277,0.159016932759072,"CUEV","CDOU"
"28","DAPH_CDOU",-0.17655684699104,0.268571682189954,"DAPH","CDOU"
"29","EGAS_CDOU",-0.0825329558831946,0.258832269824914,"EGAS","CDOU"
"30","ELI_CDOU",-0.103214989593018,0.0707386932358735,"ELI","CDOU"
"31","GARD_CDOU",-0.0469219529473456,0.146390618353633,"GARD","CDOU"
