"","journeyID","OceanographicResistance","OceanographicResistanceSD","start","end"
"1","CDOU_BAR",0.160629999095403,0.0984445304303135,"CDOU","BAR"
"2","CHAM_BAR",0.15887078496196,0.10199655227793,"CHAM","BAR"
"3","CMAR_BAR",0.154640861859811,0.0935762100734992,"CMAR","BAR"
"4","CORA_BAR",0.285785336973728,0.0996288243943899,"CORA","BAR"
"5","CUEV_BAR",-0.00832406333875577,0.181034342450819,"CUEV","BAR"
"6","DAPH_BAR",0.215078252375776,0.0788764696999682,"DAPH","BAR"
"7","EGAS_BAR",0.156308267311733,0.101843332726432,"EGAS","BAR"
"8","ELI_BAR",0.0570893699738588,0.128944771565362,"ELI","BAR"
"9","GARD_BAR",-0.0331392560186211,0.155885787645544,"GARD","BAR"
"10","PCAL_BAR",0.337285681480567,0.168291348113644,"PCAL","BAR"
"11","PESP_BAR",0.0710857944675534,0.117353955102172,"PESP","BAR"
"12","PIN_BAR",0.294457367527368,0.223592604702946,"PIN","BAR"
"13","PLAZ_BAR",0.152302894673551,0.0702156113996027,"PLAZ","BAR"
"14","PMAN_BAR",0.0775934185902059,0.125569958059673,"PMAN","BAR"
"15","PMOR_BAR",0.0917555291656232,0.1376077933217,"PMOR","BAR"
"16","PROJ_BAR",0.225617468442883,0.083889298769773,"PROJ","BAR"
"17","PVIC_BAR",0.127839284073468,0.111586018265338,"PVIC","BAR"
"18","RED_BAR",0.177474136768777,0.126958043626685,"RED","BAR"
"19","SOMB_BAR",0.249171877997575,0.0981891635289547,"SOMB","BAR"
"20","STAFE_BAR",0.113238399526011,0.0811063790928535,"STAFE","BAR"
"21","SUAR_BAR",-0.0280200803306094,0.16735852102635,"SUAR","BAR"
"22","TOR_BAR",0.160709437987186,0.104219714708366,"TOR","BAR"
"23","BAR_CDOU",-0.16189984777968,0.0981634449057929,"BAR","CDOU"
"24","CHAM_CDOU",-0.105264542993433,0.0913818534095807,"CHAM","CDOU"
"25","CMAR_CDOU",0.00454703326669164,0.260249018884151,"CMAR","CDOU"
"26","CORA_CDOU",-0.130034834221136,0.217772795860525,"CORA","CDOU"
"27","CUEV_CDOU",-0.090059348365222,0.176177006451847,"CUEV","CDOU"
"28","DAPH_CDOU",-0.189955162847373,0.27071376607893,"DAPH","CDOU"
"29","EGAS_CDOU",-0.114933307111848,0.274282654718964,"EGAS","CDOU"
"30","ELI_CDOU",-0.106830547110371,0.0726369213460459,"ELI","CDOU"
"31","GARD_CDOU",-0.0805116128843503,0.16303627560103,"GARD","CDOU"
"32","PCAL_CDOU",-0.133329308132227,0.249918695448097,"PCAL","CDOU"
"33","PESP_CDOU",-0.082207496256768,0.0709332873361324,"PESP","CDOU"
"34","PIN_CDOU",0.0973081695829446,0.23284571223574,"PIN","CDOU"
"35","PLAZ_CDOU",-0.173893400012805,0.259049549387763,"PLAZ","CDOU"
"36","PMAN_CDOU",-0.0913831028242732,0.0696617521224145,"PMAN","CDOU"
"37","PMOR_CDOU",-0.146892240384684,0.062661764750396,"PMOR","CDOU"
"38","PROJ_CDOU",-0.128640072445084,0.255809157299288,"PROJ","CDOU"
"39","PVIC_CDOU",-0.00195999561771008,0.0760277634758201,"PVIC","CDOU"
"40","RED_CDOU",0.214015783033579,0.17423393056296,"RED","CDOU"
"41","SOMB_CDOU",-0.115809804009813,0.249711229459437,"SOMB","CDOU"
"42","STAFE_CDOU",-0.0166817809617424,0.16581082306587,"STAFE","CDOU"
"43","SUAR_CDOU",-0.0790711020478774,0.170326554368385,"SUAR","CDOU"
"44","TOR_CDOU",-0.0926633667529516,0.171302459387126,"TOR","CDOU"
"45","BAR_CHAM",-0.161491941919428,0.0973564611135904,"BAR","CHAM"
"46","CDOU_CHAM",0.120097046067438,0.0740143925197105,"CDOU","CHAM"
"47","CMAR_CHAM",0.0223418640507137,0.241029511801331,"CMAR","CHAM"
"48","CORA_CHAM",-0.110740602622754,0.219775477238371,"CORA","CHAM"
"49","CUEV_CHAM",-0.0803412453769059,0.182136129487797,"CUEV","CHAM"
"50","DAPH_CHAM",0.0449717849423963,0.210884425456381,"DAPH","CHAM"
"51","EGAS_CHAM",-0.0866426839296309,0.268285252814058,"EGAS","CHAM"
"52","ELI_CHAM",-0.134035680081637,0.0310832501789335,"ELI","CHAM"
"53","GARD_CHAM",-0.0740747220613104,0.165178846124911,"GARD","CHAM"
"54","PCAL_CHAM",-0.107333419763355,0.248799181945834,"PCAL","CHAM"
"55","PESP_CHAM",0.00215087825365472,0.12784416657494,"PESP","CHAM"
"56","PIN_CHAM",0.0985111339523452,0.22031077724038,"PIN","CHAM"
"57","PLAZ_CHAM",0.0206817414924549,0.179140539824851,"PLAZ","CHAM"
"58","PMAN_CHAM",-0.0728848023889598,0.0518993749776738,"PMAN","CHAM"
"59","PMOR_CHAM",-0.160679585040236,0.0539483709451872,"PMOR","CHAM"
"60","PROJ_CHAM",-0.102205745376474,0.253972102652163,"PROJ","CHAM"
"61","PVIC_CHAM",0.0431562407164341,0.093301908318884,"PVIC","CHAM"
"62","RED_CHAM",0.187571777940183,0.158561845531285,"RED","CHAM"
"63","SOMB_CHAM",-0.0933580516640815,0.247110565921714,"SOMB","CHAM"
"64","STAFE_CHAM",-0.00186114746010919,0.16462841874447,"STAFE","CHAM"
"65","SUAR_CHAM",-0.0722539951160589,0.172764165084203,"SUAR","CHAM"
"66","TOR_CHAM",-0.0794706356042166,0.179411146592534,"TOR","CHAM"
"67","BAR_CMAR",-0.155716630704178,0.0966823968858445,"BAR","CMAR"
"68","CDOU_CMAR",-0.0046504517775998,0.257930258185497,"CDOU","CMAR"
"69","CHAM_CMAR",-0.0237316173864992,0.23826654338836,"CHAM","CMAR"
"70","CORA_CMAR",-0.124570428869389,0.124781868132039,"CORA","CMAR"
"71","CUEV_CMAR",-0.247590650394394,0.164577573219641,"CUEV","CMAR"
"72","DAPH_CMAR",-0.194920930871603,0.122634788303633,"DAPH","CMAR"
"73","EGAS_CMAR",-0.254774441517348,0.0290215689577601,"EGAS","CMAR"
"74","ELI_CMAR",-0.0927238404572265,0.230183978607604,"ELI","CMAR"
"75","GARD_CMAR",-0.272342392024421,0.108073179913103,"GARD","CMAR"
"76","PCAL_CMAR",-0.127769825683436,0.153667164518741,"PCAL","CMAR"
"77","PESP_CMAR",-0.0713858367157872,0.276624199202479,"PESP","CMAR"
"78","PIN_CMAR",0.205915497914795,0.150076992575759,"PIN","CMAR"
"79","PLAZ_CMAR",-0.166409773856396,0.127504393344952,"PLAZ","CMAR"
"80","PMAN_CMAR",-0.0729358290136558,0.254244218968817,"PMAN","CMAR"
"81","PMOR_CMAR",-0.0699831236711891,0.226807773138737,"PMOR","CMAR"
"82","PROJ_CMAR",-0.242958222552007,0.0460496382997762,"PROJ","CMAR"
"83","PVIC_CMAR",0.0109405819838881,0.291683189031545,"PVIC","CMAR"
"84","RED_CMAR",0.31613818889849,0.170159102941262,"RED","CMAR"
"85","SOMB_CMAR",-0.199969809206052,0.113755645713104,"SOMB","CMAR"
"86","STAFE_CMAR",-0.120608951782341,0.138303155012682,"STAFE","CMAR"
"87","SUAR_CMAR",-0.272398636161451,0.114014891357733,"SUAR","CMAR"
"88","TOR_CMAR",-0.164212535898214,0.135074318469409,"TOR","CMAR"
"89","BAR_CORA",-0.286505061813306,0.0989688819806573,"BAR","CORA"
"90","CDOU_CORA",0.130892262001639,0.219245395175801,"CDOU","CORA"
"91","CHAM_CORA",0.110422427620567,0.221234634687886,"CHAM","CORA"
"92","CMAR_CORA",0.125673627422939,0.12811031951235,"CMAR","CORA"
"93","CUEV_CORA",-0.427460858124934,0.115745759325033,"CUEV","CORA"
