"","journeyID","OceanographicResistance","OceanographicResistanceSD","start","end"
"1","CDOU_BAR",0.0351223873153596,0.111380600967254,"CDOU","BAR"
"2","CHAM_BAR",0.0154606355935445,0.098125812172578,"CHAM","BAR"
"3","CMAR_BAR",0.122358722766852,0.0689352239549703,"CMAR","BAR"
"4","CORA_BAR",0.16839550195286,0.0598091554239602,"CORA","BAR"
"5","CUEV_BAR",-0.0392015583724693,0.140016951797766,"CUEV","BAR"
"6","DAPH_BAR",0.12804151752234,0.0536922177372337,"DAPH","BAR"
"7","EGAS_BAR",0.106442453205797,0.0536403907107217,"EGAS","BAR"
"8","ELI_BAR",0.0296005184597276,0.0855161018559196,"ELI","BAR"
"9","GARD_BAR",-0.0570658051711663,0.117196419681808,"GARD","BAR"
"10","PCAL_BAR",0.197785626208807,0.110014218784457,"PCAL","BAR"
"11","PESP_BAR",0.0525721959279433,0.0853541118131571,"PESP","BAR"
"12","PIN_BAR",0.164994945361104,0.115177655250374,"PIN","BAR"
"13","PLAZ_BAR",0.091772157495175,0.0613210562531036,"PLAZ","BAR"
"14","PMAN_BAR",0.0559339707139349,0.0897398787703623,"PMAN","BAR"
"15","PMOR_BAR",0.0493446136420218,0.0934449800262739,"PMOR","BAR"
"16","PROJ_BAR",0.123376484293163,0.0616074836817875,"PROJ","BAR"
"17","PVIC_BAR",0.0308427659747864,0.105374198836619,"PVIC","BAR"
"18","RED_BAR",0.062396534895999,0.119146466567905,"RED","BAR"
"19","SOMB_BAR",0.135008569060052,0.0715246383229549,"SOMB","BAR"
"20","STAFE_BAR",0.0571861910397887,0.0877487084456233,"STAFE","BAR"
"21","SUAR_BAR",-0.0557329129515011,0.125159886299571,"SUAR","BAR"
"22","TOR_BAR",0.0624864951984598,0.0544403334851328,"TOR","BAR"
"23","BAR_CDOU",-0.0360248278572398,0.110615896348529,"BAR","CDOU"
"24","CHAM_CDOU",-0.0880363227164575,0.110275934700663,"CHAM","CDOU"
"25","CMAR_CDOU",-0.0371882074316314,0.199185441367792,"CMAR","CDOU"
"26","CORA_CDOU",-0.0949302455412303,0.146149877876784,"CORA","CDOU"
"27","CUEV_CDOU",-0.0367766561717302,0.125374767066875,"CUEV","CDOU"
"28","DAPH_CDOU",-0.146995450466306,0.181420445813309,"DAPH","CDOU"
"29","EGAS_CDOU",-0.120315091129328,0.201575940327442,"EGAS","CDOU"
"30","ELI_CDOU",-0.0991200581765192,0.0626779144501117,"ELI","CDOU"
"31","GARD_CDOU",-0.0472050611615672,0.117394834390814,"GARD","CDOU"
"32","PCAL_CDOU",-0.10507627737601,0.166953804113312,"PCAL","CDOU"
"33","PESP_CDOU",-0.091545482725385,0.066080833262657,"PESP","CDOU"
"34","PIN_CDOU",0.0297229941806296,0.161026776287231,"PIN","CDOU"
"35","PLAZ_CDOU",-0.135565976476094,0.174207339199534,"PLAZ","CDOU"
"36","PMAN_CDOU",-0.0634459695826758,0.07185468135257,"PMAN","CDOU"
"37","PMOR_CDOU",-0.0809393351787935,0.0552572263603675,"PMOR","CDOU"
"38","PROJ_CDOU",-0.133175317296843,0.188974328412393,"PROJ","CDOU"
"39","PVIC_CDOU",0.00807932444168879,0.102651796330387,"PVIC","CDOU"
"40","RED_CDOU",0.107516736443615,0.129359820197727,"RED","CDOU"
"41","SOMB_CDOU",-0.118917019105947,0.185354197896888,"SOMB","CDOU"
"42","STAFE_CDOU",0.0135267325281258,0.109038229928016,"STAFE","CDOU"
"43","SUAR_CDOU",-0.0461105122703726,0.121908400824418,"SUAR","CDOU"
"44","TOR_CDOU",-0.0150738268571924,0.10958920196328,"TOR","CDOU"
"45","BAR_CHAM",-0.0181690820745766,0.0975911378259463,"BAR","CHAM"
"46","CDOU_CHAM",0.100424562476595,0.095119339570448,"CDOU","CHAM"
"47","CMAR_CHAM",-0.0143659268097968,0.19113491144247,"CMAR","CHAM"
"48","CORA_CHAM",-0.079569299177433,0.151542303362166,"CORA","CHAM"
"49","CUEV_CHAM",-0.0259493226675993,0.123387615229939,"CUEV","CHAM"
"50","DAPH_CHAM",0.0629973994297972,0.107020819550552,"DAPH","CHAM"
"51","EGAS_CHAM",-0.0933740008753919,0.203984003227718,"EGAS","CHAM"
"52","ELI_CHAM",-0.0974467372374319,0.0290618696941902,"ELI","CHAM"
"53","GARD_CHAM",-0.0416448874203775,0.114695342663242,"GARD","CHAM"
"54","PCAL_CHAM",-0.0836966578282435,0.171998010091286,"PCAL","CHAM"
"55","PESP_CHAM",-0.011176563245842,0.131003789582246,"PESP","CHAM"
"56","PIN_CHAM",0.037142924998508,0.155980923828911,"PIN","CHAM"
"57","PLAZ_CHAM",0.0462677136816307,0.0962909451580663,"PLAZ","CHAM"
"58","PMAN_CHAM",-0.0420625631503558,0.0239127575415137,"PMAN","CHAM"
"59","PMOR_CHAM",-0.0728790924237976,0.0212994674387232,"PMOR","CHAM"
"60","PROJ_CHAM",-0.10815601168053,0.194343738596326,"PROJ","CHAM"
"61","PVIC_CHAM",0.0447910679208498,0.105110770610258,"PVIC","CHAM"
"62","RED_CHAM",0.109253620132447,0.118556550750145,"RED","CHAM"
"63","SOMB_CHAM",-0.0978593859950585,0.188893486862602,"SOMB","CHAM"
"64","STAFE_CHAM",0.0271410272314144,0.0994100489359117,"STAFE","CHAM"
"65","SUAR_CHAM",-0.0402177886570296,0.119449998365183,"SUAR","CHAM"
"66","TOR_CHAM",0.003716095502467,0.0984311441295013,"TOR","CHAM"
"67","BAR_CMAR",-0.123847728795014,0.0686522155504763,"BAR","CMAR"
"68","CDOU_CMAR",0.0379479016046961,0.19837024728489,"CDOU","CMAR"
"69","CHAM_CMAR",0.0141970180606567,0.189393965857773,"CHAM","CMAR"
"70","CORA_CMAR",-0.0898323528142391,0.0686413879824961,"CORA","CMAR"
"71","CUEV_CMAR",-0.24216662290066,0.132352127927104,"CUEV","CMAR"
"72","DAPH_CMAR",-0.157883265197722,0.0825911909195697,"DAPH","CMAR"
"73","EGAS_CMAR",-0.225335904144163,0.0281433028130904,"EGAS","CMAR"
"74","ELI_CMAR",-0.0526500850215782,0.190741559251384,"ELI","CMAR"
"75","GARD_CMAR",-0.231301154007313,0.0775390777509931,"GARD","CMAR"
"76","PCAL_CMAR",-0.105959328985989,0.0772786659629434,"PCAL","CMAR"
"77","PESP_CMAR",-0.0184077605811564,0.222622131317098,"PESP","CMAR"
"78","PIN_CMAR",0.0861483117005869,0.0810196896810796,"PIN","CMAR"
"79","PLAZ_CMAR",-0.135996968434742,0.0894303422957219,"PLAZ","CMAR"
"80","PMAN_CMAR",-0.0289379948431086,0.206733502255677,"PMAN","CMAR"
"81","PMOR_CMAR",-0.0293541798833363,0.184312177256688,"PMOR","CMAR"
"82","PROJ_CMAR",-0.226904400634226,0.0377290527883573,"PROJ","CMAR"
"83","PVIC_CMAR",0.0812639133964886,0.188274810697371,"PVIC","CMAR"
"84","RED_CMAR",0.200772281365864,0.108771414810533,"RED","CMAR"
"85","SOMB_CMAR",-0.182970058818526,0.0987528089337894,"SOMB","CMAR"
"86","STAFE_CMAR",-0.122778980861643,0.125623836065837,"STAFE","CMAR"
"87","SUAR_CMAR",-0.236399109130253,0.0811409120551458,"SUAR","CMAR"
"88","TOR_CMAR",-0.138217135292306,0.0792866504638953,"TOR","CMAR"
"89","BAR_CORA",-0.169180978824573,0.0592556122233836,"BAR","CORA"
"90","CDOU_CORA",0.0957385256198614,0.146759200463967,"CDOU","CORA"
"91","CHAM_CORA",0.0798671557676414,0.151851001948522,"CHAM","CORA"
"92","CMAR_CORA",0.0903877402504515,0.0709380406454834,"CMAR","CORA"
"93","CUEV_CORA",-0.289123871149172,0.0628137846783196,"CUEV","CORA"
"94","DAPH_CORA",-0.223509416598162,0.019189234349711,"DAPH","CORA"
"95","EGAS_CORA",-0.0221948077546092,0.0474694553646867,"EGAS","CORA"
"96","ELI_CORA",0.0364708439491437,0.174645409760575,"ELI","CORA"
"97","GARD_CORA",-0.310820590918663,0.078839807732661,"GARD","CORA"
"98","PCAL_CORA",0.0649106413856489,0.050597863011729,"PCAL","CORA"
"99","PESP_CORA",0.0723645264834831,0.171058283341913,"PESP","CORA"
"100","PIN_CORA",0.181412438508936,0.0806307972937731,"PIN","CORA"
"101","PLAZ_CORA",-0.237897640018615,0.0885101066144697,"PLAZ","CORA"
"102","PMAN_CORA",0.0586708830241862,0.171880818118128,"PMAN","CORA"
"103","PMOR_CORA",0.0489636781797626,0.164938576618625,"PMOR","CORA"
"104","PROJ_CORA",-0.1234382158905,0.060173300973479,"PROJ","CORA"
"105","PVIC_CORA",0.117726758388231,0.126410351733438,"PVIC","CORA"
"106","RED_CORA",0.175401150869223,0.100906872347537,"RED","CORA"
"107","SOMB_CORA",-0.142861522692001,0.0333347154910702,"SOMB","CORA"
"108","STAFE_CORA",-0.281246281728451,0.0474392582967861,"STAFE","CORA"
"109","SUAR_CORA",-0.326347327738067,0.0766645928661292,"SUAR","CORA"
"110","TOR_CORA",-0.196317860717102,0.0380493701206454,"TOR","CORA"
"111","BAR_CUEV",0.0385590077438318,0.139603290637534,"BAR","CUEV"
"112","CDOU_CUEV",0.0347661179721576,0.127450462220679,"CDOU","CUEV"
"113","CHAM_CUEV",0.0255336754648802,0.123636492622937,"CHAM","CUEV"
"114","CMAR_CUEV",0.241479130499073,0.132368354872239,"CMAR","CUEV"
"115","CORA_CUEV",0.289679474374802,0.0617649712075568,"CORA","CUEV"
"116","DAPH_CUEV",0.300193750864498,0.180255026636293,"DAPH","CUEV"
"117","EGAS_CUEV",0.296338690607048,0.158384983510073,"EGAS","CUEV"
"118","ELI_CUEV",0.03194021754722,0.11641888606198,"ELI","CUEV"
"119","GARD_CUEV",-0.0737066089390786,0.0835048528102628,"GARD","CUEV"
"120","PCAL_CUEV",0.324667033839264,0.12906549974221,"PCAL","CUEV"
"121","PESP_CUEV",0.0454006202275029,0.115345524161591,"PESP","CUEV"
"122","PIN_CUEV",0.296391505738778,0.141694862687043,"PIN","CUEV"
"123","PLAZ_CUEV",0.262835118452724,0.130097585990185,"PLAZ","CUEV"
"124","PMAN_CUEV",0.0462638512493563,0.120320779722733,"PMAN","CUEV"
"125","PMOR_CUEV",0.0412135666667484,0.125017347540451,"PMOR","CUEV"
"126","PROJ_CUEV",0.324320737988243,0.154958402008306,"PROJ","CUEV"
"127","PVIC_CUEV",0.200393377299415,0.168066302226508,"PVIC","CUEV"
"128","RED_CUEV",0.235961894211319,0.128437763132766,"RED","CUEV"
"129","SOMB_CUEV",0.332324930702891,0.149964654666871,"SOMB","CUEV"
"130","STAFE_CUEV",0.263901633269659,0.145598795241075,"STAFE","CUEV"
"131","SUAR_CUEV",-0.0724205409812367,0.102704174689362,"SUAR","CUEV"
"132","TOR_CUEV",0.183114298909003,0.0909736002284346,"TOR","CUEV"
"133","BAR_DAPH",-0.129292300305242,0.0532524156294399,"BAR","DAPH"
"134","CDOU_DAPH",0.147535494533436,0.181164576682233,"CDOU","DAPH"
"135","CHAM_DAPH",-0.0636137686716048,0.106052665819508,"CHAM","DAPH"
"136","CMAR_DAPH",0.158626104361729,0.0820770530775762,"CMAR","DAPH"
"137","CORA_DAPH",0.222272591917074,0.0178952162370808,"CORA","DAPH"
"138","CUEV_DAPH",-0.300258098890243,0.180436168172976,"CUEV","DAPH"
"139","EGAS_DAPH",0.0661259324587875,0.100132169661273,"EGAS","DAPH"
"140","ELI_DAPH",-0.0525683934092838,0.106521529243563,"ELI","DAPH"
"141","GARD_DAPH",-0.217366479366017,0.165479661894785,"GARD","DAPH"
"142","PCAL_DAPH",0.336188183962543,0.0279285083258349,"PCAL","DAPH"
"143","PESP_DAPH",0.121018911058155,0.210205512506219,"PESP","DAPH"
"144","PIN_DAPH",0.31777646160175,0.0876551634874942,"PIN","DAPH"
"145","PLAZ_DAPH",-0.0407875700396515,0.0426572136716702,"PLAZ","DAPH"
"146","PMAN_DAPH",-0.044065089927816,0.118304427189291,"PMAN","DAPH"
"147","PMOR_DAPH",-0.0594093222970169,0.113939924389542,"PMOR","DAPH"
"148","PROJ_DAPH",-0.00670134510181093,0.0551450158078141,"PROJ","DAPH"
"149","PVIC_DAPH",0.180684247505729,0.15633428977757,"PVIC","DAPH"
"150","RED_DAPH",0.227345049607303,0.0993418261988332,"RED","DAPH"
