"","journeyID","OceanographicResistance","OceanographicResistanceSD","start","end"
"1","CDOU_BAR",0.0685225664606366,0.0928497172712175,"CDOU","BAR"
"2","CHAM_BAR",0.0634495727189507,0.089210221568677,"CHAM","BAR"
"3","CMAR_BAR",0.17486307442838,0.0798613021846721,"CMAR","BAR"
"4","CORA_BAR",0.200676468719755,0.0525569483425758,"CORA","BAR"
"5","CUEV_BAR",-0.0577990947367936,0.130406382904961,"CUEV","BAR"
"6","DAPH_BAR",0.176759148360761,0.0675588801569499,"DAPH","BAR"
"7","EGAS_BAR",0.17783746582441,0.073733722436172,"EGAS","BAR"
"8","ELI_BAR",0.0234989361179676,0.0812329686566748,"ELI","BAR"
"9","GARD_BAR",-0.117551447671868,0.121167944896201,"GARD","BAR"
"10","PCAL_BAR",0.230785223429176,0.0934143170053371,"PCAL","BAR"
"11","PESP_BAR",0.0509210160817175,0.0780347915951052,"PESP","BAR"
"12","PIN_BAR",0.212003595102384,0.103602663926209,"PIN","BAR"
"13","PLAZ_BAR",0.0918963990194844,0.059002202430999,"PLAZ","BAR"
"14","PMAN_BAR",0.0521472381642069,0.08315104155598,"PMAN","BAR"
"15","PMOR_BAR",0.0380580576976088,0.0916877457341419,"PMOR","BAR"
"16","PROJ_BAR",0.202370587761537,0.0763843024184581,"PROJ","BAR"
"17","PVIC_BAR",0.0475501732361064,0.100575139946993,"PVIC","BAR"
"18","RED_BAR",0.0315199547329359,0.128516292733026,"RED","BAR"
"19","SOMB_BAR",0.190738525408233,0.0679624572256892,"SOMB","BAR"
"20","STAFE_BAR",0.0448130621695963,0.106111724593856,"STAFE","BAR"
"21","SUAR_BAR",-0.120750983780969,0.125562785186102,"SUAR","BAR"
"22","TOR_BAR",0.0976134264178072,0.0652107428164708,"TOR","BAR"
"23","BAR_CDOU",-0.069812926954546,0.0916068077157635,"BAR","CDOU"
"24","CHAM_CDOU",-0.066322284668182,0.101673321683682,"CHAM","CDOU"
"25","CMAR_CDOU",-0.13801847610724,0.211423392359708,"CMAR","CDOU"
"26","CORA_CDOU",-0.0990225952505932,0.138235351719944,"CORA","CDOU"
"27","CUEV_CDOU",-0.0637799251138913,0.106630450483296,"CUEV","CDOU"
"28","DAPH_CDOU",-0.180398803853284,0.164656294096822,"DAPH","CDOU"
"29","EGAS_CDOU",-0.206886731381314,0.196897640283093,"EGAS","CDOU"
"30","ELI_CDOU",-0.101175138808186,0.0715254413481511,"ELI","CDOU"
"31","GARD_CDOU",-0.0969489791718793,0.112501249023124,"GARD","CDOU"
"32","PCAL_CDOU",-0.127480539950612,0.14892793670267,"PCAL","CDOU"
