"","journeyID","OceanographicResistance","OceanographicResistanceSD","start","end"
"1","CDOU_BAR",0.126794251998058,0.0825714906587249,"CDOU","BAR"
"2","CHAM_BAR",0.129073060165004,0.083655950092491,"CHAM","BAR"
"3","CMAR_BAR",0.118002931868005,0.0530234839278348,"CMAR","BAR"
"4","CORA_BAR",0.173936491701237,0.0601630962192432,"CORA","BAR"
"5","CUEV_BAR",-0.0671253383007753,0.10630455681979,"CUEV","BAR"
"6","DAPH_BAR",0.141711256452895,0.0538370573763097,"DAPH","BAR"
"7","EGAS_BAR",0.118173283382955,0.0545549838254461,"EGAS","BAR"
"8","ELI_BAR",0.0428015464864287,0.108940086217568,"ELI","BAR"
"9","GARD_BAR",-0.0804595200799658,0.088750916621083,"GARD","BAR"
"10","PCAL_BAR",0.209727988889294,0.10738477166955,"PCAL","BAR"
"11","PESP_BAR",0.0388133315899213,0.111027118564701,"PESP","BAR"
"12","PIN_BAR",0.201195311801501,0.138307860569885,"PIN","BAR"
"13","PLAZ_BAR",0.0741341216084997,0.04426278430446,"PLAZ","BAR"
"14","PMAN_BAR",0.0405707118977292,0.117888627725152,"PMAN","BAR"
"15","PMOR_BAR",0.0730752920566442,0.115717666195035,"PMOR","BAR"
"16","PROJ_BAR",0.151895625801258,0.0556561382722506,"PROJ","BAR"
"17","PVIC_BAR",0.092931154387247,0.100686633149516,"PVIC","BAR"
"18","RED_BAR",0.11978176849375,0.0972384358015198,"RED","BAR"
"19","SOMB_BAR",0.156346362232166,0.0547777372216701,"SOMB","BAR"
"20","STAFE_BAR",0.0398693766471924,0.0628294283263173,"STAFE","BAR"
"21","SUAR_BAR",-0.0812632187045344,0.0947135567674471,"SUAR","BAR"
"22","TOR_BAR",0.0676176036807491,0.0567082210781539,"TOR","BAR"
"23","BAR_CDOU",-0.127542259574954,0.0828342195751276,"BAR","CDOU"
"24","CHAM_CDOU",-0.0740302892119038,0.0811959654751848,"CHAM","CDOU"
"25","CMAR_CDOU",-0.0284968989159572,0.181706852884086,"CMAR","CDOU"
"26","CORA_CDOU",-0.111891423580753,0.150907764084904,"CORA","CDOU"
"27","CUEV_CDOU",-0.106170103414613,0.107013355872188,"CUEV","CDOU"
"28","DAPH_CDOU",-0.146052380712652,0.179855192159267,"DAPH","CDOU"
"29","EGAS_CDOU",-0.112872537386337,0.192238757730237,"EGAS","CDOU"
"30","ELI_CDOU",-0.0976321026722289,0.0687557915324175,"ELI","CDOU"
"31","GARD_CDOU",-0.102248895815336,0.097583002788666,"GARD","CDOU"
"32","PCAL_CDOU",-0.119019920062283,0.17205166285123,"PCAL","CDOU"
"33","PESP_CDOU",-0.0737501598906029,0.0472479340121525,"PESP","CDOU"
"34","PIN_CDOU",0.0493067446622384,0.167423675689443,"PIN","CDOU"
"35","PLAZ_CDOU",-0.133985577787625,0.172946392397776,"PLAZ","CDOU"
"36","PMAN_CDOU",-0.0793375099100685,0.0540632341365327,"PMAN","CDOU"
"37","PMOR_CDOU",-0.107104986460119,0.0517340529350951,"PMOR","CDOU"
"38","PROJ_CDOU",-0.125689405044474,0.180448210595814,"PROJ","CDOU"
"39","PVIC_CDOU",-0.042616205128161,0.0484537553056585,"PVIC","CDOU"
"40","RED_CDOU",0.109574918263805,0.126666359042569,"RED","CDOU"
"41","SOMB_CDOU",-0.114063259555603,0.176050308853795,"SOMB","CDOU"
"42","STAFE_CDOU",-0.039782236089257,0.111108445863137,"STAFE","CDOU"
"43","SUAR_CDOU",-0.103424453386367,0.100920838291448,"SUAR","CDOU"
"44","TOR_CDOU",-0.0866820901769072,0.113310834209642,"TOR","CDOU"
"45","BAR_CHAM",-0.130199145254547,0.0822550547333303,"BAR","CHAM"
"46","CDOU_CHAM",0.0855672674801727,0.0705190808743495,"CDOU","CHAM"
"47","CMAR_CHAM",-0.0101554311273669,0.172183949109639,"CMAR","CHAM"
"48","CORA_CHAM",-0.0965290480605158,0.155105465915115,"CORA","CHAM"
"49","CUEV_CHAM",-0.104085774876969,0.111048312751457,"CUEV","CHAM"
"50","DAPH_CHAM",0.0180714606517703,0.153727583254698,"DAPH","CHAM"
"51","EGAS_CHAM",-0.088838583000322,0.192304860411525,"EGAS","CHAM"
"52","ELI_CHAM",-0.116066427814599,0.0259572341332428,"ELI","CHAM"
"53","GARD_CHAM",-0.101289419875127,0.0984851114911212,"GARD","CHAM"
"54","PCAL_CHAM",-0.0979420970186474,0.175149562969985,"PCAL","CHAM"
"55","PESP_CHAM",-0.00764754056806446,0.10198382152775,"PESP","CHAM"
"56","PIN_CHAM",0.0525353273606185,0.159637865965623,"PIN","CHAM"
"57","PLAZ_CHAM",-0.0124203538292934,0.1206470504065,"PLAZ","CHAM"
"58","PMAN_CHAM",-0.0783171825033335,0.0304050215785892,"PMAN","CHAM"
"59","PMOR_CHAM",-0.117788701617591,0.0408105338662362,"PMOR","CHAM"
"60","PROJ_CHAM",-0.103136829035146,0.183573318352233,"PROJ","CHAM"
"61","PVIC_CHAM",0.00644344716252255,0.0841006454863066,"PVIC","CHAM"
"62","RED_CHAM",0.100793899581888,0.114625971058733,"RED","CHAM"
"63","SOMB_CHAM",-0.0948481099384925,0.178035641475309,"SOMB","CHAM"
"64","STAFE_CHAM",-0.0319361986470974,0.111576383960307,"STAFE","CHAM"
"65","SUAR_CHAM",-0.102486280175428,0.101973493679435,"SUAR","CHAM"
"66","TOR_CHAM",-0.0810119043762795,0.118441365158242,"TOR","CHAM"
"67","BAR_CMAR",-0.119088894026968,0.054025323064763,"BAR","CMAR"
"68","CDOU_CMAR",0.0287360681529902,0.179904983115717,"CDOU","CMAR"
"69","CHAM_CMAR",0.00924974332323791,0.170038776315371,"CHAM","CMAR"
"70","CORA_CMAR",-0.106582910687679,0.0884709639739115,"CORA","CMAR"
"71","CUEV_CMAR",-0.209823029456554,0.111735418886548,"CUEV","CMAR"
"72","DAPH_CMAR",-0.143692640310257,0.0887103087543112,"DAPH","CMAR"
"73","EGAS_CMAR",-0.208651419565317,0.0219168853850962,"EGAS","CMAR"
"74","ELI_CMAR",-0.0515139321820588,0.166580181857301,"ELI","CMAR"
"75","GARD_CMAR",-0.224821898360867,0.0860037958405667,"GARD","CMAR"
"76","PCAL_CMAR",-0.116961377597555,0.104337989549708,"PCAL","CMAR"
"77","PESP_CMAR",-0.0133556446590516,0.188713726345146,"PESP","CMAR"
"78","PIN_CMAR",0.122023000941531,0.101361027250321,"PIN","CMAR"
"79","PLAZ_CMAR",-0.123364921844594,0.0920375431483728,"PLAZ","CMAR"
"80","PMAN_CMAR",-0.0234390331080076,0.175905409007562,"PMAN","CMAR"
"81","PMOR_CMAR",-0.0178254309415003,0.1571277887915,"PMOR","CMAR"
"82","PROJ_CMAR",-0.205223840827777,0.0262515154567896,"PROJ","CMAR"
"83","PVIC_CMAR",0.0318753115067474,0.206340279319688,"PVIC","CMAR"
"84","RED_CMAR",0.226166825656058,0.123681900666491,"RED","CMAR"
"85","SOMB_CMAR",-0.172237567884905,0.083504084125842,"SOMB","CMAR"
"86","STAFE_CMAR",-0.118388023711921,0.0859542936718521,"STAFE","CMAR"
"87","SUAR_CMAR",-0.226048193374539,0.0878904028976158,"SUAR","CMAR"
"88","TOR_CMAR",-0.133846176921117,0.0797530452018935,"TOR","CMAR"
"89","BAR_CORA",-0.174373049211427,0.0592000685771184,"BAR","CORA"
"90","CDOU_CORA",0.112533847769445,0.151874166270842,"CDOU","CORA"
"91","CHAM_CORA",0.096374026280911,0.156020096054362,"CHAM","CORA"
"92","CMAR_CORA",0.107278844165521,0.091170852519568,"CMAR","CORA"
"93","CUEV_CORA",-0.26382739372365,0.0844591942165895,"CUEV","CORA"
"94","DAPH_CORA",-0.214073921251118,0.0489746224950291,"DAPH","CORA"
"95","EGAS_CORA",-0.0277229165345053,0.0467544519287129,"EGAS","CORA"
"96","ELI_CORA",0.0540009661486685,0.175717668878008,"ELI","CORA"
"97","GARD_CORA",-0.298797058105906,0.0983880072002635,"GARD","CORA"
"98","PCAL_CORA",0.0903119440635701,0.0668795307249456,"PCAL","CORA"
"99","PESP_CORA",0.0949662571671814,0.166514727930088,"PESP","CORA"
"100","PIN_CORA",0.230424660820222,0.10153509776703,"PIN","CORA"
"101","PLAZ_CORA",-0.245327481287088,0.111183811485914,"PLAZ","CORA"
"102","PMAN_CORA",0.0797373094108066,0.168200960036128,"PMAN","CORA"
"103","PMOR_CORA",0.0714974057615284,0.160612209168891,"PMOR","CORA"
"104","PROJ_CORA",-0.119387797564951,0.0653488413070241,"PROJ","CORA"
"105","PVIC_CORA",0.124300503724339,0.154996897038623,"PVIC","CORA"
"106","RED_CORA",0.208001880821457,0.115657637323732,"RED","CORA"
"107","SOMB_CORA",-0.138506436152214,0.047080192881454,"SOMB","CORA"
"108","STAFE_CORA",-0.275779827909624,0.0822465936553362,"STAFE","CORA"
"109","SUAR_CORA",-0.308968338473499,0.0899569274632368,"SUAR","CORA"
"110","TOR_CORA",-0.198623214576927,0.0564578248511057,"TOR","CORA"
"111","BAR_CUEV",0.0665884146863148,0.105992887490335,"BAR","CUEV"
"112","CDOU_CUEV",0.10481466870711,0.109167363407717,"CDOU","CUEV"
"113","CHAM_CUEV",0.104657682462746,0.111103679303005,"CHAM","CUEV"
