"","journeyID","OceanographicResistance","OceanographicResistanceSD","start","end"
"1","CDOU_BAR",0.129626753192692,0.0973586829938029,"CDOU","BAR"
"2","CHAM_BAR",0.136574415391557,0.0952779089831784,"CHAM","BAR"
"3","CMAR_BAR",0.119010185325584,0.064440015930984,"CMAR","BAR"
"4","CORA_BAR",0.101985023509593,0.0415584516254428,"CORA","BAR"
"5","CUEV_BAR",-0.109794658525368,0.102200967155722,"CUEV","BAR"
"6","DAPH_BAR",0.091513677088951,0.0468527361166133,"DAPH","BAR"
"7","EGAS_BAR",0.103744955469667,0.0579725095663816,"EGAS","BAR"
"8","ELI_BAR",0.0533418181144418,0.120034010879887,"ELI","BAR"
"9","GARD_BAR",-0.133270288186757,0.086696290330212,"GARD","BAR"
"10","PCAL_BAR",0.151420776234264,0.0988601748753213,"PCAL","BAR"
"11","PESP_BAR",0.0592016764476044,0.112974161345152,"PESP","BAR"
"12","PIN_BAR",0.161066404581397,0.108482260502514,"PIN","BAR"
"13","PLAZ_BAR",0.034975830054121,0.0365304032599696,"PLAZ","BAR"
"14","PMAN_BAR",0.0633954813837665,0.119871748690207,"PMAN","BAR"
"15","PMOR_BAR",0.0874682903457799,0.127035481833671,"PMOR","BAR"
"16","PROJ_BAR",0.114470831252444,0.0665854170608048,"PROJ","BAR"
"17","PVIC_BAR",0.0897938485673924,0.119924143129465,"PVIC","BAR"
"18","RED_BAR",0.111354128636974,0.1129806964097,"RED","BAR"
"19","SOMB_BAR",0.100629495165936,0.0526969341551621,"SOMB","BAR"
"20","STAFE_BAR",-0.00150923328410958,0.0537497531020851,"STAFE","BAR"
"21","SUAR_BAR",-0.136985864269133,0.0892345436346005,"SUAR","BAR"
"22","TOR_BAR",0.0456059766141041,0.0476369609792719,"TOR","BAR"
"23","BAR_CDOU",-0.130940303450758,0.0980480630432305,"BAR","CDOU"
"24","CHAM_CDOU",-0.0663821567106036,0.0915867484692217,"CHAM","CDOU"
"25","CMAR_CDOU",-0.0505881408790158,0.184046351088142,"CMAR","CDOU"
"26","CORA_CDOU",-0.111453621257916,0.133347822491484,"CORA","CDOU"
"27","CUEV_CDOU",-0.134049803886353,0.106683296153126,"CUEV","CDOU"
"28","DAPH_CDOU",-0.148835371142877,0.174014340989505,"DAPH","CDOU"
"29","EGAS_CDOU",-0.147914471678853,0.203614593989937,"EGAS","CDOU"
"30","ELI_CDOU",-0.108718498522812,0.0756235895261585,"ELI","CDOU"
"31","GARD_CDOU",-0.140389692950938,0.0976012814545912,"GARD","CDOU"
"32","PCAL_CDOU",-0.115623458436902,0.150662543263796,"PCAL","CDOU"
"33","PESP_CDOU",-0.0906106368821011,0.0612306714596137,"PESP","CDOU"
"34","PIN_CDOU",0.0261361016193366,0.155440461788873,"PIN","CDOU"
"35","PLAZ_CDOU",-0.137676184871406,0.166929164845749,"PLAZ","CDOU"
"36","PMAN_CDOU",-0.0729017532978643,0.0582678948149057,"PMAN","CDOU"
"37","PMOR_CDOU",-0.103655986125251,0.0528122806295335,"PMOR","CDOU"
"38","PROJ_CDOU",-0.163488435107447,0.192131217147647,"PROJ","CDOU"
"39","PVIC_CDOU",-0.0696102972045447,0.0718973635996021,"PVIC","CDOU"
"40","RED_CDOU",0.0809697908019806,0.139345648651393,"RED","CDOU"
"41","SOMB_CDOU",-0.146903719639454,0.187009101358446,"SOMB","CDOU"
"42","STAFE_CDOU",-0.0637065543131641,0.100096530064366,"STAFE","CDOU"
"43","SUAR_CDOU",-0.142700934825664,0.0993078936774268,"SUAR","CDOU"
"44","TOR_CDOU",-0.0944265098411653,0.115551557207124,"TOR","CDOU"
"45","BAR_CHAM",-0.1384537620678,0.0943272520547637,"BAR","CHAM"
"46","CDOU_CHAM",0.0798822407099267,0.0780856017512483,"CDOU","CHAM"
"47","CMAR_CHAM",-0.0293952491052005,0.176441816722969,"CMAR","CHAM"
"48","CORA_CHAM",-0.096586092045309,0.13934038320501,"CORA","CHAM"
"49","CUEV_CHAM",-0.137000419723847,0.108894898128327,"CUEV","CHAM"
"50","DAPH_CHAM",-0.013143423941072,0.137796253560115,"DAPH","CHAM"
"51","EGAS_CHAM",-0.120242334987374,0.205871111612062,"EGAS","CHAM"
"52","ELI_CHAM",-0.112418736995079,0.0247041670947819,"ELI","CHAM"
"53","GARD_CHAM",-0.143882885618982,0.0959559413431585,"GARD","CHAM"
"54","PCAL_CHAM",-0.0955992399255409,0.156048672017472,"PCAL","CHAM"
"55","PESP_CHAM",-0.0204367581529543,0.114529338385266,"PESP","CHAM"
"56","PIN_CHAM",0.0313819627102377,0.14963547169789,"PIN","CHAM"
"57","PLAZ_CHAM",-0.0387073166309828,0.110296430243791,"PLAZ","CHAM"
"58","PMAN_CHAM",-0.0733468939430799,0.0284615144318577,"PMAN","CHAM"
"59","PMOR_CHAM",-0.11600617948495,0.0385234067099017,"PMOR","CHAM"
"60","PROJ_CHAM",-0.137442543112103,0.19769290571799,"PROJ","CHAM"
"61","PVIC_CHAM",-0.0120974170517052,0.102473067085495,"PVIC","CHAM"
"62","RED_CHAM",0.0766333708180863,0.126303603278279,"RED","CHAM"
"63","SOMB_CHAM",-0.124903987430587,0.19086652732066,"SOMB","CHAM"
"64","STAFE_CHAM",-0.0596813735481849,0.100740291064619,"STAFE","CHAM"
"65","SUAR_CHAM",-0.14642584901925,0.0976134126557159,"SUAR","CHAM"
"66","TOR_CHAM",-0.093032381214547,0.119380906431022,"TOR","CHAM"
"67","BAR_CMAR",-0.120709783872297,0.0642026998724035,"BAR","CMAR"
"68","CDOU_CMAR",0.0507930785836161,0.182186976479248,"CDOU","CMAR"
"69","CHAM_CMAR",0.0284730202881147,0.173878915800167,"CHAM","CMAR"
"70","CORA_CMAR",-0.127586773994487,0.0676897863024826,"CORA","CMAR"
"71","CUEV_CMAR",-0.215592630914819,0.0917634333404415,"CUEV","CMAR"
"72","DAPH_CMAR",-0.163729945075668,0.0948515395390728,"DAPH","CMAR"
"73","EGAS_CMAR",-0.274162274839574,0.0316965242816508,"EGAS","CMAR"
"74","ELI_CMAR",-0.0546171106559554,0.179202974474672,"ELI","CMAR"
"75","GARD_CMAR",-0.278646850055202,0.0635966503376472,"GARD","CMAR"
"76","PCAL_CMAR",-0.148209660595039,0.0675754917849999,"PCAL","CMAR"
"77","PESP_CMAR",-0.0127530571520526,0.200482220890471,"PESP","CMAR"
"78","PIN_CMAR",0.0788349004050826,0.0815268080546537,"PIN","CMAR"
"79","PLAZ_CMAR",-0.14165213009822,0.0977187136337087,"PLAZ","CMAR"
"80","PMAN_CMAR",-0.0254812704518721,0.189257638908413,"PMAN","CMAR"
"81","PMOR_CMAR",-0.0237095753453922,0.168607995681159,"PMOR","CMAR"
"82","PROJ_CMAR",-0.267264999644378,0.0350564160101058,"PROJ","CMAR"
"83","PVIC_CMAR",0.0498620934858773,0.206088809032451,"PVIC","CMAR"
"84","RED_CMAR",0.225328295503207,0.130244320442576,"RED","CMAR"
