"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",0,4.006,3.17,-0.290999999999997,-0.939,0.171000000000003,-0.0779999999999994,-0.18,3.307,0.244,-0.767,3.338,-0.667999999999999,-0.0729999999999968,2.488,4.189,-0.323999999999998,2.684,1.379,-0.552999999999997,0.142000000000003,0.867000000000001,0.204000000000001
"CDOU",-4.006,0,-0.835999999999999,-4.297,-4.945,-3.835,-4.084,-4.186,-0.698999999999998,-3.762,-4.773,-0.667999999999999,-4.674,-4.079,-1.518,0.183,-4.33,-1.322,-2.627,-4.559,-3.864,-3.139,-3.802
"CHAM",-3.17,0.835999999999999,0,-3.461,-4.109,-2.999,-3.248,-3.35,0.137,-2.926,-3.937,0.167999999999999,-3.838,-3.243,-0.681999999999999,1.019,-3.494,-0.486000000000001,-1.791,-3.723,-3.028,-2.303,-2.966
"CMAR",0.290999999999997,4.297,3.461,0,-0.648000000000003,0.462,0.212999999999997,0.110999999999997,3.598,0.534999999999997,-0.476000000000003,3.629,-0.377000000000002,0.218,2.779,4.48,-0.0330000000000013,2.975,1.67,-0.262,0.433,1.158,0.494999999999997
"CORA",0.939,4.945,4.109,0.648000000000003,0,1.11,0.861000000000001,0.759,4.246,1.183,0.172000000000001,4.277,0.271000000000001,0.866000000000003,3.427,5.128,0.615000000000002,3.623,2.318,0.386000000000003,1.081,1.806,1.143
"CUEV",-0.171000000000003,3.835,2.999,-0.462,-1.11,0,-0.249000000000002,-0.351000000000003,3.136,0.0729999999999968,-0.938000000000002,3.167,-0.839000000000002,-0.244,2.317,4.018,-0.495000000000001,2.513,1.208,-0.724,-0.0289999999999999,0.695999999999998,0.0329999999999977
"DAPH",0.0779999999999994,4.084,3.248,-0.212999999999997,-0.861000000000001,0.249000000000002,0,-0.102,3.385,0.321999999999999,-0.689,3.416,-0.59,0.00500000000000256,2.566,4.267,-0.245999999999999,2.762,1.457,-0.474999999999998,0.220000000000002,0.945,0.282
"EGAS",0.18,4.186,3.35,-0.110999999999997,-0.759,0.351000000000003,0.102,0,3.487,0.424,-0.587,3.518,-0.488,0.107000000000003,2.668,4.369,-0.143999999999998,2.864,1.559,-0.372999999999998,0.322000000000003,1.047,0.384
"ELI",-3.307,0.698999999999998,-0.137,-3.598,-4.246,-3.136,-3.385,-3.487,0,-3.063,-4.074,0.0309999999999988,-3.975,-3.38,-0.818999999999999,0.881999999999998,-3.631,-0.623000000000001,-1.928,-3.86,-3.165,-2.44,-3.103
"GARD",-0.244,3.762,2.926,-0.534999999999997,-1.183,-0.0729999999999968,-0.321999999999999,-0.424,3.063,0,-1.011,3.094,-0.911999999999999,-0.316999999999997,2.244,3.945,-0.567999999999998,2.44,1.135,-0.796999999999997,-0.101999999999997,0.623000000000001,-0.0399999999999991
"PCAL",0.767,4.773,3.937,0.476000000000003,-0.172000000000001,0.938000000000002,0.689,0.587,4.074,1.011,0,4.105,0.0990000000000002,0.694000000000003,3.255,4.956,0.443000000000001,3.451,2.146,0.214000000000002,0.909000000000002,1.634,0.971
"PESP",-3.338,0.667999999999999,-0.167999999999999,-3.629,-4.277,-3.167,-3.416,-3.518,-0.0309999999999988,-3.094,-4.105,0,-4.006,-3.411,-0.849999999999998,0.850999999999999,-3.662,-0.654,-1.959,-3.891,-3.196,-2.471,-3.134
"PIN",0.667999999999999,4.674,3.838,0.377000000000002,-0.271000000000001,0.839000000000002,0.59,0.488,3.975,0.911999999999999,-0.0990000000000002,4.006,0,0.595000000000002,3.156,4.857,0.344000000000001,3.352,2.047,0.115000000000002,0.810000000000002,1.535,0.872
"PLAZ",0.0729999999999968,4.079,3.243,-0.218,-0.866000000000003,0.244,-0.00500000000000256,-0.107000000000003,3.38,0.316999999999997,-0.694000000000003,3.411,-0.595000000000002,0,2.561,4.262,-0.251000000000001,2.757,1.452,-0.48,0.215,0.939999999999998,0.276999999999997
"PMAN",-2.488,1.518,0.681999999999999,-2.779,-3.427,-2.317,-2.566,-2.668,0.818999999999999,-2.244,-3.255,0.849999999999998,-3.156,-2.561,0,1.701,-2.812,0.195999999999998,-1.109,-3.041,-2.346,-1.621,-2.284
"PMOR",-4.189,-0.183,-1.019,-4.48,-5.128,-4.018,-4.267,-4.369,-0.881999999999998,-3.945,-4.956,-0.850999999999999,-4.857,-4.262,-1.701,0,-4.513,-1.505,-2.81,-4.742,-4.047,-3.322,-3.985
"PROJ",0.323999999999998,4.33,3.494,0.0330000000000013,-0.615000000000002,0.495000000000001,0.245999999999999,0.143999999999998,3.631,0.567999999999998,-0.443000000000001,3.662,-0.344000000000001,0.251000000000001,2.812,4.513,0,3.008,1.703,-0.228999999999999,0.466000000000001,1.191,0.527999999999999
"PVIC",-2.684,1.322,0.486000000000001,-2.975,-3.623,-2.513,-2.762,-2.864,0.623000000000001,-2.44,-3.451,0.654,-3.352,-2.757,-0.195999999999998,1.505,-3.008,0,-1.305,-3.237,-2.542,-1.817,-2.48
"RED",-1.379,2.627,1.791,-1.67,-2.318,-1.208,-1.457,-1.559,1.928,-1.135,-2.146,1.959,-2.047,-1.452,1.109,2.81,-1.703,1.305,0,-1.932,-1.237,-0.512,-1.175
"SOMB",0.552999999999997,4.559,3.723,0.262,-0.386000000000003,0.724,0.474999999999998,0.372999999999998,3.86,0.796999999999997,-0.214000000000002,3.891,-0.115000000000002,0.48,3.041,4.742,0.228999999999999,3.237,1.932,0,0.695,1.42,0.756999999999998
"STAFE",-0.142000000000003,3.864,3.028,-0.433,-1.081,0.0289999999999999,-0.220000000000002,-0.322000000000003,3.165,0.101999999999997,-0.909000000000002,3.196,-0.810000000000002,-0.215,2.346,4.047,-0.466000000000001,2.542,1.237,-0.695,0,0.724999999999998,0.0619999999999976
"SUAR",-0.867000000000001,3.139,2.303,-1.158,-1.806,-0.695999999999998,-0.945,-1.047,2.44,-0.623000000000001,-1.634,2.471,-1.535,-0.939999999999998,1.621,3.322,-1.191,1.817,0.512,-1.42,-0.724999999999998,0,-0.663
"TOR",-0.204000000000001,3.802,2.966,-0.494999999999997,-1.143,-0.0329999999999977,-0.282,-0.384,3.103,0.0399999999999991,-0.971,3.134,-0.872,-0.276999999999997,2.284,3.985,-0.527999999999999,2.48,1.175,-0.756999999999998,-0.0619999999999976,0.663,0
