"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,0.0430386277121124,0.0372523196698983,-0.128198506537587,-0.0545770090501735,0.025315272737989,-0.0503004496997323,-0.113520701146859,-0.0450525761471501,0.0338098589829859,-0.0960585210422398,-0.0502817898342026,-0.131569415445763,-0.0582838598155054,-0.0764528663337015,-0.0631018135981389,-0.0823351854611414,0.0340324838818012,0.0769831667895182,-0.0545781497652301,-0.0434986201810081,0.0334557344567066,-0.0882243218532807
"CDOU",-0.0447159543493739,NA,-0.0668806131195384,0.232588051519693,0.186602992775226,-0.0129315628824456,0.197990710925147,0.263812034220637,-0.0433681216327593,0.00359257213596136,0.214394251575927,-0.00288839659348097,0.175682211224601,0.179386827703215,-0.0608610073552759,-0.0661437074253999,0.254598773672965,-0.00226559118537605,0.13927262394903,0.231605930516552,-0.0451573460113361,0.00222751610491084,-0.0548227710843301
"CHAM",-0.0403226627581674,0.0664549341347233,NA,0.202412775523582,0.175667041413731,-0.00665660746953856,-0.0477347764038588,0.237546682088271,-0.0129372461185213,0.00857475012598845,0.198629717887032,0.027853229448679,0.163291168698589,-0.0511662305346336,-0.0565517273270183,-0.0666442443289368,0.233012549028759,0.026216787493407,0.124695587726646,0.214208455018712,-0.0433536047329435,0.00756044586248347,-0.0529959365754739
"CMAR",0.124756872962335,-0.230672504326348,-0.200138160075957,NA,0.116900857345544,0.185305348059568,0.14161693400763,0.280601099492819,-0.163422351150085,0.180054246721845,0.123315438970664,-0.214193580096406,-0.0456491316414744,0.122286436042805,-0.187198412819265,-0.137320361726796,0.252790048978529,-0.306607781634206,-0.184242084932493,0.208019791017418,0.15053497490619,0.181751834352387,0.133088592871746
"CORA",0.0535867341146713,-0.183673489111761,-0.174418290930088,-0.115109167030744,NA,0.11608235418123,0.0633542264014224,-0.0304772833253256,-0.156943794039864,0.139931877655912,-0.0985262022515387,-0.177250805168001,-0.135094529698857,0.088026907460708,-0.168262740753119,-0.143705989602467,0.00878185608255775,-0.204348917157363,-0.209972289863582,0.0147591537096683,0.104712681460508,0.135586999869845,0.0551148485178581
"CUEV",-0.0251441925362924,0.0118999204629541,0.00590925327159926,-0.186536924439918,-0.116579903552577,NA,-0.156791981788055,-0.206000378406044,-0.03715256454541,0.0416765003668322,-0.166529256461009,-0.0410742478948413,-0.179667223413442,-0.117396817057787,-0.0534467657656919,-0.0436849619798617,-0.195989835783301,-0.224554387125038,-0.190322905451447,-0.160013343184366,-0.114402470563286,0.041958302008168,-0.0864007764279262
"DAPH",0.0487352157220684,-0.196184935038125,0.045838934477261,-0.141171056709721,-0.0637207345446944,0.157005065150768,NA,-0.08406960804869,0.00499431504148157,0.1158617268808,-0.178163382884773,-0.189019021717995,-0.211974423129911,0.0342262664656175,-0.0077732867740007,0.00676046945778987,-0.0359738345702729,-0.220274714357879,-0.174904458656549,-0.0384436688792114,0.0406478936465887,0.112416699076948,0.0489440710297391
"EGAS",0.114127003395474,-0.263080263744467,-0.237376372214336,-0.284129374699138,0.0319523509475615,0.206271659126167,0.0867215577260737,NA,-0.202115818266451,0.154627111759648,-0.0686351570406388,-0.251786516161093,-0.14900914934013,0.0725195693181279,-0.226867693212331,0.0462698411698937,0.182273592141927,-0.312464703418519,-0.246514432595291,0.10560206026311,0.0646239467224804,0.154194126400708,0.120644984649665
"ELI",0.0410316094673307,0.043214627533123,0.0101756106849152,0.167510225272301,0.15958679870047,0.0353202723474169,-0.00737965671290108,0.204955900106801,NA,0.0377568573530654,0.174108841037308,0.0619200049258228,0.142597643710386,-0.0138468816255982,-0.0134021019921317,0.00161523676279533,-0.0189311987868887,0.0494397777260434,0.103741187874383,-0.00792740830500681,-0.0061993563748093,0.0376962194104794,0.0112061478714251
"GARD",-0.0337894918704741,-0.00386847514162717,-0.00928157693802759,-0.18033867418038,-0.139817962484144,-0.0392970678696477,-0.116606190191553,-0.153752034067551,-0.0389345940265201,NA,-0.176829681372098,-0.0414315115832494,-0.174172246937441,-0.136655664705704,-0.0501603449510157,-0.0434704650984459,-0.141942028816552,-0.212033897571269,-0.1856766032305,-0.105885685165717,-0.167408090054427,-0.0352025982004186,-0.061047849861375
