"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.136780486572979,-0.1396931391196,-0.164831280750694,-0.264004960354117,-0.0364124215757577,-0.212456957811712,-0.185974971135815,-0.0547346574989116,-0.0235289742343753,-0.342986204868172,-0.0738144061719993,-0.299641354990715,-0.22765693811011,-0.0762808017401273,-0.0953123387990874,-0.264560522086826,-0.115555888653748,-0.14076729999263,-0.286740814672697,-0.246626658160486,-0.0312304402826316,-0.251661844208615
"CDOU",0.136675049904993,NA,0.117591030528762,0.0221826836577579,0.139897678741222,0.0506528128674271,0.201768385637533,0.113351991651172,0.102067011457411,0.0340229242474768,0.135320116329302,0.0471520188268844,-0.0473764341981546,0.187802475473726,0.0962874689470931,0.131969866905278,0.114044362609523,-0.0299046788424478,-0.142635318435074,0.105483610914312,-0.0652523309525224,0.0308213518549329,0.054517752923562
"CHAM",0.140622574623892,-0.111345484862186,NA,-0.00189298674652012,0.117935535172491,0.0440127645505347,-0.0530427800335921,0.0837561081213955,0.113621842394936,0.0267772468411958,0.109597039601611,-0.0235689250456943,-0.0548443527088169,-0.0712369183479286,0.0818652135235406,0.140381390999963,0.0886216930571602,-0.0596490345643582,-0.141544952414187,0.0840217824717035,-0.0824405736378507,0.0235599126049489,0.043838012190987
"CMAR",0.16252720119225,-0.0153284393470965,0.0064220450621468,NA,0.122937222720409,0.192521005655755,0.185277269306536,0.216757342040252,0.0772470059909524,0.190225139537719,0.102812496308006,0.0392292422807478,-0.199584827690249,0.166606272430148,0.0503852296252578,0.0497310843731551,0.177958464031445,-0.0338063399357941,-0.38117938099323,0.150866812961044,0.0625409011159705,0.184819491108579,0.149476240735064
"CORA",0.262170791001219,-0.137744259039246,-0.118350781723566,-0.120396183002906,NA,0.373043074958817,0.325227998026384,0.0573104701769791,-0.0647193548386207,0.376397980928641,-0.136947027940314,-0.113937331416954,-0.231052370564887,0.339734330545295,-0.0948448032022238,-0.0794067663276848,0.204847170386132,-0.160018639680217,-0.283731213944804,0.220157484309191,0.364792722725584,0.381683177010038,0.267723157769048
"CUEV",0.0361206298689427,-0.0507331410015451,-0.0427579899031925,-0.194672111319341,-0.37360475177902,NA,-0.249514010096598,-0.268715459519914,-0.000891721249284254,-0.0104480305301539,-0.357829890753275,-0.0155685310853609,-0.383050408307963,-0.311369432104196,-0.0104393487664068,-0.00799846908633275,-0.306819522193953,-0.153519042738904,-0.244242856736082,-0.30300903933223,-0.295924216097362,-0.0269931191946004,-0.143193101954711
"DAPH",0.209685188340944,-0.199162749555575,0.0517165186420921,-0.184536817126037,-0.326060944886122,0.247881583761549,NA,-0.0251721196388766,0.085002168366966,0.244965238118013,-0.448221483235862,-0.173098652791864,-0.484378160472939,0.0803672955928945,0.080076184572604,0.093382304443497,0.0571681210747442,-0.232700213406482,-0.360408243622545,-0.0326771409728709,0.0932540173027236,0.246345227903101,0.200566917625423
"EGAS",0.187360861020882,-0.109529640484967,-0.0826612510995183,-0.219011277866817,-0.0575398505127284,0.268094480734493,0.0235607332489528,NA,-0.0129271647592132,0.18822478016863,-0.260170247927755,-0.0730039885997624,-0.430464080451526,0.0621769556453004,-0.0484508409285998,0.0805229522341168,0.119911364794906,-0.13996422046935,-0.336290302356087,0.0767761230362588,0.0716383065529789,0.180259361099151,0.174924086496679
"ELI",0.0542995499824038,-0.100476686200212,-0.112390453142338,-0.0737713481157017,0.066486372876384,0.00117095806628405,-0.0859618856562175,0.0162925005359232,NA,-0.00140252180921675,0.0436779781148973,-0.12724912677397,-0.0980601370255177,-0.101777356964375,-0.115893653075347,-0.0344334829635022,-0.0991549657465936,-0.162122511422021,-0.181982723314508,-0.116526127250557,-0.112464353082153,-0.00560508642673705,-0.0176885380057389
"GARD",0.0228720717676387,-0.0332269596908689,-0.0268314051794232,-0.190829854188188,-0.376029457968626,0.0148715077180153,-0.246177306536327,-0.188301254596661,0.00179156884975003,NA,-0.38522441308933,-0.00843692601063158,-0.380323678659543,-0.287903909334959,-0.00435136645345765,-0.00253343937887349,-0.206051472849841,-0.160233906817818,-0.231366749461786,-0.214593950114876,-0.350493254082011,-0.0484530001794734,-0.0543732670029843
