"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.136775005330492,-0.138180112274082,-0.136171734231807,-0.161861806629255,0.0225099479179788,-0.118388523956206,-0.134169127944197,-0.0511798632448928,0.0190043125602314,-0.227939354744708,-0.0595570002151251,-0.227790192788053,-0.146463683515259,-0.0590325840428048,-0.0880340411612066,-0.159877799197337,-0.109061747975188,-0.128655626469409,-0.170002840469826,-0.136750453092216,0.0143210792712532,-0.129927476704237
"CDOU",0.136852880239793,NA,0.126679786039021,0.0347966840532884,0.123515169228643,0.0908477128948961,0.168934202015809,0.124371383150834,0.10454338112388,0.0693841367122555,0.117845021074544,0.0579064059794412,-0.022520190763584,0.157058854138245,0.100381090720473,0.125589097676231,0.132855303537713,-0.00109511024955036,-0.108964249784928,0.122359118669995,-0.00698356808154586,0.0680598734143614,0.0808477160254475
"CHAM",0.139869356289698,-0.120163620836676,NA,0.00722975032194044,0.102524407048502,0.0878781023809017,-0.00137699118685209,0.0926759470628625,0.0997069921132831,0.0646032763532598,0.0929922225108195,-0.0221751564723981,-0.0340006377066637,-0.0243793314380025,0.0834907631132715,0.126567152322314,0.104450004463211,-0.0446483653521199,-0.116114643654165,0.098318129079411,-0.0191189603926637,0.0633078042580708,0.0735148322001839
"CMAR",0.133269826433423,-0.0281255005796402,-0.00310886427844689,NA,0.114461470744766,0.19920061760541,0.157268385489137,0.24695792133151,0.0727196192727404,0.201211202145763,0.0973344140984277,0.0318497138197103,-0.148379630594623,0.140989570660277,0.045524268096915,0.0387823985564214,0.224643428770177,-0.0403656151982282,-0.309112881804203,0.188794217506492,0.113977655507566,0.197595552339892,0.140802939979751
"CORA",0.160571313370284,-0.121171789130509,-0.102532330508307,-0.112279822819257,NA,0.269977542806194,0.218501281245599,0.0151045433675388,-0.0492625012992499,0.293209468178004,-0.128940320863565,-0.0950352429295494,-0.216753219665536,0.237930372787665,-0.0771053846949854,-0.0672924500507222,0.129644488528352,-0.137112423683804,-0.236517490464935,0.137429830734697,0.270562655257465,0.296512012244412,0.175639148834237
"CUEV",-0.0223601591608167,-0.0906611808477903,-0.0862327751077837,-0.200845284832424,-0.270496817320431,NA,-0.211948044535242,-0.249944559528387,-0.0409129946546724,0.0139326325601896,-0.277373543513068,-0.0463279225850342,-0.299299875688676,-0.22231081502872,-0.0453648121343941,-0.0548770743518697,-0.266002441676357,-0.159763565897476,-0.231181904788818,-0.251042736247902,-0.20776245197917,0.00249583302370103,-0.140017575457441
"DAPH",0.116393046260412,-0.166137126370745,0.000725364329964993,-0.15649224478056,-0.219151894951659,0.211069623941105,NA,-0.0655212688390688,0.0375532680499116,0.208132672640719,-0.327973426831019,-0.13748275664124,-0.368371816116181,0.0655285920202528,0.0368463050376474,0.03830255234394,0.0175846444049505,-0.190093286298485,-0.28897798855109,-0.0322442982057779,0.0915116561505453,0.209178394550958,0.131298514252806
"EGAS",0.134869021938515,-0.120677142453342,-0.0915967297970478,-0.249180652946022,-0.0147463247451501,0.249791099267697,0.0652041768944163,NA,-0.0179991757264125,0.188909721847276,-0.187507548210756,-0.0805814990193865,-0.33461793529145,0.0822501217506191,-0.0539702916233069,0.0498921477169115,0.166912223064992,-0.146618846084765,-0.301522399163442,0.105749884360369,0.0888197125227722,0.182629953512223,0.144404101269803
"ELI",0.0511491535085806,-0.102916687860584,-0.0980765872066922,-0.0693890611749794,0.0512627805164222,0.0416321000198037,-0.0378884224101549,0.0215354616806555,NA,0.0340863974703193,0.0278935855383269,-0.125763967192785,-0.0828073413649869,-0.05787191455435,-0.0987108046111203,-0.0298612424609594,-0.0500765156515599,-0.16087442895568,-0.16562981158147,-0.0595183977529239,-0.0529956428592267,0.031667539340532,0.00899442714049293
"GARD",-0.0191213873847448,-0.0685933888389829,-0.0643587625015529,-0.20164929431488,-0.29279138362764,-0.0107104329890138,-0.209030436046215,-0.18864277113137,-0.0335029869449911,NA,-0.307167781609349,-0.0374801898179223,-0.301016598121339,-0.244662030759875,-0.0360271666634328,-0.0418270935048345,-0.193696905573007,-0.16986319067463,-0.226254090441691,-0.183617155502515,-0.288625243341943,-0.0436359760043165,-0.0675584588262589
