"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.0926650971065632,-0.0969896257609584,-0.132921649687831,-0.117795177978,0.0297918821204947,-0.110282878301356,-0.135600704577642,-0.045187462172982,0.0597009736256785,-0.173719336941446,-0.0456244884846381,-0.184264394623459,-0.123861129040187,-0.0503684234162428,-0.073540825489982,-0.144106427619641,-0.0724163965542667,-0.0842622436193644,-0.132223118613112,-0.096698632184116,0.0578565843682382,-0.157923377186893
"CDOU",0.0925433241551628,NA,0.0848423047187879,0.0568232892117628,0.150395797382804,0.0662307709661184,0.15995716302942,0.137818617334773,0.066285958903391,0.074148180665763,0.146573440633343,0.0389791447714254,0.0212836057077168,0.146995062161909,0.066988803347269,0.0830469949389298,0.140905708328511,0.00994068660941125,-0.0630938972624563,0.128256224186592,-0.00797461605043433,0.0733336871405262,0.0394540191892442
"CHAM",0.0974559256520469,-0.0787666960832739,NA,0.0320950386671991,0.130069855743785,0.0668298497462904,-0.0171861032392802,0.108999136868317,0.066990415500376,0.0738275495604173,0.12266939989058,-0.0137594105929082,0.00911534523377501,-0.0302385818495314,0.0551661228412887,0.0831671723619418,0.115818280113743,-0.0243435319406914,-0.0724641317156233,0.107495081059172,-0.015271459611469,0.0733608293296814,0.0342650413319286
"CMAR",0.12967737343338,-0.0522331471535866,-0.0287750730985443,NA,0.152226514376225,0.223648953148095,0.153426651191865,0.244457463394122,0.0169132425895536,0.224709788291225,0.145371110352383,-0.0255115061806632,-0.0681483513514282,0.134350256630093,-0.0094080506236823,-0.00676112461804446,0.21376346100228,-0.0665986438108326,-0.29552644021977,0.176083672517132,0.122341127218556,0.219551756229932,0.13066578057155
"CORA",0.116310018986684,-0.148726288602838,-0.13062511437954,-0.149989155372132,NA,0.213007317204673,0.13316140992939,-0.0313623006550063,-0.0933792242715495,0.2628287803993,-0.15131449775464,-0.136977237967573,-0.196936692910895,0.167317142432811,-0.119437326776492,-0.106156363886799,0.0505399122670218,-0.166737075228556,-0.25260997594898,0.056969796510942,0.1949789203455,0.264232893716204,0.124144982745234
"CUEV",-0.0295009102176245,-0.0662636884136717,-0.0655919059183645,-0.225758367665617,-0.213689123763191,NA,-0.23787555104421,-0.279464786175752,-0.0384237976810546,0.0897077764861441,-0.25665373913009,-0.0391604506758634,-0.281191921683646,-0.20774999652823,-0.0415403033562099,-0.0494663679803143,-0.298985278903413,-0.184720654208591,-0.246101298668265,-0.264870549346481,-0.202593445847807,0.0893888717460178,-0.178438453133533
"DAPH",0.107814290480431,-0.157871689697367,0.0156106258262858,-0.15248580234651,-0.13307172969181,0.236459513891268,NA,-0.0607478156701586,0.0365394541686289,0.234702365138946,-0.256797439103247,-0.145215497723412,-0.312730470640049,0.0469140081811049,0.0368937044911521,0.0394192039631857,-0.0143830313598109,-0.178760585031567,-0.260999680738645,-0.0389346785681198,0.071233716450987,0.231177353018021,0.117947414026241
"EGAS",0.136308731766081,-0.135737958828042,-0.108927722483456,-0.247882010197848,0.0327569882469439,0.278904587212605,0.0616801045798983,NA,-0.0600202485650232,0.220180294978032,-0.117242464860839,-0.117836881118701,-0.238192376500033,0.0644510535604533,-0.0928569900952553,0.0569237977141663,0.150268798294045,-0.161825340848119,-0.2932419506015,0.0897285139494131,0.0699187322552997,0.212236016304353,0.138186927672982
"ELI",0.0444233352640218,-0.0655314900505063,-0.0659306734459865,-0.0144727183617338,0.0945291608303876,0.0385478919195353,-0.0377741029194029,0.0618454153616387,NA,0.0549225688680496,0.0769617524360499,-0.0788307137333834,-0.0208347352944367,-0.0490872695309085,-0.061986361699128,-0.0195614569357206,-0.046800696009291,-0.0883423972717798,-0.0921675957107302,-0.0451731088015388,-0.0348836142964359,0.0536592284736756,-0.00302662360121846
"GARD",-0.0596049949065029,-0.073393379057368,-0.073829912645301,-0.225226589878225,-0.262615551972453,-0.0856728487287397,-0.235808602662607,-0.219786120943695,-0.054597787127149,NA,-0.295986171010989,-0.0540172321767332,-0.290005039666497,-0.281432820316647,-0.0569808786972856,-0.0640340061772668,-0.227113796163446,-0.193899374907884,-0.242064842905299,-0.206927150636605,-0.346237550969364,-0.0613594465899415,-0.127959024427912
