"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.160540398564999,-0.157727907044148,-0.152637130185091,-0.268664839743934,-0.0113565815666529,-0.230743183586623,-0.163436089638182,-0.0572083279100235,-0.0214959770845649,-0.317184823146427,-0.0780251588540822,-0.284188004683076,-0.18171136270857,-0.0774831823429433,-0.0972906700388643,-0.248859134715303,-0.135014349991949,-0.180812219789204,-0.268522129332336,-0.206875687333394,-0.0266606331111962,-0.194776403715383
"CDOU",0.160641076316325,NA,0.157352761852562,-0.00888262495441975,0.101438298141007,0.0833435752731962,0.169362333810163,0.0985490707801171,0.124722883988473,0.050362145564219,0.100631732233133,0.049630262632609,-0.070091548507846,0.15608989312569,0.124355877642451,0.167073834565268,0.105450488248545,-0.0373052506138523,-0.213448916976386,0.0989072734133146,-0.0321784946773329,0.0493723179646995,0.0860281797915122
"CHAM",0.159348992828262,-0.149109054945029,NA,-0.0332526616878106,0.0803934984388068,0.0746428077768821,-0.0532105185268288,0.06677309889618,0.138887850661348,0.0407916701283357,0.0749751110459348,-0.0391180021722887,-0.0789096943189532,-0.0364060843058591,0.102307548913993,0.173626709602964,0.0772752068790474,-0.0762081620588489,-0.203954781605435,0.074810046299076,-0.0506450426221416,0.039645500248487,0.0724418852563546
"CMAR",0.151064136793652,0.0164839650587586,0.0380671481748379,NA,0.0935580240958517,0.17358110307381,0.17647194500564,0.229776332479535,0.122649446502241,0.171883820836865,0.0877220191863817,0.089448566302998,-0.205934625815114,0.154520480811138,0.0960474672989107,0.0870629140836249,0.197201988111157,-0.00049211381238635,-0.373076919265812,0.170312123814122,0.0817543117729773,0.170114944700145,0.151516571327392
"CORA",0.267189657932493,-0.0992651305530127,-0.0803094761843727,-0.0913284289871188,NA,0.339597542581248,0.312000902611064,0.0508236897127593,-0.0201555300319396,0.319935952740662,-0.0880054740617448,-0.0674882468100431,-0.210904793909001,0.313328395522001,-0.0500848133982756,-0.0389402725722102,0.202918573567944,-0.119579846637583,-0.245016110405866,0.217763536673282,0.328832006447106,0.328207833358976,0.283949774657926
"CUEV",0.0111475820693534,-0.0832502229181472,-0.073154600154749,-0.175211788741795,-0.340047778036691,NA,-0.238350039326653,-0.241462425038293,-0.0221403468915693,-0.0330853046662603,-0.329299804021293,-0.0364107010458096,-0.35284195309772,-0.285263282231427,-0.0319310562330102,-0.0326420417731864,-0.272499497195265,-0.130205874322725,-0.227651912356557,-0.280230783425741,-0.271893532775281,-0.0468020832602354,-0.123817241665519
"DAPH",0.228853407769942,-0.166547486503862,0.0528588448250777,-0.176143920187124,-0.313321201479613,0.237313152619252,NA,-0.0452799843593548,0.0926563614682258,0.191225870455105,-0.401688197540069,-0.131637964156729,-0.446186973726444,0.0516193014312482,0.088726790677847,0.10297253361357,0.0498080998536107,-0.198991945781284,-0.335478549983276,-0.0356417941625218,0.0774811839858851,0.195613416250583,0.248126506025158
"EGAS",0.165479119251058,-0.0942783857983384,-0.0654218187490823,-0.231945742738724,-0.0509995542899002,0.241300032807235,0.0445536367842653,NA,0.0173785329367598,0.162005640586569,-0.23732268388309,-0.0455483044901793,-0.422841139532915,0.0681508961210482,-0.0206557518772336,0.0655269219574672,0.147833532956725,-0.127113046567693,-0.339630833766224,0.0991784970023944,0.0748903828483627,0.158166273019224,0.169096686053939
"ELI",0.0565525003349691,-0.122036099965728,-0.137183658414782,-0.119503933537813,0.0219991300938453,0.0225066438345119,-0.0929609245186148,-0.0137591401948323,NA,0.00648968545640639,0.000280760454643823,-0.158992727010407,-0.133591053684821,-0.0750059834127133,-0.142554326676509,-0.0298649288360992,-0.0896592892062475,-0.211342087642581,-0.247473258765143,-0.105639277479931,-0.0887369986276063,0.00410095818854499,-0.00219104013957988
"GARD",0.0208776482542289,-0.0497344128811455,-0.0407749335365543,-0.172409766622622,-0.319408299715153,0.035763932457898,-0.191911041264047,-0.161969972140506,-0.00629582669662454,NA,-0.312038497237466,-0.0170822603969039,-0.324210838070478,-0.227421100957822,-0.0122405568313501,-0.011220875369856,-0.17420007717108,-0.138408736200917,-0.21502086407867,-0.170494085229431,-0.271398973878332,-0.028299407971393,-0.0333182528965252
