"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.158697064651962,-0.162477478174046,-0.165761479458434,-0.11034377787536,0.0732413438070269,-0.0764219560288553,-0.144678985019291,-0.0615497576003334,0.0843591237082211,-0.163263563565903,-0.106213612398031,-0.193164587520501,-0.0704693478913473,-0.11434357546281,-0.107355936467419,-0.123422188514154,-0.145609767157912,-0.147103198586653,-0.0961402493561219,-0.0549821261410997,0.0856951295431433,-0.0844715617661986
"CDOU",0.158186039840208,NA,0.120464522196419,0.0708004429523013,0.190027277552107,0.130555492714153,0.180599476459751,0.199574517722179,0.118118966861945,0.120909010185412,0.182471734883126,0.0217178393519648,0.0645990583955523,0.169662574442563,0.0980234177244164,0.171622465942503,0.205137801756239,-0.0940379678280021,-0.124386633064049,0.189507437772585,0.0458099613257725,0.122918762123383,0.107381519247341
"CHAM",0.163387867260102,-0.120022658979014,NA,0.0375873816491899,0.163250412081104,0.130799569364467,0.0322755505329506,0.158200090550201,0.150415195700907,0.119234939553164,0.151078790090803,-0.0404588644433927,0.0434328101050925,0.028942917850738,0.0824604750224242,0.198262703599016,0.169129246744902,-0.0994269172726912,-0.12281922758381,0.158695680927586,0.0374459631967557,0.121584808921191,0.10253026307035
"CMAR",0.161803154992963,-0.065435476219775,-0.0349646773563389,NA,0.199558923315166,0.257562856701305,0.221140521538905,0.391737923573665,0.0595592724966143,0.264984957086474,0.189375022537058,-0.00594144028015975,-0.0422840237862762,0.196979855899966,0.014996814223738,0.0347027302521149,0.339484977295051,-0.140588761368123,-0.306757233318155,0.285079248878236,0.214880054759076,0.267513392006274,0.181485560556634
"CORA",0.10895564608666,-0.187173545201911,-0.163953280335805,-0.196642988574924,NA,0.219724889335378,0.162332937978592,-0.0566330732577392,-0.0968298617338085,0.261905233093877,-0.201706134648155,-0.161198067042858,-0.262257256536925,0.199081634179152,-0.137248429983962,-0.110208839636891,0.0433397349252035,-0.22839258302102,-0.311827755742893,0.0537737075331404,0.237531090981454,0.260689558485596,0.12206426736146
"CUEV",-0.0733668497441614,-0.130878987751846,-0.129645857870908,-0.259262616738324,-0.220487192842156,NA,-0.227875591272412,-0.304649502154832,-0.0758181313045404,0.0937499146167367,-0.261886478507667,-0.100498646761959,-0.293258982745706,-0.171476507395603,-0.104857350324957,-0.0987991786321492,-0.301433853370932,-0.230665534790674,-0.275559618177292,-0.254361503276853,-0.146782160429391,0.0982544752293181,-0.151286115263931
"DAPH",0.0740311708396396,-0.178141397251524,-0.0332919063795749,-0.220734795523615,-0.162831795457197,0.22772057503525,NA,-0.122739673425441,0.0106754170050093,0.195547872207247,-0.296834268015507,-0.150211355982448,-0.356909413077252,0.0862747000418155,-0.0117295182963714,0.00498709976937778,-0.0624437210766085,-0.222829481253403,-0.284882683166668,-0.0839029969716699,0.103613429144707,0.192951033684026,0.0884644061939693
"EGAS",0.146226403187207,-0.197307288522353,-0.159142389406056,-0.397150207458751,0.0588215587026232,0.305063730227117,0.124786486267517,NA,-0.0647406190950584,0.231510408910884,-0.111825036430254,-0.15725381372723,-0.245169404960143,0.114503802990235,-0.119707706360409,0.0488819444114032,0.222880228918822,-0.267411287027817,-0.369702927801431,0.145244038768617,0.113534999411345,0.231238102324826,0.166985145019465
"ELI",0.0607646712861375,-0.115480985051884,-0.15053356470616,-0.0558586429966323,0.0994465379980481,0.0760149112456942,-0.0114786455840471,0.0687673500518212,NA,0.082199108329,0.0701808035842154,-0.162980093162911,-0.0257930545583941,-0.0120001400421815,-0.156529265945783,-0.0427023643768184,-0.0277231323186512,-0.207231653146307,-0.175486704149176,-0.0186346054879909,-0.00419936417017718,0.0830763949879091,0.027013343220115
"GARD",-0.0842808523764105,-0.120487394443393,-0.119248823828001,-0.265317360998565,-0.26113599621066,-0.09075761001817,-0.195921855818969,-0.230206431791736,-0.0820899974716153,NA,-0.305163825548522,-0.0992495808985749,-0.294809423007808,-0.223970671798743,-0.102041152761623,-0.0980671928621419,-0.221387992613265,-0.241847509114466,-0.278059886929434,-0.180528619745062,-0.258085892125713,-0.0478140286269238,-0.119201507375538
