"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.0664740522120834,-0.0727356797748297,-0.118706822320109,-0.186559814689111,-0.0596774405156493,-0.143303232342297,-0.121522209171181,-0.0321440533790942,-0.0674124533084251,-0.233688857419876,-0.0379859174568778,-0.199637533052396,-0.158888699617516,-0.0464612887715521,-0.0442360815656105,-0.163878151665418,-0.0668876375332287,-0.0736074805646255,-0.174149182991176,-0.206195249057865,-0.0745967526029668,-0.164226228474612
"CDOU",0.066021522320401,NA,0.0301852385326557,0.0140727895382348,0.10604232960086,-0.00188109986170524,0.149455274226315,0.102652054815444,0.0122407193795214,-0.0224587950582077,0.0993553683078586,0.00015900537265045,-0.0238666950517196,0.137784319341696,0.026487522957553,0.0517115209222468,0.104327369523648,-0.058774326255629,-0.082476965274899,0.093568518609145,-0.0771997193104568,-0.0258075955142241,0.0172006852117315
"CHAM",0.0727464673194872,-0.0311200397246835,NA,0.00466288046703768,0.0931485615793646,-0.00538904132314523,-0.0458024754730829,0.0838364534902784,0.0382970021555931,-0.0273047268084038,0.0850915134633962,-0.0129189963960971,-0.0253114435338522,-0.0606865352112266,0.0226323118534761,0.0625349483446503,0.0881573534141801,-0.05036853978068,-0.0734061122847108,0.0804575535390524,-0.087830957215498,-0.0306791061992524,0.0142639346719601
"CMAR",0.117224599981367,-0.0120655373078589,-0.00383611411026378,NA,0.10028193715085,0.141805043417846,0.152007697530393,0.214538928369672,-0.00629834740853934,0.138792767309697,0.0830325652182974,-0.0196011715185097,-0.116201375864236,0.133324889089221,-0.016551681887016,-0.00399220115286928,0.184613765633289,-0.0446583040161485,-0.199449913651872,0.148331186199081,0.0747299797955859,0.137881345088098,0.11869399221884
"CORA",0.185457762386655,-0.10482589792979,-0.0938511852407357,-0.0982933873719918,NA,0.310247305356401,0.240332267002376,0.0459546212662903,-0.0836951145919327,0.290052965133003,-0.116899614319801,-0.10740991851493,-0.188291516094766,0.268808671587767,-0.0979721441100417,-0.0826744763244733,0.149380960862698,-0.128270248475394,-0.203477632868978,0.163418826917613,0.304633578789515,0.29415761763596,0.203876467346841
"CUEV",0.0598626200505046,0.00189217403167207,0.0059812804136646,-0.143302889319621,-0.310701809759098,NA,-0.179883480656542,-0.194336706399885,0.0242085324523848,-0.0753348751780296,-0.257330403440379,0.0167968158828659,-0.263857748469581,-0.262905473398242,0.0190145979741674,0.0300772532278611,-0.210537046548639,-0.119454831437378,-0.160689288138406,-0.202745487727266,-0.26011094596079,-0.0933964451728303,-0.0634902724463807
"DAPH",0.141979848970226,-0.148572232332881,0.0453074169836046,-0.151552086238908,-0.241452186994767,0.179354332803235,NA,-0.0091333804870235,0.0595978906103012,0.154484228915541,-0.340144585414337,-0.151561878496529,-0.354445322895353,0.0466386465258703,0.0564762374730355,0.0709225882824825,0.0572728371309935,-0.18125817989537,-0.24012600104797,-0.0132867504834479,0.0675833928912427,0.159905156968908,0.164131002206558
"EGAS",0.123245127687826,-0.101686543284193,-0.0845749089683576,-0.216643969921129,-0.0462107024310106,0.194125189992002,0.00952397334672548,NA,-0.0721491475311193,0.118276053135262,-0.191808871983609,-0.105658930324999,-0.289093224985062,0.0330388020426839,-0.091194422898705,0.0599490891134685,0.105966977740185,-0.139757370612462,-0.231676050353986,0.0561591237196187,0.0450977297180137,0.115183143662409,0.125906353049995
"ELI",0.0317229356471986,-0.0123670640584024,-0.0380966014285214,0.00771916366825386,0.084602278081856,-0.0241960269820445,-0.0599258507436669,0.0731028882909994,NA,-0.0390229999223969,0.074093437222,-0.0183855215135493,-0.018163595961099,-0.0738874040054715,-0.0387023902381584,0.00434844969018635,-0.062567249104552,-0.0221057216402015,-0.0402200101181337,-0.0715336466790609,-0.099738468882172,-0.0427475805911188,-0.0145369797165132
"GARD",0.0669435540097037,0.0229502351134552,0.0272891909137365,-0.139206292219199,-0.289791924133701,0.0784946274187289,-0.155289222049029,-0.118035549254185,0.0392422222372165,NA,-0.283309532090121,0.033561607829946,-0.264357017393633,-0.182240818846001,0.0363485838639209,0.0450910365670815,-0.121213575815009,-0.122209230288746,-0.154561434499674,-0.135369451612052,-0.21452594484861,-0.0176017245613866,0.017283268377591
