"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,0.00915585547660185,0.0101106855266745,-0.171830875271197,-0.0790065104814678,0.105363592574924,-0.0684148873311234,-0.176160501573609,-0.00530318694117791,0.158995066023479,-0.140912039470616,-0.0389479532909982,-0.198921142710536,-0.0471183778835242,-0.0356278123061855,-0.0179502710622018,-0.120917236919784,0.0176648105612359,0.0517137026112433,-0.0799082697336929,-0.00383047148852659,0.16481998976401,-0.0945430918974281
"CDOU",-0.0106211186342716,NA,0.047740466685243,0.224229476648192,0.211866438576634,0.0443592935320683,0.239970922983903,0.315024531990731,0.0933345489992356,0.0941347195957322,0.242732150096927,0.0490408349769413,0.177041805163976,0.221109685544197,0.0383921155992966,0.0737724105178105,0.303629752979457,0.032417127477431,0.124860466576706,0.277939304175391,-0.00881267170525764,0.096261554317946,-0.0299718081119355
"CHAM",-0.0122845470818937,-0.0463333830726375,NA,0.17752145657321,0.190494363438944,0.0515517842903521,-0.0444090154955586,0.269394720364202,0.0820328956827186,0.102105130129415,0.212965396298367,0.00484982392548424,0.151934502635738,-0.0329640054637163,0.034888599968951,0.0873312750731037,0.264989470657889,0.0112482010958811,0.0898979479360813,0.245816806622351,-0.00890681708706044,0.104222770199976,-0.0332795355767971
"CMAR",0.167124465736626,-0.21709770405532,-0.173010170061505,NA,0.144163111020207,0.287780042764281,0.213683400574267,0.422568831098107,-0.0287252097759807,0.301540171886755,0.156657307898663,-0.117251821894717,-0.0564501147181514,0.188853902701462,-0.0766867835228116,-0.0482919535135562,0.368156322078911,-0.273786977442205,-0.309720899916379,0.304399509757551,0.251593771474516,0.309707326904559,0.182315206311341
"CORA",0.0774487338739409,-0.207487554293961,-0.188945143026139,-0.141824736271131,NA,0.146292375429176,0.10001354546564,-0.0444447795666163,-0.108937921945991,0.228338167694634,-0.113606453993904,-0.165462849748277,-0.157024487058365,0.123201950134575,-0.142302009821094,-0.11959653744196,0.00727866552921759,-0.225462693573746,-0.281699384060302,0.0161561610427734,0.161667867753402,0.213472920477911,0.0867036884642604
"CUEV",-0.10569733377263,-0.0470627443442013,-0.0518298064255194,-0.289756380501574,-0.147275715852709,NA,-0.240406657184402,-0.32899090626134,-0.0567643088524733,0.212783537188618,-0.253652127193303,-0.0724648323812237,-0.274463481663647,-0.136529495684083,-0.0751066336315348,-0.0728029212417379,-0.327891498543049,-0.290582119221849,-0.300384880252077,-0.263731146586545,-0.100516168318186,0.233649260240356,-0.155161473145467
"DAPH",0.0661735383645367,-0.236283265017715,0.0426572355805147,-0.213486762037112,-0.100590963683411,0.240345539078941,NA,-0.118317255666915,0.0334073931537071,0.209036266872428,-0.263868266679713,-0.18994599688277,-0.3179908500801,0.0753486574090904,0.0209470664378417,0.035588455959709,-0.0665940407125797,-0.259531650140431,-0.272738823205385,-0.0807944665399703,0.100440599904281,0.196288135598109,0.0801781421638521
"EGAS",0.177307231822001,-0.311484921881178,-0.268565082492713,-0.427758195839789,0.0465278721605797,0.328873383747043,0.120555734008789,NA,-0.141246687035975,0.262796273244726,-0.100085476392167,-0.245682555075372,-0.220348854017762,0.105459848444881,-0.197005140406726,0.102588438369803,0.212893294417693,-0.362168876800312,-0.390180318782497,0.133820327575262,0.107471755341488,0.269425925441995,0.198815002912027
"ELI",0.00137544253586615,-0.0915876791150743,-0.0824187993646309,0.0342272126912291,0.112851183047167,0.054473026795955,-0.0362775297938452,0.146673155791483,NA,0.103053533188572,0.110304894165378,-0.114226548790363,0.050595512022298,-0.0261663977420788,-0.100142245825799,-0.0200353013966585,-0.0585292401276845,-0.160703866395677,-0.0668803648748919,-0.0406666813915915,-0.00294153178604103,0.105054238601308,-0.0220196220310544
"GARD",-0.158671817306704,-0.0952158139204784,-0.102638429326096,-0.301900815352033,-0.228194974938649,-0.208961985323494,-0.209819958940993,-0.261585292138728,-0.104291116138337,NA,-0.307288855008458,-0.113286558205861,-0.277417663421221,-0.242879565195782,-0.11846458648698,-0.120816904562127,-0.255560004643997,-0.300414338720132,-0.309433949696705,-0.191838818699645,-0.280742168681147,-0.0752820154515854,-0.190159892971588
