"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.128650091813815,-0.134223490758002,-0.0685058141256838,-0.0233225697057519,0.130618925367427,0.0215205793823971,-0.0537042666233346,-0.0438390751852519,0.127169379331122,-0.0601617604943659,-0.0457604828953242,-0.117453301688566,0.0211984937473249,-0.0455479510282241,-0.0814413282889226,-0.0217288262497507,-0.0890939095709561,-0.112470221558156,0.00925866427745637,0.0463589894787038,0.131283686129672,0.0116134666943848
"CDOU",0.128773078658337,NA,0.108948871016116,0.0413436729001846,0.106565278968499,0.145722282877376,0.121057343270142,0.12829689131854,0.10043258091,0.138849301853232,0.0935318705525358,0.0589049052516117,-0.00304425854747422,0.113486519283638,0.094577278129727,0.118808144314228,0.140734075025075,0.0617364028054389,-0.0783719999107572,0.130701295972617,0.0855745573825903,0.142113693990756,0.104466470374125
"CHAM",0.136509923558887,-0.102096357635357,NA,0.0162254569508672,0.0889587302797441,0.151699733164462,0.0737056443512857,0.0987295540578722,0.10689595340586,0.141909394989915,0.0733568039831331,-0.0145678464273201,-0.0146818086435392,0.0702766459685219,0.0886396359927319,0.125705185189843,0.113519005621694,0.00118528961952178,-0.0872847330818566,0.107852645007251,0.0850347867351374,0.145487929158488,0.105782371086715
"CMAR",0.065641077531564,-0.0357247653821042,-0.0132108100893861,NA,0.112569191021104,0.142261817071741,0.146168827452144,0.257166463626892,0.0709701138644831,0.183641291815565,0.0905443734834182,0.0338172896316541,-0.0774538310311675,0.130081341744231,0.043671026654637,0.0343187998416905,0.235140496211443,-0.0228262803484638,-0.186885659327545,0.202824570420333,0.178071066574605,0.188961932451369,0.0873822873347086
"CORA",0.0227671481938623,-0.104635375510775,-0.0889514369411644,-0.110766096474767,NA,0.0912232175422349,0.0835474726350197,-0.0457577598991726,-0.0344539078757377,0.142667834474913,-0.136463871011302,-0.074696599024543,-0.173487369811019,0.113382577102816,-0.0601903080034469,-0.0538873458348733,-0.00824483244090395,-0.108882652501494,-0.171327278527397,-0.000192498749234164,0.136543441913056,0.135176232064384,0.0394640356580335
"CUEV",-0.131197425924807,-0.145955250940971,-0.150475676132014,-0.142992405219642,-0.0917722444010784,NA,-0.099051346499209,-0.178470730731434,-0.0998173159523898,0.120663913437537,-0.138494950322465,-0.0968810140664805,-0.168193781631479,-0.0344511428298525,-0.104119034792317,-0.127034661523094,-0.161313046515729,-0.112764235955569,-0.157098133191474,-0.116070030757703,0.00597501417843782,0.130012994807584,-0.12886274614636
"DAPH",-0.0225235103184915,-0.118745720304238,-0.073662184590185,-0.146215573499851,-0.0840263346312169,0.100188738181437,NA,-0.129402135655698,-0.0314039635376163,0.0994867635943718,-0.193318538490003,-0.0856679168659503,-0.237340351821854,0.0554479752122884,-0.0324666575540714,-0.0443942443193557,-0.0910377897790528,-0.124899181164405,-0.185628337803534,-0.0981256851864746,0.0665410237327299,0.0967908910278297,-0.00223656685231841
"EGAS",0.0543980907689601,-0.125800996253025,-0.0987371797233842,-0.261261929387213,0.0477589049495044,0.179220200902537,0.131559832999724,NA,-0.0195535360326404,0.167948987456101,-0.0729156098757488,-0.0795735864985796,-0.18801801033145,0.109460874312248,-0.0556952465509713,0.00223798147535299,0.201594311510659,-0.136761640125871,-0.236748382687535,0.133919796502544,0.0996336683617704,0.172421068929853,0.0801672340664506
"ELI",0.0445266409691685,-0.0988053481898898,-0.105462035775161,-0.0689423638106287,0.0358326693853899,0.100599055663509,0.0318965291116674,0.0218057130997215,NA,0.107136724985959,0.00713305276868472,-0.120448708455791,-0.071345664515352,0.0314369972270916,-0.0948682238089359,-0.0359433414578292,0.0129336680538386,-0.143233033130317,-0.154931095743384,0.0258440480753485,0.0450324538874572,0.109267050482767,0.0374015511149432
"GARD",-0.126944848108524,-0.138716380873555,-0.141864973455274,-0.183735262997003,-0.142061819136595,-0.11959813775256,-0.0992753769667072,-0.166738661483341,-0.106738095195176,NA,-0.174092913817642,-0.104247220860621,-0.177809696015447,-0.111067522398605,-0.109753575682121,-0.125735613227429,-0.152128799458641,-0.151271982954498,-0.187484541762107,-0.100476674892165,-0.120658390136034,-0.0369953088182899,-0.125484204361016
