"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.115102220628418,-0.119940859044444,-0.135985367755109,-0.193689281058674,0.0150937993894224,-0.157618929573408,-0.151122445681247,-0.044570696214858,0.0200334152958113,-0.244265835289493,-0.053560773538966,-0.240828713132008,-0.156125125087882,-0.0538320065362828,-0.0832369063786966,-0.186141402693943,-0.0927699419105608,-0.114481057206136,-0.192178690612355,-0.154305691544656,0.015839744717006,-0.170170327430058
"CDOU",0.11495009593444,NA,0.116167361254359,0.0445413695924198,0.124739435377069,0.0698003659643758,0.182143041005589,0.1374796442198,0.099930860467579,0.0574161835762717,0.125673913668811,0.0508345007976641,-0.0179881007199654,0.16878861065278,0.0952126411512958,0.11667826673949,0.14086496780679,-0.00771651877966066,-0.110304558754483,0.130637410020701,-0.0267767781868309,0.0559488265738805,0.0545766963839135
"CHAM",0.121104675223805,-0.110144376960607,NA,0.0174682990653639,0.104748337827645,0.068758437413425,-0.0315059929347716,0.10567068690487,0.105399891358587,0.0546043890510673,0.101337045921815,-0.0215571998361087,-0.0283877335461875,-0.0383281149030193,0.0821726752472293,0.118235918202177,0.112970442319506,-0.0437562057817852,-0.11348330726123,0.106954580525014,-0.0373394370301987,0.0532301346612987,0.0491845091355498
"CMAR",0.133515862791067,-0.0375118396139422,-0.0128184644505354,NA,0.108537186368009,0.192421501393333,0.167126310775951,0.237202385216238,0.0607449722112856,0.197885708362511,0.0998045315606648,0.0171010567790939,-0.151400638143119,0.149081558895436,0.0307269718027369,0.0271586852057172,0.209263065417098,-0.0571702768137012,-0.30603720849262,0.178785226673536,0.102114497649605,0.19423299832501,0.137974070493987
"CORA",0.192265982277547,-0.122181653101015,-0.104434711246449,-0.106452434108474,NA,0.278259391410729,0.239204653924451,0.0275663551161891,-0.0532557636120522,0.286503741093252,-0.10848235001308,-0.0984010405027831,-0.178729947244342,0.250222348297299,-0.0815445123148152,-0.0711215378667189,0.130246633691924,-0.139559034489694,-0.235907766388953,0.143606498186925,0.259870802865659,0.289089156763446,0.210128277367907
"CUEV",-0.0149073314057883,-0.0700175311625233,-0.067454439259062,-0.194214780865372,-0.278755897541727,NA,-0.230618930617998,-0.25345225933231,-0.0285352759265036,0.0240450816384707,-0.294087887994995,-0.0347546733549169,-0.313323173951844,-0.249447900740773,-0.0333725292225219,-0.0422310616192997,-0.274712710183722,-0.160129962563427,-0.225931456453859,-0.266514297925266,-0.237481260167941,0.0147904500616643,-0.145252657198515
"DAPH",0.15553507954779,-0.179185887946129,0.03065261551266,-0.166591588886458,-0.239797188268317,0.229344851139804,NA,-0.0579849303892222,0.0611301813178002,0.212627820707537,-0.340566513688937,-0.153018274713125,-0.378595825862548,0.0652951299535591,0.060595138670409,0.0643107867531352,0.0155398485013017,-0.206559604142732,-0.298492019465251,-0.04361803504463,0.0899241686436134,0.211045119690508,0.17763867161998
"EGAS",0.152248948794929,-0.133540406883822,-0.104260765026895,-0.23950932784075,-0.0273775727431538,0.253039049368162,0.0577569933589688,NA,-0.0317914661251461,0.189875997107834,-0.195488426092751,-0.0968734479486734,-0.342984677251751,0.0751316951551602,-0.0701339235566293,0.0628705812290222,0.152599562086812,-0.164461721051275,-0.30882557624686,0.100503736966785,0.0828926636731698,0.183824651621597,0.162892665762971
"ELI",0.0443657859403198,-0.0984672783218534,-0.104002332585439,-0.056873011906367,0.0555008901711807,0.0289208189514794,-0.0616807206249745,0.0357120228782226,NA,0.0282799686087308,0.0379820099117164,-0.122899203511944,-0.0748889971012199,-0.0666317577197326,-0.0978468311731142,-0.0376336854063579,-0.066540011638932,-0.151851125405086,-0.155239374069371,-0.0744110436586504,-0.0657557376975876,0.0259003835648681,-0.00616372988324645
"GARD",-0.0201849648495987,-0.056872565970898,-0.0545690207530825,-0.198389981710439,-0.286196912536848,-0.0205046273559334,-0.213565410553216,-0.189705032338339,-0.0278553775634723,NA,-0.309713188198377,-0.032069908122224,-0.308428725282055,-0.250455199394377,-0.0308875501047195,-0.0367715769111685,-0.199085781970483,-0.171540242028457,-0.223632878733452,-0.189211252439802,-0.296654450508575,-0.0512277168057643,-0.0755223423624993
"PCAL",0.243601183419008,-0.124601100080788,-0.100370816864626,-0.102095395797486,0.108599962678965,0.295372878430472,0.347322048768811,0.197396017515995,-0.0359645393766972,0.311959261359756,NA,-0.0945109166116815,-0.249694808860941,0.353043912825768,-0.070577186766654,-0.0586246417388725,0.26932711410717,-0.149823302019159,-0.292360665314703,0.326309832348474,0.300633608841484,0.312690861452589,0.266803267733128
"PESP",0.0538659183202089,-0.0445404611488735,0.0230116719814702,-0.0110623812096754,0.10065314359798,0.0352353949521516,0.156417403898403,0.100949693371904,0.124104142710552,0.0328106081815226,0.0956418558479065,NA,-0.0508612877894112,0.145661855110932,0.0545689942910446,0.0331654441508897,0.110216303608004,-0.192745022030785,-0.171766358782397,0.101693300475584,-0.0545165478627335,0.0309127067652548,0.00684397145672345
"PIN",0.239983722466875,0.0205582811988477,0.0299813221242316,0.151812726932493,0.178155112531673,0.312915587855115,0.379403651555033,0.343561519464142,0.0773438636448529,0.308812221973399,0.253208984471175,0.0542967354608944,NA,0.354810363764756,0.0595636515860206,0.0529590696942708,0.303575309611632,0.0230374247158385,-0.0627744630062949,0.361060132549469,0.314477528253689,0.309537907183881,0.256581101341797
"PLAZ",0.154857068190214,-0.166728826105747,0.0376290955692069,-0.145286292279926,-0.249389685661796,0.249649984485495,-0.0580460460635875,-0.0739969416299874,0.0656722049920654,0.248281983145152,-0.347636047498736,-0.142387842002548,-0.352876082010457,NA,0.0655787985480386,0.0697074686899984,-0.0351056866722128,-0.188337069518945,-0.267812790344314,-0.0513066567911249,0.111974648143502,0.246256912185064,0.146879658970554
"PMAN",0.0547188398271394,-0.094260409254499,-0.0783321313744665,-0.027123071617125,0.0825740524044652,0.0342501494904783,-0.06050047518809,0.0721918890924115,0.0981169790653935,0.0313593034065361,0.0718779893104707,-0.0569323560026699,-0.0566114212758152,-0.0656196873944621,NA,0.0174783741077945,0.0844095329717677,-0.136764849646755,-0.149924017631118,0.0795853970816185,-0.0654054066259272,0.0293252414433876,-0.00120321409381926
"PMOR",0.0820572272406531,-0.115136242145925,-0.110751719754862,-0.023462487330342,0.0727329124775914,0.0430134446075153,-0.0650116825449182,-0.0622673402594591,0.037309655229663,0.0373168160546569,0.0609419430543321,-0.0295288083905922,-0.0500879815718037,-0.0708057586869026,-0.0157159070875139,NA,-0.0709226758285629,-0.0908148534400093,-0.114429085702324,-0.0805902207532916,-0.069405082340826,0.0351647316494765,0.00701230845713474
"PROJ",0.18190411127468,-0.135686364930832,-0.110851861291094,-0.209157336933118,-0.129317026199596,0.273177876073113,-0.0171456439983033,-0.141302510001118,0.0664611878904978,0.19856683575967,-0.267064033941816,-0.104762100857442,-0.301624728083644,0.0342458785818081,-0.0802796135545454,0.0710514177683018,NA,-0.162765477696018,-0.279716739786881,-0.0472678367667579,0.0308150236808443,0.192834783097104,0.207437086963302
"PVIC",0.0916040000946627,0.00693203937275767,0.044837084503107,0.0654022864241531,0.142144432766761,0.162235063279292,0.211158302087574,0.169793232066444,0.151798580546454,0.173846314537116,0.150968049837018,0.186151175889828,-0.0195447336768268,0.193970127485669,0.135111881647788,0.0912184859313514,0.167620314515649,NA,-0.146175817057408,0.154308190330423,0.182536710997254,0.170041463412904,0.0451360374538038
"RED",0.117093995112859,0.12604892101598,0.119890494098294,0.302110062912652,0.237252449888464,0.226450773835111,0.300227822974525,0.309049368736798,0.160971296845872,0.224400231639238,0.291817570680076,0.180619126911716,0.0628737872048715,0.268305507144154,0.156319475676916,0.120956020085456,0.281649849381667,0.156389177122752,NA,0.254359076979517,0.24853874881309,0.222768737447553,0.196632214209561
"SOMB",0.187474926391321,-0.126312993793211,-0.103192458633859,-0.178805899730486,-0.144902442357397,0.265337756555566,0.037048782365381,-0.0959353452993964,0.074499239391899,0.186915837546959,-0.324396753814559,-0.0976865267701068,-0.361435965647877,0.0491707175218719,-0.0757166653211046,0.0799718526620874,0.0474713307510349,-0.148697808147437,-0.253083521497905,NA,0.0731921882305264,0.183329641073487,0.210727911881881
"STAFE",0.152554819240732,0.0262513928524225,0.0373196664082217,-0.101934868703746,-0.260510679069214,0.239887907395593,-0.0905851613233678,-0.085685503758481,0.0657179060748857,0.296214582654824,-0.298372553973125,0.0545740309187441,-0.313784196241209,-0.121558006015643,0.0653142339066866,0.0694220063861206,-0.0331275656981051,-0.179135239978378,-0.247123334994329,-0.0763185156963641,NA,0.299104806286343,0.148277006549298
"SUAR",-0.0155242771234658,-0.055688371973693,-0.0528725543642453,-0.194627302845448,-0.289348941590162,-0.0110061439810814,-0.210387741901647,-0.183932224825945,-0.025364165502554,0.0954657029665454,-0.310849051512587,-0.0301132884876834,-0.308963204723174,-0.248327143060281,-0.0283997692764265,-0.034267913297265,-0.19338897978033,-0.168316018947255,-0.221065738847725,-0.184353625224019,-0.298387634672735,NA,-0.0738765591152867
"TOR",0.168193566600914,-0.0532681311468665,-0.0467231294417013,-0.14064282450222,-0.212694639839441,0.144994444886361,-0.184077435734053,-0.162615572874343,0.00789277486811835,0.0753423686776621,-0.266905023383964,-0.00403128262492244,-0.258286034810962,-0.155592558032236,0.00421722286631937,-0.00255906469497791,-0.219698014368819,-0.0425905482956678,-0.194679087843317,-0.217248962444755,-0.148993557991021,0.0738628695160326,NA
