"","journeyID","OceanographicResistance","OceanographicResistanceSD","start","end"
"1","CDOU_BAR",0.136675049904993,0.075870958934721,"CDOU","BAR"
"2","CHAM_BAR",0.140622574623892,0.0790559479482991,"CHAM","BAR"
"3","CMAR_BAR",0.16252720119225,0.1566868397568,"CMAR","BAR"
"4","CORA_BAR",0.262170791001219,0.132628791683558,"CORA","BAR"
"5","CUEV_BAR",0.0361206298689427,0.196424566159635,"CUEV","BAR"
"6","DAPH_BAR",0.209685188340944,0.172595017838423,"DAPH","BAR"
"7","EGAS_BAR",0.187360861020882,0.173012271056942,"EGAS","BAR"
"8","ELI_BAR",0.0542995499824038,0.115761083245978,"ELI","BAR"
"9","GARD_BAR",0.0228720717676387,0.16498689719119,"GARD","BAR"
"10","PCAL_BAR",0.342576993982713,0.159630994865124,"PCAL","BAR"
"11","PESP_BAR",0.0738305603571307,0.0993040431742598,"PESP","BAR"
"12","PIN_BAR",0.298873809106493,0.2211421655331,"PIN","BAR"
"13","PLAZ_BAR",0.226301613234304,0.115164506550126,"PLAZ","BAR"
"14","PMAN_BAR",0.0769075668219154,0.105631564153217,"PMAN","BAR"
"15","PMOR_BAR",0.0940213565578915,0.115854770914979,"PMOR","BAR"
"16","PROJ_BAR",0.259085225612418,0.143004578146671,"PROJ","BAR"
"17","PVIC_BAR",0.113922814447836,0.0840195811559746,"PVIC","BAR"
"18","RED_BAR",0.144844080538714,0.142237862974138,"RED","BAR"
"19","SOMB_BAR",0.280917240272837,0.138524923218603,"SOMB","BAR"
"20","STAFE_BAR",0.244124055691624,0.109511126751896,"STAFE","BAR"
"21","SUAR_BAR",0.0314921061338561,0.167978702586538,"SUAR","BAR"
"22","TOR_BAR",0.249549469181788,0.156074551735159,"TOR","BAR"
"23","BAR_CDOU",-0.136780486572979,0.078368609892618,"BAR","CDOU"
"24","CHAM_CDOU",-0.111345484862186,0.0953294541086833,"CHAM","CDOU"
"25","CMAR_CDOU",-0.0153284393470965,0.214560353971464,"CMAR","CDOU"
"26","CORA_CDOU",-0.137744259039246,0.185728911710125,"CORA","CDOU"
"27","CUEV_CDOU",-0.0507331410015451,0.211723832335104,"CUEV","CDOU"
"28","DAPH_CDOU",-0.199162749555575,0.242428205952347,"DAPH","CDOU"
"29","EGAS_CDOU",-0.109529640484967,0.222005598150543,"EGAS","CDOU"
"30","ELI_CDOU",-0.100476686200212,0.0683050451043532,"ELI","CDOU"
"31","GARD_CDOU",-0.0332269596908689,0.191796110818247,"GARD","CDOU"
"32","PCAL_CDOU",-0.13548807178106,0.209137102782457,"PCAL","CDOU"
"33","PESP_CDOU",-0.0421236643125885,0.0444132918961966,"PESP","CDOU"
"34","PIN_CDOU",0.0490598465797919,0.149538569670595,"PIN","CDOU"
"35","PLAZ_CDOU",-0.18597351677365,0.233121893871592,"PLAZ","CDOU"
"36","PMAN_CDOU",-0.0952121121827321,0.0767288907788246,"PMAN","CDOU"
"37","PMOR_CDOU",-0.129657099151773,0.0592136442041718,"PMOR","CDOU"
"38","PROJ_CDOU",-0.109250984108086,0.205234289370583,"PROJ","CDOU"
"39","PVIC_CDOU",0.0284494701940459,0.052649417951699,"PVIC","CDOU"
"40","RED_CDOU",0.165926174658406,0.223557352279251,"RED","CDOU"
"41","SOMB_CDOU",-0.10073020369403,0.200298422550805,"SOMB","CDOU"
"42","STAFE_CDOU",0.0649642252034845,0.215205188746443,"STAFE","CDOU"
"43","SUAR_CDOU",-0.0304476572121703,0.195630017542074,"SUAR","CDOU"
"44","TOR_CDOU",-0.0523634371435171,0.1967181429562,"TOR","CDOU"
"45","BAR_CHAM",-0.1396931391196,0.080295053233325,"BAR","CHAM"
"46","CDOU_CHAM",0.117591030528762,0.089219367574857,"CDOU","CHAM"
"47","CMAR_CHAM",0.0064220450621468,0.204180602489242,"CMAR","CHAM"
"48","CORA_CHAM",-0.118350781723566,0.191223781543886,"CORA","CHAM"
"49","CUEV_CHAM",-0.0427579899031925,0.220804195006581,"CUEV","CHAM"
"50","DAPH_CHAM",0.0517165186420921,0.22524909867837,"DAPH","CHAM"
"51","EGAS_CHAM",-0.0826612510995183,0.221522566092438,"EGAS","CHAM"
"52","ELI_CHAM",-0.112390453142338,0.0285654081867619,"ELI","CHAM"
"53","GARD_CHAM",-0.0268314051794232,0.196621339603822,"GARD","CHAM"
"54","PCAL_CHAM",-0.10936890154864,0.213086949317483,"PCAL","CHAM"
"55","PESP_CHAM",0.0256369204825832,0.103525574939614,"PESP","CHAM"
"56","PIN_CHAM",0.0557368335415497,0.145451134043297,"PIN","CHAM"
"57","PLAZ_CHAM",0.0702875240646106,0.210512532344203,"PLAZ","CHAM"
"58","PMAN_CHAM",-0.0783636242950578,0.0592955911102789,"PMAN","CHAM"
"59","PMOR_CHAM",-0.132786477892663,0.0450487661064446,"PMOR","CHAM"
"60","PROJ_CHAM",-0.0864727713959093,0.207602190905327,"PROJ","CHAM"
"61","PVIC_CHAM",0.0601784781973719,0.0818224830399723,"PVIC","CHAM"
"62","RED_CHAM",0.151278174363376,0.201091517838923,"RED","CHAM"
"63","SOMB_CHAM",-0.0799693706064013,0.201993944106339,"SOMB","CHAM"
"64","STAFE_CHAM",0.0823730979500738,0.216179296152568,"STAFE","CHAM"
"65","SUAR_CHAM",-0.0231981921900491,0.200382141250095,"SUAR","CHAM"
"66","TOR_CHAM",-0.0406222482048834,0.207700284695042,"TOR","CHAM"
"67","BAR_CMAR",-0.164831280750694,0.161156757742969,"BAR","CMAR"
"68","CDOU_CMAR",0.0221826836577579,0.214808940764528,"CDOU","CMAR"
"69","CHAM_CMAR",-0.00189298674652012,0.203267575634944,"CHAM","CMAR"
"70","CORA_CMAR",-0.120396183002906,0.096221296236779,"CORA","CMAR"
"71","CUEV_CMAR",-0.194672111319341,0.165715268850166,"CUEV","CMAR"
"72","DAPH_CMAR",-0.184536817126037,0.0952063603850601,"DAPH","CMAR"
"73","EGAS_CMAR",-0.219011277866817,0.0400247168886761,"EGAS","CMAR"
"74","ELI_CMAR",-0.0737713481157017,0.204443034666271,"ELI","CMAR"
"75","GARD_CMAR",-0.190829854188188,0.0936694984317009,"GARD","CMAR"
"76","PCAL_CMAR",-0.105655867978534,0.10680533795173,"PCAL","CMAR"
"77","PESP_CMAR",-0.0335010262471543,0.24126369599597,"PESP","CMAR"
"78","PIN_CMAR",0.200368959761286,0.10094457533925,"PIN","CMAR"
