"","journeyID","OceanographicResistance","OceanographicResistanceSD","start","end"
"1","CDOU_BAR",0.158186039840208,0.0701973762254062,"CDOU","BAR"
"2","CHAM_BAR",0.163387867260102,0.0715572200236197,"CHAM","BAR"
"3","CMAR_BAR",0.161803154992963,0.0779377479098671,"CMAR","BAR"
"4","CORA_BAR",0.10895564608666,0.068898728445726,"CORA","BAR"
"5","CUEV_BAR",-0.0733668497441614,0.0856455243770601,"CUEV","BAR"
"6","DAPH_BAR",0.0740311708396396,0.0693943029070071,"DAPH","BAR"
"7","EGAS_BAR",0.146226403187207,0.065722774007162,"EGAS","BAR"
"8","ELI_BAR",0.0607646712861375,0.106916089809048,"ELI","BAR"
"9","GARD_BAR",-0.0842808523764105,0.0797027121552186,"GARD","BAR"
"10","PCAL_BAR",0.162718754298661,0.137473041592902,"PCAL","BAR"
"11","PESP_BAR",0.105838588367538,0.0741569105264906,"PESP","BAR"
"12","PIN_BAR",0.192136640072646,0.125497452119309,"PIN","BAR"
"13","PLAZ_BAR",0.0690277129547639,0.0387245453831057,"PLAZ","BAR"
"14","PMAN_BAR",0.114602613216403,0.0763511603144118,"PMAN","BAR"
"15","PMOR_BAR",0.105947908546225,0.0945137991446848,"PMOR","BAR"
"16","PROJ_BAR",0.119212900489255,0.0668436513897236,"PROJ","BAR"
"17","PVIC_BAR",0.143442395603317,0.077181860257234,"PVIC","BAR"
"18","RED_BAR",0.147657165015127,0.0819142220040021,"RED","BAR"
"19","SOMB_BAR",0.0923237918592307,0.0628509612102816,"SOMB","BAR"
"20","STAFE_BAR",0.0539197745394745,0.0556468103851345,"STAFE","BAR"
"21","SUAR_BAR",-0.0857753220835939,0.0826207281091998,"SUAR","BAR"
"22","TOR_BAR",0.0818887764085446,0.0642172302366241,"TOR","BAR"
"23","BAR_CDOU",-0.158697064651962,0.0707395042442015,"BAR","CDOU"
"24","CHAM_CDOU",-0.120022658979014,0.0631265327741469,"CHAM","CDOU"
"25","CMAR_CDOU",-0.065435476219775,0.247968322314532,"CMAR","CDOU"
"26","CORA_CDOU",-0.187173545201911,0.20036213714482,"CORA","CDOU"
"27","CUEV_CDOU",-0.130878987751846,0.111377538672223,"CUEV","CDOU"
"28","DAPH_CDOU",-0.178141397251524,0.222743115554867,"DAPH","CDOU"
"29","EGAS_CDOU",-0.197307288522353,0.270036166350409,"EGAS","CDOU"
"30","ELI_CDOU",-0.115480985051884,0.102166503038898,"ELI","CDOU"
"31","GARD_CDOU",-0.120487394443393,0.10296098147836,"GARD","CDOU"
"32","PCAL_CDOU",-0.182038563171507,0.225734527131852,"PCAL","CDOU"
"33","PESP_CDOU",-0.0141085494024416,0.0941851084110015,"PESP","CDOU"
"34","PIN_CDOU",-0.0626594347760446,0.18922449497552,"PIN","CDOU"
"35","PLAZ_CDOU",-0.168110209319654,0.213161836132333,"PLAZ","CDOU"
"36","PMAN_CDOU",-0.102270072959036,0.0814085623443112,"PMAN","CDOU"
"37","PMOR_CDOU",-0.171712399736768,0.0624889394459551,"PMOR","CDOU"
"38","PROJ_CDOU",-0.200584474350289,0.252502316158426,"PROJ","CDOU"
"39","PVIC_CDOU",0.0917737416821141,0.0800702672630301,"PVIC","CDOU"
"40","RED_CDOU",0.129258727458988,0.0990695064349844,"RED","CDOU"
"41","SOMB_CDOU",-0.18631490259605,0.245295508112318,"SOMB","CDOU"
"42","STAFE_CDOU",-0.0463520751748925,0.124747525125994,"STAFE","CDOU"
"43","SUAR_CDOU",-0.122891215421663,0.104430893846304,"SUAR","CDOU"
"44","TOR_CDOU",-0.10768105137686,0.124241273580562,"TOR","CDOU"
"45","BAR_CHAM",-0.162477478174046,0.0728782823993512,"BAR","CHAM"
"46","CDOU_CHAM",0.120464522196419,0.0628135838780839,"CDOU","CHAM"
"47","CMAR_CHAM",-0.0349646773563389,0.235869134713111,"CMAR","CHAM"
"48","CORA_CHAM",-0.163953280335805,0.208354044500369,"CORA","CHAM"
"49","CUEV_CHAM",-0.129645857870908,0.11645017660197,"CUEV","CHAM"
"50","DAPH_CHAM",-0.0332919063795749,0.140041231287455,"DAPH","CHAM"
"51","EGAS_CHAM",-0.159142389406056,0.272269403757355,"EGAS","CHAM"
"52","ELI_CHAM",-0.15053356470616,0.0368497555640286,"ELI","CHAM"
"53","GARD_CHAM",-0.119248823828001,0.105394798416109,"GARD","CHAM"
"54","PCAL_CHAM",-0.151022860775603,0.231452223221387,"PCAL","CHAM"
"55","PESP_CHAM",0.0422378795029152,0.106078871687392,"PESP","CHAM"
"56","PIN_CHAM",-0.0425103585012994,0.187050831371279,"PIN","CHAM"
"57","PLAZ_CHAM",-0.0296891948520862,0.128535622261477,"PLAZ","CHAM"
"58","PMAN_CHAM",-0.0834093216791815,0.091382700176519,"PMAN","CHAM"
"59","PMOR_CHAM",-0.19245622408853,0.0599475943508894,"PMOR","CHAM"
"60","PROJ_CHAM",-0.168331171518761,0.257779326097416,"PROJ","CHAM"
"61","PVIC_CHAM",0.0984288968300089,0.0749154586749883,"PVIC","CHAM"
"62","RED_CHAM",0.124045462388532,0.092068425851137,"RED","CHAM"
"63","SOMB_CHAM",-0.156153844585895,0.24995575500217,"SOMB","CHAM"
"64","STAFE_CHAM",-0.0374951880154114,0.126047466434652,"STAFE","CHAM"
"65","SUAR_CHAM",-0.121515063201158,0.107015570048643,"SUAR","CHAM"
"66","TOR_CHAM",-0.101419985908912,0.131371185600194,"TOR","CHAM"
