"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.152495278241203,-0.154506320941677,-0.148511027162232,-0.27636044219322,-0.0417037544740838,-0.237699873141493,-0.146435462803852,-0.0573657861114752,0.00579920997729526,-0.319320223363493,-0.0690175902410012,-0.282618871342434,-0.184883960177528,-0.0779304503891083,-0.0878988499604087,-0.23859874454714,-0.137659346620053,-0.183924056560673,-0.260122683926955,-0.16368723332308,-0.000520923735340466,-0.203706932771321
"CDOU",0.151310287566857,NA,0.105722017452472,-0.034549911263955,0.122019152417757,0.0568995538362737,0.16191492564673,0.0887252610924841,0.075551393726049,0.0575194150053197,0.120072159657994,0.022076783507256,-0.104654007099719,0.149399991221617,0.0818026303743747,0.137644091666521,0.0987688666697997,-0.080986151840813,-0.238960465213665,0.0906928755059792,-0.0158136745638683,0.0556430370332317,0.0757709459253157
"CHAM",0.151318383216447,-0.0968177665416632,NA,-0.0461287657678015,0.102996452960465,0.0477807889630859,-0.0602499823982546,0.0642691237656419,0.115712556280294,0.0503888914011306,0.0970981325797243,-0.0294283562999272,-0.104130057150406,-0.0438482985977282,0.0653450502338048,0.154185545141824,0.0770236620069569,-0.0880945736314862,-0.211310975717225,0.0714419642447934,-0.0309967527634505,0.0477932097625214,0.0647641298559947
"CMAR",0.147630124635577,0.0328397865027506,0.0439907353501677,NA,0.130931607028448,0.217155282130426,0.177322880588097,0.22797579863113,0.0766775293484588,0.242183239363321,0.133409875655673,0.0588158595729312,-0.182614493681233,0.152441663538178,0.0590986097657167,0.059664903539669,0.209588122091963,-0.00191842780667785,-0.302833865316316,0.17313284877445,0.107334546128207,0.244912889291246,0.149441980407022
"CORA",0.27560294373843,-0.121461205008271,-0.103666576083745,-0.12979844561377,NA,0.419109768270285,0.334278464272806,0.0697697011424824,-0.0687210260551986,0.455431301179104,-0.121637044142805,-0.110083823699714,-0.316852089740621,0.396722951920626,-0.0938139413516203,-0.0774503393522085,0.193556389071474,-0.153110684513869,-0.283685423772233,0.217757650133888,0.443029144885942,0.473697225916776,0.303181020783284
"CUEV",0.040384940280107,-0.0579708591431736,-0.0476891160646517,-0.217883672914191,-0.417616797669591,NA,-0.316091629927629,-0.289772303050203,-0.000283665667903676,0.0554681979818745,-0.385232805502347,-0.0112891827455353,-0.395261173511887,-0.341294082290165,-0.00828483034254837,-0.00345187349065992,-0.337852221778918,-0.162106127970323,-0.244617551927057,-0.35938669762142,-0.337787425603118,0.0467876784304433,-0.155008775073142
"DAPH",0.235421058664788,-0.162137878068214,0.05934446562534,-0.176460193838378,-0.334295745704171,0.315528861361364,NA,-0.0520061062012948,0.0957394340527209,0.279479884431046,-0.444013983057157,-0.150145700341909,-0.483113586416931,0.0459383532462798,0.0927326894513533,0.110205676526839,0.0245981096114314,-0.204471458937449,-0.318563269785689,-0.0565318979261441,0.0762131763227438,0.286438564284516,0.277285578094433
"EGAS",0.146180821949626,-0.0889317704988787,-0.0649634956892152,-0.226174342640235,-0.0683384347398923,0.289022902492514,0.0515671320888848,NA,-0.022112260765943,0.24280732982698,-0.240740605413229,-0.0720096374174294,-0.444207257515724,0.0704613551360625,-0.0520045719161855,0.056953444365889,0.129853968714314,-0.135596115613993,-0.311868638186345,0.0792098396307834,0.0782107954101436,0.245674385103058,0.149393515180557
"ELI",0.056333323266035,-0.0740069921472929,-0.114179644446526,-0.0764839774213198,0.0692220665232417,0.000228758560597554,-0.0965793286592955,0.022740314857231,NA,0.0175149905309137,0.0535174684151343,-0.0968311097609723,-0.11667139154901,-0.0788025575938924,-0.128857579252774,-0.013484624258865,-0.0857473522791765,-0.129251988311813,-0.188604339546091,-0.103494939139304,-0.066983694595389,0.0139631126999786,-0.00613933643171965
"GARD",-0.00670173216874167,-0.0574504865030287,-0.0508318394857788,-0.24226678222336,-0.454178124660172,-0.0551470537739125,-0.280251854909074,-0.243272465184073,-0.0179140154140859,NA,-0.432073271396187,-0.0244855119164488,-0.40247473233208,-0.335984798277604,-0.0237015695177621,-0.0216833438921055,-0.272955363332778,-0.19544200832382,-0.260656313687877,-0.249637917599597,-0.418474874463158,-0.0334314421335211,-0.0990076489430383
"PCAL",0.319665089028703,-0.121085683286614,-0.0971373855894866,-0.135241209672957,0.120573742060842,0.386082476042104,0.448892614677968,0.242662343072921,-0.0530358176574558,0.434288333147809,NA,-0.106319487772363,-0.400276298226536,0.441622334026772,-0.0845139820454355,-0.06394632627676,0.330426442792014,-0.165045937591203,-0.356652002343343,0.407238116383967,0.371795049904526,0.434155655806652,0.353834465847336
"PESP",0.0677653298049417,-0.0262966326223877,0.0306224585447417,-0.0607195194618466,0.110430858463492,0.011132279496269,0.149394581103342,0.0716550788179358,0.099537611936806,0.0243628101382555,0.10640532078348,NA,-0.11921911339381,0.138130159847932,0.0400625432309624,0.05298070045209,0.0850685204681581,-0.187222711850495,-0.258971421314723,0.0769013267395131,-0.0536888078689476,0.0213080423128752,0.0111151872708953
"PIN",0.282363594670075,0.104840389940932,0.104234985671958,0.183811259473321,0.311290762956771,0.3944892563742,0.482375181805937,0.44543131335129,0.117670339829309,0.402393148589094,0.394392519673269,0.119757509064394,NA,0.454563220837178,0.112869206966257,0.105363013464277,0.379140999879339,0.10108469884165,-0.0687704609929842,0.438589874633305,0.396466529367119,0.410349122593798,0.302682760524687
"PLAZ",0.182547991101444,-0.148546960767617,0.0420045668471333,-0.150347730229617,-0.390678671841012,0.340816768524269,-0.03912212914287,-0.0704146724207996,0.0774048637728745,0.334107656573334,-0.436022306928088,-0.137812221876874,-0.453735819293937,NA,0.0738057740884125,0.0873571906884523,-0.0267346503214308,-0.184505820753396,-0.282033677518404,-0.0596320377542794,0.10511735646003,0.348783466120853,0.177210373309148
