"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,0.175961863382596,0.182688929641348,0.00430237528729857,-0.00327897808398531,-0.0128564452031728,0.0115207686738976,0.00684432162903852,0.0282436983210171,0.042762718378847,0.0318385915379343,0.0424720740407289,0.0338356656724109,0.0182900993150101,0.0428716880468462,0.0355941487085994,0.00646707540982905,0.16494389980999,0.217047668882789,0.00470363202647073,0.0199733328228583,0.042282043957513,0.00189020902620779
"CDOU",-0.176419553401916,NA,-0.131626075685902,0.0780694761011888,0.00259318625727446,-0.124028063183715,0.0262861126508745,0.063245294369817,-0.0679251381899771,-0.0589185163427267,0.0515620031795459,-0.0164991270073367,0.168941472323525,0.0205731801558138,-0.0974131743820999,-0.188535488419592,0.0595551456296404,0.115652965628893,0.286017203020016,0.0562094375457957,-0.0752718096375724,-0.0627570342250926,-0.140961129365967
"CHAM",-0.183881944328153,0.117364266674039,NA,0.0869681813538159,0.0135587153294017,-0.121807282791156,-0.078836132219354,0.0714890631815292,-0.0581278180617053,-0.0521382481445864,0.0593562894435134,0.0421618154779702,0.164186751615156,-0.0687239449412773,-0.0755027475638114,-0.217954623108444,0.06718556901287,0.120273651236754,0.252195193230757,0.0632955204339496,-0.0684756375681258,-0.055826615859751,-0.140708506752917
"CMAR",-0.00461190867219454,-0.0780250278472259,-0.0866096299430181,NA,-0.0509622794379688,0.00964329194613415,-0.0163499749217952,0.0373191206911579,-0.0804660288413333,0.0432978340438289,0.00570883558564575,-0.0718160029664321,0.0960925226003393,-0.0176807269603733,-0.0703873522691986,-0.0648863980360702,0.0373169473830752,-0.0478248956863783,0.0518341742951206,0.0353635983699137,0.0179771123639343,0.0432287168357869,-0.00180259985618793
"CORA",0.00371273505096619,-0.0027045215151959,-0.0125141909973034,0.0509295678408052,NA,-0.0188764000167781,0.0144810687293688,0.0777644870114979,-0.0183999850065374,-0.0265422749184502,0.132626631042514,-0.000656503676489783,0.0911845783289402,-0.00790834976259802,-0.00654688150659581,-0.0101963141368611,0.05131220742115,0.0174341236066172,0.0403174375325162,0.0639470029918322,-0.027235856230637,-0.0176669753646485,0.00338744411789611
"CUEV",0.0126518261390422,0.123653047136306,0.120288098779532,-0.0095833027162877,0.0195124507040041,NA,-0.0115916664839093,-0.0142147907829711,0.0394370288412515,0.102897553486873,0.0251477113811694,0.0467670331256454,0.0528804475223468,0.01666167547229,0.0476002251224078,0.0449199934315742,-0.0134738198653786,-0.0194669773579249,0.00661552883066135,-0.0243932280183322,-0.000608217390031495,0.109406153368755,-0.0206551212410098
"DAPH",-0.0115111222524166,-0.0264507728378137,0.0782424910443363,0.0163798402994054,-0.0139123518122223,0.0120116716586602,NA,-0.0233779325017178,0.00748141485560225,-0.0142215335672737,0.0914657530873019,-0.0233084241004097,0.129698999700779,-0.0242890625661565,0.0134807742933846,0.00691419772610528,-0.0189101654425369,-0.00685338732854871,0.0286677364175729,-0.00301651804399606,-0.051758331451762,-0.0159697218148072,-0.0163997909710468
"EGAS",-0.00692902900905397,-0.0636025915942102,-0.0717758325582587,-0.0383529701961533,-0.0767888467668249,0.0142148509025883,0.0244680141617532,NA,-0.0692245358839431,0.0440050980026014,-0.00622739533510178,-0.0592897289989475,0.0669901123345379,0.0205476381721715,-0.0603362296976755,0.0095515082533517,0.0272835297716315,-0.0424732633062242,0.0115933779293176,0.0235785327283697,-0.00374724944936172,0.0439740023699605,-0.0035204178803774
"ELI",-0.0299751047634632,0.0657237279036075,0.0555827081647009,0.0805670159497864,0.0186003531943717,-0.0409713884246971,-0.00809046361175353,0.0692079988845734,NA,0.00208934479057771,0.0597460304217185,0.0905734804396289,0.14640700603179,-0.00360498041591388,-0.0177036040860656,-0.0107997952347324,-0.0123725820816647,0.103680192049698,0.170873301411404,-0.0122310690067027,-0.0028015293344232,0.000367484681072075,-0.0231709852100272
"GARD",-0.04269566395413,0.057774741973854,0.0509913768146478,-0.0435530106820714,0.0261279658210587,-0.102740863503563,0.0143384612583695,-0.0440835909370435,-0.00312582352017846,NA,0.100244291557359,0.00420980150657761,0.0850074197939701,0.0114497047419509,0.00112709683286514,-0.00499049964875022,-0.0489277791740318,-0.0435032185401907,-0.0241731608152274,0.0106988769464971,-0.0121496811357687,-0.0225606005548293,-0.0682629842200686
