"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.069812926954546,-0.0657202694704355,-0.176698242417852,-0.201701937185359,0.0570293112910007,-0.178877187011143,-0.178293266169748,-0.026293757778127,0.117081383626707,-0.230780174117236,-0.0533507126419666,-0.212830594465557,-0.0939250944283674,-0.0561251794718333,-0.0415788382624108,-0.203316407120254,-0.0475086974975932,-0.03232753934098,-0.191630112169773,-0.0464309075686327,0.119942320918525,-0.100867918766685
"CDOU",0.0685225664606366,NA,0.0791127933020575,0.138609603544445,0.100021538762889,0.061215771019506,0.181055522804706,0.207270423889887,0.104619778427025,0.097104801804919,0.128778672354277,0.0934876359205661,0.0667300738303989,0.167023384636553,0.055220460351464,0.122618363372934,0.210551446572024,0.0388893143118958,0.0499387117752855,0.190339320087458,0.00733655865285093,0.0984142139757553,0.0321375731690595
"CHAM",0.0634495727189507,-0.066322284668182,NA,0.100479010084359,0.0859415109973847,0.0589962370789351,-0.0686574792147652,0.171389205584469,0.112976173315672,0.0969349587687899,0.107302031521756,0.0226537086547583,0.0493805656328172,-0.0279870749893025,0.0461983065331663,0.145825965281319,0.179026865841317,-0.0029086607081499,0.0142540966862957,0.163885581235992,-0.00100661625890475,0.0979058372816709,0.0232437485381335
"CMAR",0.17486307442838,-0.13801847610724,-0.101392672591455,NA,0.0446154632871133,0.299289873584807,0.165193595586284,0.27890095060663,-0.00202837861986732,0.292753221664493,0.0604429402565416,-0.0728788795829887,-0.121023014674389,0.143920292553858,-0.0414497075910203,-0.0184363420458701,0.27059494644653,-0.194015459275813,-0.223316542948927,0.219644783275421,0.187859261895515,0.301888154365919,0.189652178222225
"CORA",0.200676468719755,-0.0990225952505932,-0.085135866171888,-0.0437165404364679,NA,0.272555808940778,0.229844479051677,0.0693672353028222,-0.0347760683081378,0.318027204256262,-0.014993877355396,-0.0719870022578704,-0.133296801378688,0.226841055737273,-0.0571262990245178,-0.043177239513126,0.14997750967231,-0.112269551320996,-0.149044446129957,0.17364532254779,0.25865975322606,0.32589208703044,0.225349263498736
"CUEV",-0.0577990947367936,-0.0637799251138913,-0.0592521930778209,-0.300083252242994,-0.271935255514248,NA,-0.345203563054267,-0.37077304615853,-0.037963005803069,0.180187541557087,-0.349199428146562,-0.0530770785460971,-0.328149802955317,-0.287074318839219,-0.0541434216139526,-0.0476637955239505,-0.406052247718609,-0.273893441713584,-0.285144475708856,-0.380328177185085,-0.268639516279391,0.193676251850273,-0.18944796939123
"DAPH",0.176759148360761,-0.180398803853284,0.0679831473460514,-0.164693613608709,-0.230672255862977,0.345634625444402,NA,-0.0671026186940451,0.0799753205914562,0.267002549862721,-0.321644822351832,-0.150243635333685,-0.324998326368693,0.0525900609435292,0.0706150112663485,0.092460303608823,0.00947165070945276,-0.208008273425187,-0.220364888894291,-0.04311837659673,0.0951871314470516,0.263144488063087,0.219179659968245
"EGAS",0.17783746582441,-0.206886731381314,-0.172071910884329,-0.280048229863563,-0.0675427769844017,0.370112811809702,0.0683310169484297,NA,-0.0850684693454511,0.28605780174411,-0.123425080583072,-0.164586140463359,-0.251656913032878,0.0799642132652399,-0.127977486868042,0.0935378056374965,0.178368856837325,-0.254031129921808,-0.276457913887595,0.102118422564957,0.0923865181686472,0.296449254233691,0.200153823430419
"ELI",0.0234989361179676,-0.101175138808186,-0.112600747195125,0.00302397685471578,0.0358700656337093,0.0365582109478441,-0.0816270797584784,0.0862019894311989,NA,0.0803726984127156,0.03999406278388,-0.107022718959427,-0.0134482540873823,-0.0423541987558467,-0.127168002326957,-0.00860125348149208,-0.0856866810782026,-0.143537077880854,-0.0331625713890324,-0.0853015982995458,-0.0167620298143422,0.0807282316687355,-0.00660154317920202
"GARD",-0.117551447671868,-0.0969489791718793,-0.0975595187525992,-0.292913050027927,-0.317857477893931,-0.179539653879053,-0.268178427021535,-0.286166114386937,-0.0816355537042408,NA,-0.332842990118916,-0.0899548099174035,-0.308131221897213,-0.31917092497801,-0.0939382357461156,-0.0931534167922706,-0.300511165732194,-0.275727259522807,-0.28517008082226,-0.237235859699515,-0.38388174234673,-0.053884673834575,-0.186134310517178
"PCAL",0.230785223429176,-0.127480539950612,-0.106508293543054,-0.0608218088867642,0.015679489259853,0.349468920974676,0.32324355320083,0.125715551819217,-0.0387989251005683,0.333942380319811,NA,-0.0922790414625745,-0.228935201751371,0.309328059527683,-0.0689716984280188,-0.0496588349661461,0.230188457205956,-0.152610447689336,-0.213987624415605,0.288895603680291,0.275392698358982,0.33655677167074,0.255025136914975
"PESP",0.0509210160817175,-0.086506093820688,-0.0197168070156407,0.0714088998188496,0.0727776683226679,0.0517945726350364,0.149572761880783,0.164597068855284,0.110266412153394,0.0890158525358237,0.0928177230192656,NA,0.0261884479862178,0.139013267479536,0.0525801542594822,0.0650032308101914,0.174009448458183,-0.207023276792593,0.037293201185749,0.155966115908272,-0.000616591735629152,0.0896271609245086,0.01959525680952
"PIN",0.212003595102384,-0.063867962754919,-0.0480982237716428,0.121495473790121,0.131207296198574,0.327225934718195,0.323975671553425,0.252682497568812,0.0152997090419244,0.307559077047271,0.225369983139953,-0.0247079913064093,NA,0.302595642453829,-0.00835920256343594,0.00360234399672273,0.23663719914519,-0.0787091266534085,-0.117758575247583,0.2907997039042,0.274504525425172,0.307788960841377,0.22702307880699
"PLAZ",0.0918963990194844,-0.165655635969913,0.0265002422424407,-0.142451562449785,-0.223320473058569,0.285179948563081,-0.0472976737421893,-0.079294747779272,0.0402132838874395,0.3169904706392,-0.305786797424377,-0.13880538765396,-0.302352389507861,NA,0.0299059027733158,0.0451108175200928,-0.0375715905235735,-0.18857355029543,-0.198013303207489,-0.0565314870724775,0.135108472225769,0.317712916222514,0.0904245321271857
"PMAN",0.0521472381642069,-0.0601017776738831,-0.0498004583976533,0.0411557102649166,0.0582832068396141,0.0525687063428157,-0.0730723565487372,0.127427632625068,0.128188735900731,0.0924378086516266,0.0700754701282642,-0.0489022695385565,0.0106575869463785,-0.0326167253507444,NA,0.0776928838979937,0.140921604872203,-0.136891488838153,0.00579858990922756,0.128174121660715,-0.00569526929416448,0.09358443959604,0.0138876370695709
"PMOR",0.0380580576976088,-0.121792595952645,-0.143460667992691,0.0191030612267765,0.0447446479141142,0.0454846693115922,-0.0946227633719776,-0.0959114649599684,0.0085676408561741,0.09180557023984,0.0512483375142517,-0.0602201662115397,-0.00157775316982559,-0.0476757398046567,-0.0756837750838202,NA,-0.100442436380002,-0.113349481245773,-0.013158259862552,-0.0994760029166933,-0.0180181220710023,0.0927655230790632,-0.00444183716684832
"PROJ",0.202370587761537,-0.209790536217665,-0.179225485670836,-0.270667859835584,-0.147636542427148,0.40630137434727,-0.00680213161868316,-0.17187797952154,0.0837626506233454,0.300224141774423,-0.230367689476374,-0.173896716201854,-0.235328878356732,0.0379722281431142,-0.140427421177938,0.0980956747699647,NA,-0.249397622797919,-0.268027460811874,-0.0133951921500935,0.123255170177021,0.313683900156069,0.239512177377242
"PVIC",0.0475501732361064,-0.0385230674458884,0.00609557219838796,0.193267027022596,0.113923787995767,0.273513593337309,0.208706836482755,0.254825036350171,0.144406056022383,0.276094426543471,0.15369055991985,0.200868948450082,0.0817745133276608,0.188429436387894,0.137924878135095,0.114513683404659,0.250082221949886,NA,0.217308413991104,0.223038039779213,0.181308673077072,0.282555439523527,0.0206766587264183
"RED",0.0315199547329359,-0.0494191218839528,-0.0139363181833298,0.225923670526882,0.150762110583732,0.285134736335514,0.2207840086754,0.278135323477034,0.0337488569482126,0.285391066009722,0.214826603882326,-0.0399507423589548,0.121766625405916,0.197899047777573,-0.00534262602040815,0.0143355343164213,0.268225913763711,-0.218352254928222,NA,0.237948885886608,0.189000796652557,0.292506861316034,0.206914989989836
"SOMB",0.190738525408233,-0.189234255004392,-0.163386868145915,-0.218799394189266,-0.172461615751179,0.380001931229391,0.0417609339774469,-0.0985631787247363,0.0841556954848813,0.236119369736582,-0.287785827003637,-0.155893143959303,-0.292527123350001,0.0577618220415043,-0.127313916573918,0.0971635110920264,0.0152648271959779,-0.221805049571142,-0.237378701964499,NA,0.086738066883565,0.235312297458703,0.219467991282816
"STAFE",0.0448130621695963,-0.00901745141037588,-0.000251154598763667,-0.187259207897193,-0.256723295782689,0.267248310057623,-0.0942564339862388,-0.093227074116487,0.014816438518625,0.382004882228781,-0.27390930960754,-0.0010359788858122,-0.274398378726317,-0.138429377701994,0.00348661443759803,0.0157521123316593,-0.123423988146049,-0.1816254068793,-0.189169573817568,-0.0860365086884411,NA,0.389659692180997,0.0209321922466646
"SUAR",-0.120750983780969,-0.0980151692593247,-0.0986636150388846,-0.301970413404805,-0.325940764226052,-0.193152731008068,-0.266810276821273,-0.297355368697111,-0.0821248064820995,0.0627464163996431,-0.336184566538556,-0.0906792013487508,-0.308374286057407,-0.32104917262405,-0.094926402724431,-0.0942388703941994,-0.314005760135777,-0.282552380796697,-0.291499213139705,-0.23678051025022,-0.391477498469275,NA,-0.193906863129846
"TOR",0.0976134264178072,-0.0336202029371059,-0.0229132191695719,-0.193084957004007,-0.226624695241613,0.190751081868116,-0.221699313941437,-0.20092463220059,0.0039486246556693,0.186186327637629,-0.253890475611609,-0.019863499131514,-0.228939016144538,-0.0930856318508415,-0.0155687260095979,0.00272428838280083,-0.246139404444409,-0.019693206027153,-0.207712167420609,-0.223704524979735,-0.0228156073196359,0.194326223405414,NA
