"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.113036060792944,-0.117538452467812,-0.0890858870051534,-0.18025837755674,0.029287149279383,-0.16841735950747,-0.0846867306214775,-0.0292142592561894,0.0306997623127191,-0.217258692718554,-0.022514514605609,-0.168565873003038,-0.0921744710412614,-0.0214943037334316,-0.0538238509393478,-0.155019900641599,-0.0787058787628633,-0.125413228446982,-0.178426903460768,-0.0683256409389526,0.0276800854666462,-0.0514021706597562
"CDOU",0.112461896263983,NA,0.0617983433261075,0.0208291796985822,0.0690925382082086,0.0754292660527574,0.11930634541083,0.0731137780217934,0.101674019750526,0.0635058598256341,0.0828453676240998,0.0827194867367333,-0.0538245499505236,0.10974075028235,0.0664444008368363,0.0941324625905815,0.080949106931879,0.0594944342936627,-0.140190741687349,0.0748471556781567,0.0181212983414282,0.0631322711609477,0.0787837180195913
"CHAM",0.116820680405566,-0.05140764284351,NA,0.00650358319578446,0.0584383291455743,0.07442934969299,-0.0372455261065994,0.0562977942875469,0.108017602993354,0.0610943950750524,0.0681167069511524,0.0232262909091755,-0.0546899565790277,-0.00303852045291167,0.0755428021109699,0.111477224639404,0.0654272009158642,0.0118632801305567,-0.127063058795661,0.0615340495296241,0.0111036649670528,0.0601346060961748,0.0772831940212188
"CMAR",0.0891958744362098,-0.0206933738875646,-0.00739818974820873,NA,0.051264700079327,0.144137034700344,0.10504484850645,0.124459398677088,0.0579414064381115,0.141807371091582,0.0648232522480853,0.0207908833642593,-0.122746877279372,0.0912043546296687,0.030383131524913,0.0225064024567057,0.126153560896234,-0.0156311961677414,-0.190729624596681,0.107523530288396,0.0579280036078812,0.143043433666242,0.100636187674607
"CORA",0.179936771296224,-0.0686342270280963,-0.0584577776218441,-0.0507680680933066,NA,0.227636531477798,0.18867346361578,0.0614702878984964,-0.0180459332454389,0.233271338241731,-0.0272426674250806,-0.0511422617124676,-0.16058271368713,0.190776896267234,-0.0400546715859501,-0.0365375158659498,0.13484714230728,-0.0731084804289235,-0.146643026010424,0.152020852518716,0.220908513449858,0.243578411936876,0.204028242657507
"CUEV",-0.0295835777211998,-0.0764680387608568,-0.0737711723639821,-0.144471270192535,-0.226740074023459,NA,-0.221487337877921,-0.2012225161112,-0.0277061614511687,0.0310400363663922,-0.267337883755007,-0.0240864977761193,-0.262278904966282,-0.20134090266383,-0.0235999492095871,-0.038910863435489,-0.236080716459186,-0.11127612425146,-0.159387122622674,-0.259770015908462,-0.195853103682006,0.023854449269295,-0.101976488324859
"DAPH",0.167408290896282,-0.119160581622772,0.037341344189527,-0.104509511596092,-0.189080050025039,0.220829856202321,NA,-0.0497657668283189,0.0728041873284075,0.146698891252432,-0.298113652638508,-0.0999613331768582,-0.305480216396453,0.0307161850167093,0.0807758822098758,0.0806829725199178,0.0147191832292231,-0.131489753151885,-0.19745102072338,-0.0360066416514127,0.0319787711185979,0.147909723271494,0.212425784352519
"EGAS",0.0853945823503092,-0.0726339937226306,-0.0563859878194959,-0.123431586963594,-0.0604375690055538,0.200769826031631,0.04872721855932,NA,0.000896470922710391,0.145959076239496,-0.150453675991006,-0.0458825022160751,-0.268746084682284,0.0600191909629945,-0.0286713801264689,0.0316104139066577,0.111178509211512,-0.0810570075350986,-0.182381849061003,0.071576372738295,0.0531595112313459,0.147285719102211,0.100958028286013
"ELI",0.0302417088289567,-0.0994582952785976,-0.106383768853104,-0.0576447187224126,0.0185358207210027,0.0286477969596704,-0.0722277929486237,-0.000344198765006563,NA,0.0298663803452626,0.0149702083359273,-0.108080777490901,-0.0911428171471424,-0.0373366104248611,-0.120849711866659,-0.028010556574697,-0.0582728074546669,-0.11215675568381,-0.143576223996086,-0.0742659642499719,-0.0242167692621138,0.0279411372930847,0.0111034616929454
"GARD",-0.0308454389316868,-0.0630859023437559,-0.0609178955376996,-0.141798979903369,-0.232760723059053,-0.0305237671406766,-0.146635447276183,-0.146164544030386,-0.0293477681262241,NA,-0.225014843062044,-0.0264251526496479,-0.229260248737463,-0.175671173010637,-0.0263583303224733,-0.0366280961171032,-0.164631120695733,-0.117922122156728,-0.155346256381228,-0.132124106583821,-0.22593547916149,-0.0194672736460675,-0.0619399984408696
