"","BAR","CDOU","CHAM","CMAR","CORA","CUEV","DAPH","EGAS","ELI","GARD","PCAL","PESP","PIN","PLAZ","PMAN","PMOR","PROJ","PVIC","RED","SOMB","STAFE","SUAR","TOR"
"BAR",NA,-0.130940303450758,-0.1384537620678,-0.120709783872297,-0.102902560498473,0.109074162079883,-0.0934320676036578,-0.10362347395034,-0.0537815421395371,0.133138609754334,-0.151162600073336,-0.0597975278107777,-0.161615170477077,-0.0367820760749089,-0.064901930811234,-0.0876423787367611,-0.114981897965992,-0.0900848252598662,-0.110066222734964,-0.101505845086142,0.000125035664766542,0.13647476742052,-0.0482245579113967
"CDOU",0.129626753192692,NA,0.0798822407099267,0.0507930785836161,0.11212660086071,0.132211463605493,0.149393114327662,0.148207992727924,0.111612021322949,0.140806705596159,0.116282508055827,0.0944577696809282,-0.0243563257967137,0.138949705011032,0.0708066413961465,0.105538585253641,0.163292150437306,0.0698815755959059,-0.066591091838973,0.147872743759394,0.0621575592886915,0.143302579112547,0.0928807194830316
"CHAM",0.136574415391557,-0.0663821567106036,NA,0.0284730202881147,0.096612119843004,0.137332578666301,0.0120458938256526,0.119568114666643,0.113764721314087,0.143801336623402,0.0962803635847792,0.0231730580805217,-0.030639455742836,0.0373713015871158,0.071503689106985,0.119756932132655,0.137015476242068,0.0144603839730289,-0.0712196614304391,0.125641147567019,0.0587021343405438,0.146196531121403,0.0930009086187238
"CMAR",0.119010185325584,-0.0505881408790158,-0.0293952491052005,NA,0.128105550861647,0.215020135515703,0.164373333881854,0.272839790267986,0.0549489418498506,0.278801963248615,0.147077826786629,0.010526073301776,-0.0782637389161188,0.143238915068471,0.025154528548016,0.0237850881932561,0.266291934173873,-0.0513695192062716,-0.226563302884733,0.220154288416491,0.188243979415516,0.281600015596858,0.135544203075913
"CORA",0.101985023509593,-0.111453621257916,-0.096586092045309,-0.127586773994487,NA,0.176666934376087,0.113320384344457,-0.0101740915900986,-0.0441497338526073,0.248824019073152,-0.0959489844265109,-0.0856690821412065,-0.203450427869774,0.146159757803156,-0.0697453005754684,-0.0603517768566973,0.05140260135387,-0.119484293428488,-0.193782235650316,0.0647927378708064,0.178598602036659,0.24673914976934,0.119918098470197
"CUEV",-0.109794658525368,-0.134049803886353,-0.137000419723847,-0.215592630914819,-0.17626568163187,NA,-0.262325930614929,-0.297863049714331,-0.0906025167613079,0.157518672288933,-0.272244240380789,-0.0917635847980546,-0.276717029147747,-0.184783689466006,-0.0981905232790233,-0.113797851659533,-0.319943140371688,-0.173534963406909,-0.222909002348732,-0.298392302564979,-0.173425693027552,0.167311112259122,-0.147246704195848
"DAPH",0.091513677088951,-0.148835371142877,-0.013143423941072,-0.163729945075668,-0.11360519908987,0.262164239185465,NA,-0.106042217089164,0.0220438225098886,0.214067712519602,-0.260404733356312,-0.12054207272391,-0.292544518384287,0.0531628127001817,0.0201067960943615,0.0216732870033496,-0.0464361288721155,-0.163222559125504,-0.229779285699297,-0.0714921924999326,0.0719882216672129,0.207795253710369,0.124122197169711
"EGAS",0.103744955469667,-0.147914471678853,-0.120242334987374,-0.274162274839574,0.0113626682221561,0.297343601846306,0.106254216280942,NA,-0.041326575023553,0.277343598261306,-0.083262911436608,-0.108264928624084,-0.228134523473335,0.103008684635458,-0.0797565362708221,0.0294006922127301,0.207212775214125,-0.169302158510598,-0.276534304261168,0.122722384348846,0.0982627558775206,0.279853056152345,0.122383817621882
"ELI",0.0533418181144418,-0.108718498522812,-0.112418736995079,-0.0546171106559554,0.0446944328275152,0.0908367010287171,-0.0229337121181502,0.0419763422944745,NA,0.111569789310458,0.029372400065372,-0.116372870742634,-0.0813987219891081,0.003646947113703,-0.12741928812067,-0.0251839403679951,-0.0273352342090906,-0.132147640841237,-0.146159607762791,-0.0248119802604654,0.0236370235530738,0.112773820932117,0.0297530788743315
"GARD",-0.133270288186757,-0.140389692950938,-0.143882885618982,-0.278646850055202,-0.248530743660182,-0.15626249664489,-0.214283267678618,-0.276932049905664,-0.111524232756005,NA,-0.273200781594068,-0.110936524817726,-0.261393088760385,-0.252392290802201,-0.117128693810765,-0.12901125114088,-0.287213887601531,-0.233460946352895,-0.273897878183035,-0.194068192027706,-0.310575354735004,-0.0434707123915394,-0.154585354586018
"PCAL",0.151420776234264,-0.115623458436902,-0.0955992399255409,-0.148209660595039,0.0949333625793699,0.272861205160172,0.26332105304558,0.0855646860421008,-0.0287378003115856,0.274603298657423,NA,-0.0820292912847213,-0.252856994388016,0.256490852911128,-0.0603788328569634,-0.0492033757413302,0.171763663364123,-0.12775295145796,-0.236368584087081,0.226380104643844,0.222963637169552,0.271889640284135,0.172238631487971
"PESP",0.0592016764476044,-0.0906106368821011,-0.0204367581529543,-0.0127530571520526,0.0858566106935146,0.091975623030786,0.119553408260249,0.107425704901325,0.119946983565889,0.111291467225139,0.0819381139601546,NA,-0.0626924752264109,0.112365686487282,0.0504398653498651,0.0337642973286403,0.128647802375753,-0.155229393013355,-0.160979136780597,0.115179031904614,0.0286857000887431,0.112422360082058,0.0379376184816761
"PIN",0.161066404581397,0.0261361016193366,0.0313819627102377,0.0788349004050826,0.200622451833136,0.275894866993853,0.292262140371403,0.229311325051158,0.0823707118054381,0.261261782731335,0.249253711299636,0.0627169525063542,NA,0.269904178247488,0.0669758263395049,0.0598353397686,0.223756571773783,0.0417092192825356,-0.0411894085156057,0.265725288451357,0.239855953301473,0.26019149027158,0.17793094768404
"PLAZ",0.034975830054121,-0.137676184871406,-0.0387073166309828,-0.14165213009822,-0.143782751910098,0.182995632916327,-0.0484014745501788,-0.101840337951562,-0.00463615334236197,0.251492559901961,-0.252996212804571,-0.112482963114574,-0.269756098746613,NA,-0.00748184364421808,-0.00941145352450171,-0.0653326985737453,-0.149530090317441,-0.206162629304949,-0.0652934775543863,0.090077368219037,0.247895308295969,0.034081487904941
"PMAN",0.0633954813837665,-0.0729017532978643,-0.0733468939430799,-0.0254812704518721,0.0702506052148403,0.0983099159817506,-0.0215430020297318,0.0791593456542994,0.129725490379002,0.116943134498079,0.0607699243786983,-0.045798701072313,-0.0655889876326967,0.00594734933616411,NA,0.0240298707092926,0.101853641459956,-0.107814530122966,-0.139465573425049,0.092401553351963,0.0270026248927131,0.118743880096855,0.0363529550255316
"PMOR",0.0874682903457799,-0.103655986125251,-0.11600617948495,-0.0237095753453922,0.060756158928342,0.113660683620071,-0.0228012415925703,-0.0303241896889729,0.0248978923737243,0.129200438625149,0.0505440971638941,-0.0291049891489573,-0.0586469167767367,0.00817853932333725,-0.0221782996173913,NA,-0.0278545296714907,-0.0754478126675373,-0.10863500810804,-0.0249325605250804,0.031406241709755,0.131306837179669,0.0475639759846314
"PROJ",0.114470831252444,-0.163488435107447,-0.137442543112103,-0.267264999644378,-0.049166064004547,0.320721084039209,0.0494963779135237,-0.1996672872975,0.0269619233693295,0.287902488132853,-0.170346549232541,-0.129597168837501,-0.222033589795318,0.0670152417012186,-0.101673387831563,0.0274113023314917,NA,-0.183652062072354,-0.271587118776794,0.0340136050370925,0.137007306044126,0.292222046077182,0.142150772431384
