"","journeyID","OceanographicResistance","OceanographicResistanceSD","start","end"
"1","CDOU_BAR",0.109276241780543,0.0774531919810528,"CDOU","BAR"
"2","CHAM_BAR",0.111782065662436,0.0868889724758931,"CHAM","BAR"
"3","CMAR_BAR",0.122345017146006,0.0961040693025052,"CMAR","BAR"
"4","CORA_BAR",0.269982594795178,0.0990094490357555,"CORA","BAR"
"5","CUEV_BAR",0.0368759202593037,0.173918561556869,"CUEV","BAR"
"6","DAPH_BAR",0.20401675113831,0.0769063663634228,"DAPH","BAR"
"7","EGAS_BAR",0.133873437134491,0.104429524616628,"EGAS","BAR"
"8","ELI_BAR",0.0470452090899858,0.104776756127997,"ELI","BAR"
"9","GARD_BAR",0.00761540215551598,0.150808366522784,"GARD","BAR"
"10","PCAL_BAR",0.295549440182403,0.140256949833406,"PCAL","BAR"
"11","PESP_BAR",0.0469679947843639,0.0984484806624312,"PESP","BAR"
"12","PIN_BAR",0.250057760334938,0.195770591570121,"PIN","BAR"
"13","PLAZ_BAR",0.172870448819375,0.0852871884938322,"PLAZ","BAR"
"14","PMAN_BAR",0.0524829469651154,0.107286705536984,"PMAN","BAR"
"15","PMOR_BAR",0.0720034863722754,0.114796751552202,"PMOR","BAR"
"16","PROJ_BAR",0.207422589953362,0.0718715588752058,"PROJ","BAR"
"17","PVIC_BAR",0.0893204338553701,0.0795273655040436,"PVIC","BAR"
"18","RED_BAR",0.11503347547451,0.0862281242302696,"RED","BAR"
"19","SOMB_BAR",0.218954447518074,0.070651421713057,"SOMB","BAR"
"20","STAFE_BAR",0.164914898184531,0.0911577318453939,"STAFE","BAR"
"21","SUAR_BAR",0.0142988208676604,0.159114048484403,"SUAR","BAR"
"22","TOR_BAR",0.184192388480355,0.113415883158633,"TOR","BAR"
"23","BAR_CDOU",-0.110297440305077,0.0785102547229913,"BAR","CDOU"
"24","CHAM_CDOU",-0.0488080168824192,0.0210394796422953,"CHAM","CDOU"
"25","CMAR_CDOU",-0.00451958624968428,0.179698995073674,"CMAR","CDOU"
"26","CORA_CDOU",-0.123934298886544,0.170028583556662,"CORA","CDOU"
"27","CUEV_CDOU",-0.0377142174832105,0.165379082827484,"CUEV","CDOU"
"28","DAPH_CDOU",-0.161573321786501,0.203079513221955,"DAPH","CDOU"
"29","EGAS_CDOU",-0.0792929762193662,0.184372243526381,"EGAS","CDOU"
"30","ELI_CDOU",-0.0610983305480331,0.0550515841393263,"ELI","CDOU"
"31","GARD_CDOU",-0.033454176100708,0.152311198489321,"GARD","CDOU"
"32","PCAL_CDOU",-0.120513258843808,0.19234227940668,"PCAL","CDOU"
"33","PESP_CDOU",-0.0294407689002208,0.0320329515581975,"PESP","CDOU"
"34","PIN_CDOU",0.0525405436733062,0.170441143804516,"PIN","CDOU"
"35","PLAZ_CDOU",-0.146550238394919,0.195949393749178,"PLAZ","CDOU"
"36","PMAN_CDOU",-0.05168659994395,0.0209750686516127,"PMAN","CDOU"
"37","PMOR_CDOU",-0.0674078832972353,0.0303520149482738,"PMOR","CDOU"
"38","PROJ_CDOU",-0.090659747624803,0.171980272824267,"PROJ","CDOU"
"39","PVIC_CDOU",0.0121181753118882,0.00998836604463052,"PVIC","CDOU"
"40","RED_CDOU",0.129086444479924,0.105397888803388,"RED","CDOU"
"41","SOMB_CDOU",-0.0801882384272921,0.168014827746549,"SOMB","CDOU"
"42","STAFE_CDOU",0.0353270068832163,0.163803152361363,"STAFE","CDOU"
"43","SUAR_CDOU",-0.030911936331493,0.158002626370756,"SUAR","CDOU"
"44","TOR_CDOU",-0.0455569168284893,0.15646350227005,"TOR","CDOU"
"45","BAR_CHAM",-0.114513143768347,0.0839962254714073,"BAR","CHAM"
"46","CDOU_CHAM",0.0536929568871224,0.0168776026845506,"CDOU","CHAM"
"47","CMAR_CHAM",0.00493109895403712,0.163844727548828,"CMAR","CHAM"
"48","CORA_CHAM",-0.109819882726945,0.169808241060794,"CORA","CHAM"
"49","CUEV_CHAM",-0.031393049233585,0.172892725516304,"CUEV","CHAM"
"50","DAPH_CHAM",0.060168815293406,0.180717938042162,"DAPH","CHAM"
"51","EGAS_CHAM",-0.0627625941207527,0.177623390376779,"EGAS","CHAM"
"52","ELI_CHAM",-0.0684130932706935,0.0190078299146614,"ELI","CHAM"
"53","GARD_CHAM",-0.0291636691575638,0.156881374205421,"GARD","CHAM"
"54","PCAL_CHAM",-0.10185766807943,0.189183185936926,"PCAL","CHAM"
