"","Start","End","dist"
"1","BAR","BAR",0
"2","CDOU","BAR",119.519115505792
"3","CHAM","BAR",99.0004588612044
"4","CMAR","BAR",155.639949315138
"5","CORA","BAR",206.96895837233
"6","CUEV","BAR",92.9435246849485
"7","DAPH","BAR",114.585199771728
"8","EGAS","BAR",115.280690669492
"9","ELI","BAR",109.752518339118
"10","GARD","BAR",177.479235805147
"11","PCAL","BAR",180.214911640277
"12","PESP","BAR",124.144715000812
"13","PIN","BAR",212.502374501743
"14","PLAZ","BAR",132.138322674371
"15","PMAN","BAR",100.416944431442
"16","PMOR","BAR",76.9089192097995
"17","PROJ","BAR",97.7863405666555
"18","PVIC","BAR",151.04400180598
"19","RED","BAR",182.944075964339
"20","SOMB","BAR",107.713551736108
"21","STAFE","BAR",129.63408129861
"22","SUAR","BAR",168.918199766937
"23","TOR","BAR",31.8285593400473
"24","BAR","CDOU",119.519115505792
"25","CDOU","CDOU",0
"26","CHAM","CDOU",20.6844302421347
"27","CMAR","CDOU",93.0491546792287
"28","CORA","CDOU",225.85420278926
"29","CUEV","CDOU",210.89310495204
"30","DAPH","CDOU",198.921911838966
"31","EGAS","CDOU",141.01228281463
"32","ELI","CDOU",79.1045831869463
"33","GARD","CDOU",295.428423313973
"34","PCAL","CDOU",166.763104666684
"35","PESP","CDOU",25.9859845126746
"36","PIN","CDOU",148.37432572407
"37","PLAZ","CDOU",227.743817916132
"38","PMAN","CDOU",49.6319712992143
"39","PMOR","CDOU",62.3844566500172
"40","PROJ","CDOU",165.1414415474
"41","PVIC","CDOU",31.6309736249719
"42","RED","CDOU",63.7796871473869
"43","SOMB","CDOU",180.857998901051
"44","STAFE","CDOU",248.448889595702
"45","SUAR","CDOU",286.867387275763
"46","TOR","CDOU",150.643412968861
"47","BAR","CHAM",99.0004588612042
"48","CDOU","CHAM",20.6844302421347
"49","CHAM","CHAM",0
"50","CMAR","CHAM",113.378852285873
"51","CORA","CHAM",246.183900395904
"52","CUEV","CHAM",190.374448307453
"53","DAPH","CHAM",212.881480370582
"54","EGAS","CHAM",161.341980421274
"55","ELI","CHAM",62.8514581292838
"56","GARD","CHAM",274.909766669385
"57","PCAL","CHAM",187.092802273328
"58","PESP","CHAM",46.6704147548093
"59","PIN","CHAM",168.704023330714
"60","PLAZ","CHAM",230.434474326876
"61","PMAN","CHAM",28.8891708279066
"62","PMOR","CHAM",41.7829072657748
"63","PROJ","CHAM",185.471139154044
"64","PVIC","CHAM",52.2093165423234
"65","RED","CHAM",84.1093907006822
"66","SOMB","CHAM",201.187696507695
"67","STAFE","CHAM",227.930232951114
"68","SUAR","CHAM",266.348730631175
"69","TOR","CHAM",130.124756324274
"70","BAR","CMAR",155.639949315138
"71","CDOU","CMAR",93.0491546792287
"72","CHAM","CMAR",113.378852285873
"73","CMAR","CMAR",0
"74","CORA","CMAR",146.684508709
"75","CUEV","CMAR",170.013630989239
"76","DAPH","CMAR",109.437897326764
"77","EGAS","CMAR",49.4008942057747
"78","ELI","CMAR",146.731692839595
"79","GARD","CMAR",234.70813778648
"80","PCAL","CMAR",87.7572640058101
"81","PESP","CMAR",94.5114840911551
"82","PIN","CMAR",83.1036499733527
"83","PLAZ","CMAR",138.259803403929
"84","PMAN","CMAR",117.448004488923
"85","PMOR","CMAR",147.024179060525
"86","PROJ","CMAR",73.3178581967251
"87","PVIC","CMAR",67.6978872942959
"88","RED","CMAR",58.2572034066411
"89","SOMB","CMAR",88.9525983464229
"90","STAFE","CMAR",166.293561462864
"91","SUAR","CMAR",227.127245867827
"92","TOR","CMAR",129.036338834388
"93","BAR","CORA",206.96895837233
"94","CDOU","CORA",225.85420278926
"95","CHAM","CORA",246.183900395904
"96","CMAR","CORA",146.684508709
"97","CORA","CORA",0
"98","CUEV","CORA",183.233224011931
"99","DAPH","CORA",93.5038306732761
"100","EGAS","CORA",121.37594723086
"101","ELI","CORA",279.536740949627
"102","GARD","CORA",194.130882330377
"103","PCAL","CORA",59.5229998528009
"104","PESP","CORA",227.316532201187
"105","PIN","CORA",101.265339277553
"106","PLAZ","CORA",102.389169978766
"107","PMAN","CORA",250.253052598954
"108","PMOR","CORA",279.829227170557
"109","PROJ","CORA",117.222901270496
"110","PVIC","CORA",200.502935404327
"111","RED","CORA",184.972322664174
"112","SOMB","CORA",99.2564959355789
"113","STAFE","CORA",124.424352519222
"114","SUAR","CORA",190.416195001724
"115","TOR","CORA",179.619365128853
"116","BAR","CUEV",92.9435246849485
"117","CDOU","CUEV",210.893104952041
"118","CHAM","CUEV",190.374448307453
"119","CMAR","CUEV",170.013630989239
"120","CORA","CUEV",183.233224011931
"121","CUEV","CUEV",0
"122","DAPH","CUEV",105.295871699445
"123","EGAS","CUEV",124.373286120216
"124","ELI","CUEV",201.126507785367
"125","GARD","CUEV",84.7780345841453
"126","PCAL","CUEV",176.063247953382
"127","PESP","CUEV",215.518704447061
"128","PIN","CUEV",216.475382897194
"129","PLAZ","CUEV",81.0646294282724
"130","PMAN","CUEV",191.790933877691
"131","PMOR","CUEV",168.282908656048
"132","PROJ","CUEV",103.329305209314
"133","PVIC","CUEV",237.734728747124
"134","RED","CUEV",228.294044859469
"135","SOMB","CUEV",104.691688149642
"136","STAFE","CUEV",64.2061856464654
"137","SUAR","CUEV",76.2169969891295
"138","TOR","CUEV",62.7113899137133
"139","BAR","DAPH",114.585199771728
"140","CDOU","DAPH",198.921911838966
"141","CHAM","DAPH",212.881480370582
"142","CMAR","DAPH",109.437897326764
"143","CORA","DAPH",93.5038306732762
"144","CUEV","DAPH",105.295871699445
"145","DAPH","DAPH",0
"146","EGAS","DAPH",63.4500387380346
"147","ELI","DAPH",223.633539848495
"148","GARD","DAPH",136.301500135713
"149","PCAL","DAPH",82.1979748210581
"150","PESP","DAPH",200.384241250893
"151","PIN","DAPH",124.813075762917
"152","PLAZ","DAPH",28.8218519720433
"153","PMAN","DAPH",214.29796594082
"154","PMOR","DAPH",190.789940719177
"155","PROJ","DAPH",38.7899346653882
"156","PVIC","DAPH",173.570644454034
"157","RED","DAPH",164.293499572887
"158","SOMB","DAPH",23.7455037684449
"159","STAFE","DAPH",57.8800295381279
"160","SUAR","DAPH",130.101043440118
"161","TOR","DAPH",87.2356154280317
"162","BAR","EGAS",115.280690669492
"163","CDOU","EGAS",141.01228281463
"164","CHAM","EGAS",161.341980421274
"165","CMAR","EGAS",49.4008942057747
"166","CORA","EGAS",121.37594723086
"167","CUEV","EGAS",124.373286120216
"168","DAPH","EGAS",63.4500387380346
"169","EGAS","EGAS",0
"170","ELI","EGAS",194.694820974996
"171","GARD","EGAS",188.464219562957
"172","PCAL","EGAS",74.0344320514
"173","PESP","EGAS",142.474612226556
"174","PIN","EGAS",97.2216813217584
"175","PLAZ","EGAS",91.617196253198
"176","PMAN","EGAS",165.411132624324
"177","PMOR","EGAS",191.485431616941
"178","PROJ","EGAS",25.6126401342878
"179","PVIC","EGAS",115.661015429697
"180","RED","EGAS",106.220331542042
"181","SOMB","EGAS",41.3291974879385
"182","STAFE","EGAS",120.04964323934
"183","SUAR","EGAS",180.883327644303
"184","TOR","EGAS",88.6770801887423
"185","BAR","ELI",109.752518339118
"186","CDOU","ELI",79.1045831869462
"187","CHAM","ELI",62.8514581292837
"188","CMAR","ELI",146.731692839595
"189","CORA","ELI",279.536740949627
"190","CUEV","ELI",201.126507785367
"191","DAPH","ELI",223.633539848495
"192","EGAS","ELI",194.694820974996
"193","ELI","ELI",0
"194","GARD","ELI",285.661826147299
"195","PCAL","ELI",220.44564282705
"196","PESP","ELI",53.2004198414004
"197","PIN","ELI",202.056863884437
"198","PLAZ","ELI",241.186533804789
"199","PMAN","ELI",37.3177650967749
"200","PMOR","ELI",33.0557595467511
