"BAR-1","BAR-2","BAR-3","C-C","C-D","C2","C3","C4","C5","C6","CDOU-1","CDOU-2","CDOU-3","CDOU-C","CHAM-1","CHAM-2","CHAM-3","CHAM-C","CMAR-1","CMAR-2","CMAR-3","CMAR-C","CORA-1","CORA-2","CORA-3","CORA-C","CUEV-1","CUEV-2","CUEV-3","CUEV-C","DAPH-1","DAPH-2","DAPH-3","DAPH-C","EGAS-1","EGAS-2","EGAS-3","EGAS-C","ELI-1","ELI-2","ELI-3","ELI-C","GARD-1","GARD-2","GARD-3","GARD-C","PCAL-1","PCAL-2","PCAL-3","PCAL-C","PCR1-NTC-1","PCR1-NTC-2","PESP-1","PESP-2","PESP-3","PESP-C","PIN-1","PIN-2","PIN-3","PIN-C","PLAZ-1","PLAZ-2","PLAZ-3","PLAZ-C","PMAN-1","PMAN-2","PMAN-3","PMAN-C","PMOR-1","PMOR-2","PMOR-3","PMOR-C","PROJ-1","PROJ-2","PROJ-3","PROJ-C","PVIC-1","PVIC-2","PVIC-3","PVIC-C","RED-1","RED-2","RED-3","RED-C","SOMB-1","SOMB-2","SOMB-3","SOMB-C","STAFE-1","STAFE-2","STAFE-3","STAFE-C","SUAR-1","SUAR-2","SUAR-3","SUAR-C","TOR-1","TOR-2","TOR-3","TOR-C"
"ASV_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,78,26,0,0,0,0,0,72,0,0,0,0,0,0,0,474,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4788,7090990,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2",5,0,0,0,0,0,0,0,0,0,69,0,119,0,0,0,35,0,0,0,0,0,0,0,0,0,3,254,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,31,26,0,0,0,6,0,0,0,0,0,0,0,0,0,139,0,53,1081202,3513,0,0,99,190,0,0,0,0,0,338,782,312,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"ASV_3",83,98,67,0,0,0,0,0,0,0,0,33,219,0,267,66,60,0,1087,2521,5327,0,20236,1752,1908,0,1852,931,4886,0,445537,5714,1876,0,12,6317,546,0,0,0,0,0,3949,9303,4145,0,13593,4548,568,0,0,0,0,0,118,0,396,1115,461,0,1633,558,2006,0,0,0,72,0,0,0,0,0,2137,2443,5300,0,913,0,164,0,1807,17611,701,0,1801,2394,1930,0,13713,6148,24536,0,3267,927,1863,0,0,0,181,0
"ASV_4",5083,19983,334,23,41,44,7714,6,606,108,915,7653,6734,502,20286,10913,16157,94,562,450,1077,310,2760,2489,2577,6,4119,5861,967,63,2876,1110,1282,174,8425,9063,6846,7,3793,5594,1572,206,3702,5595,4817,181,1963,4807,13805,0,21,0,499,1015,881,440,3126,434,1105,50,1503,862,2110,192,2322,39889,3788,154,13711,10128,4241,626,6758,1104,570,1323,3933,9205,8859,143,2723,4249,620,479,1927,18636,3525,647,4247,1261,1259,0,2826,1488,433,1102,31483,38079,17122,860
"ASV_5",0,0,0,0,0,0,0,0,0,0,984,2166,1349,0,6897,25763,28176,0,19,58,59,0,0,224,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,622,588,146,0,0,0,0,0,0,0,581,774,1531,0,0,0,0,98,0,519,0,0,0,0,0,0,0,0,0,0,415,168,0,0,10160,175953,5583,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0
"ASV_6",35,174,0,0,0,0,0,0,0,0,341,48,189,0,0,0,0,0,754,1158,707,0,5436,516,644,0,1113,381,1230,0,185295,1365,397,0,0,4003,0,0,0,0,0,0,1888,1513,1075,0,4306,1502,0,0,0,0,0,0,256,0,646,208,249,0,290,164,214,0,144,102,0,0,0,0,0,0,615,952,2289,0,592,0,0,0,963,4227,102,0,601,583,939,0,2626,1380,7313,0,2367,347,459,0,0,0,0,0
"ASV_7",0,0,0,0,0,0,0,0,0,0,256,39,223,0,402,580,74,0,3385,2627,8079,0,0,68,365,0,258,90,324,0,97486,16043,5199,2,9239,886,3812,0,0,0,0,0,132,958,332,0,692,129,0,0,0,0,176,680,70,0,878,567,443,0,1802,1141,1750,0,0,262,16,0,463,1679,925,0,7580,3620,7049,0,230,0,0,0,0,0,0,0,3528,17846,9527,0,4016,2268,1908,0,9148,3652,1715,0,0,3170,89,0
"ASV_8",0,0,0,0,0,0,0,0,0,0,698,235,1401,0,696,820,782,0,1472,2061,4640,0,5452,2473,3309,0,7390,4506,5521,0,3927,1388,733,0,11318,8337,8083,0,0,0,0,0,3908,3261,3207,0,11240,2003,1328,0,0,0,378,577,237,0,2042,4435,1172,0,1300,855,2735,0,0,93,0,0,2162,1991,218,0,6751,3422,626,0,1245,2840,241,0,4785,26079,871,0,5706,4515,6686,0,1972,5764,1776,0,4520,3185,519,0,469,392,551,0
"ASV_9",7104,7228,3149,0,0,0,0,0,0,0,387,1185,373,0,120,0,107,0,2698,2520,54,0,0,3024,679,0,3043,4167,2567,0,527,0,29,0,497,0,0,0,2944,11223,858,0,17427,10444,16488,0,2311,56,435,0,0,0,7841,22866,1710,0,106,1029,522,0,0,198,2189,0,1602,18274,757,0,4223,4301,358,0,2620,562,540,0,0,0,148,0,1398,1963,0,0,2068,624,1095,0,3936,2558,930,0,3089,5166,2005,0,0,1764,0,0
"ASV_10",411,0,507,0,0,0,0,0,0,0,6762,119,2690,0,5260,958,833,0,29,0,426,0,948,1450,1543,0,0,1054,1986,0,777,771,1685,0,0,0,385,0,0,109,35,0,977,0,52,0,0,0,0,0,0,0,65,254,826,0,0,0,0,0,2077,561,465,0,669,10223,785,0,537,186,312,0,148,0,57,0,1652,1152,1921,0,17436,98116,7106,0,0,0,0,0,1614,30,196,0,981,1016,0,0,664,169,270,0
