"BAR-1","BAR-2","BAR-3","C-C","C-D","C2","C3","C4","C6","CDOU-2","CDOU-3","CDOU-C","CDOU1-REDO-U","CHAM-1","CHAM-2","CHAM-3","CHAM-C","CMAR-1","CMAR-2","CMAR-3","CMAR-C","CORA-1","CORA-2","CORA-3","CORA-C","CUEV-1","CUEV-2","CUEV-3","CUEV-C","DAPH-1","DAPH-2","DAPH-3","DAPH-C","EGAS-1","EGAS-2","EGAS-3","EGAS-C","ELI-1","ELI-2","ELI-3","ELI-C","GARD-1","GARD-2","GARD-3","GARD-C","PCAL-1","PCAL-2","PCAL-3","PCAL-C","PCR1-NTC-1","PCR1-NTC-2","PESP-1","PESP-2","PESP-3","PESP-C","PIN-1","PIN-2","PIN-3","PIN-C","PLAZ-1","PLAZ-2","PLAZ-3","PLAZ-C","PMAN-1","PMAN-2","PMAN-3","PMAN-C","PMOR-1","PMOR-2","PMOR-3","PMOR-C","PROJ-1","PROJ-2","PROJ-3","PROJ-C","PVIC-1","PVIC-2","PVIC-3","PVIC-C","RED-1","RED-2","RED-3","RED-C","SOMB-1","SOMB-2","SOMB-3","SOMB-C","STAFE-1","STAFE-2","STAFE-3","SUAR-1","SUAR-2","SUAR-3","SUAR-C","TOR-1","TOR-2","TOR-3"
"ASV_1",0,0,0,0,0,0,0,1,0,3631,17440,0,1441,13541,7126,9394,0,17712,15488,27728,0,12641,13198,25369,0,163794,54285,33499,0,2550,2935,5020,0,51114,45648,48428,0,0,0,59,0,18197,8803,23493,0,31995,53149,49161,0,0,0,2793,9875,1243,0,5132,18498,4561,0,7211,15654,21213,0,698,21,0,0,9173,22428,4819,0,26422,27267,998,0,11690,18860,4264,0,31408,2517,10293,0,32952,38680,9966,0,7656,14804,4858,23149,13051,5075,0,17767,4385,5550
"ASV_2",0,0,147,0,0,0,0,0,0,28425,38606,0,3822,25662,17469,18109,0,12132,482,1493,0,0,0,0,0,0,0,989,0,7801,28397,23586,0,45130,4614,32228,0,221,833,196,0,0,171,0,0,0,341,0,0,0,0,246,701,26532,0,11533,335,3180,0,1656,1957,34900,0,4165,171,1408,0,2858,2438,4997,0,22337,25065,53965,0,1752,3748,10259,0,402,7,0,0,13325,1045,940,0,2040,89,3202,225,0,2204,0,8316,1834,13173
"ASV_3",0,204,533,0,0,0,0,0,0,40518,54665,0,3786,10955,5466,10057,0,0,0,0,0,0,0,0,0,19147,8388,2329,0,192,954,17655,0,0,0,0,0,62219,27431,44795,0,299,0,0,0,0,0,0,0,0,0,131,0,43663,0,0,0,0,0,582,118,787,0,1624,76,213,0,19375,8691,34098,0,161,0,264,0,0,0,524,0,0,0,0,0,0,1145,245,0,12168,14908,10618,0,0,0,0,17030,6069,2670
"ASV_4",2775,2502,2150,0,0,0,0,0,0,14565,14409,0,5411,4759,5776,5923,0,17562,16057,2739,0,1927,6556,12031,0,13797,4189,6981,0,2595,2186,8111,0,8048,367,1151,0,2124,15316,557,0,8644,2039,3023,0,4073,9599,1567,0,0,0,2510,17224,12804,0,2093,1699,2278,0,13668,10234,17207,0,8610,749,7217,0,4005,1411,9315,0,523,3719,3445,0,1266,0,996,0,4799,154,944,0,890,2325,947,0,5095,1337,7031,8077,28477,30252,0,0,15096,2592
"ASV_5",2153,1837,875,0,0,0,0,0,0,236,510,0,55,2897,853,236,0,8074,10080,15691,0,19878,3267,7595,0,16961,3338,8121,0,86056,5213,4833,0,1207,10275,1122,0,0,0,0,0,7464,12265,7882,0,14669,31917,7463,0,0,0,0,0,468,0,551,843,931,0,4565,5641,9670,0,855,46,119,0,0,0,0,0,7564,6935,8077,0,442,0,2385,0,3568,560,3679,0,3547,8704,3284,0,19962,6152,28980,4345,2094,4443,0,0,0,0
"ASV_6",0,0,0,0,0,0,0,0,0,1555,2637,0,600,1329,1417,1150,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,92,0,0,0,0,0,0,0,0,0,0,0,0,230597,98171,8363,0,0,0,0,0,0,0,0,0,306,0,0,0,7004,89,2112,0,0,0,0,0,3302,4630,7546,0,0,0,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_7",0,0,0,0,0,0,0,0,0,658,2977,0,178,2927,1633,787,0,14129,8734,22644,0,0,52,152,0,7121,1078,6825,0,17498,13720,15097,0,20716,1792,7924,0,24,1093,0,0,991,2012,586,0,918,2227,640,0,0,0,831,2718,1090,0,1611,975,640,0,6242,4177,6042,0,0,0,467,0,2586,12399,4260,0,9386,10353,7346,0,789,0,0,0,79,0,0,0,8628,44028,8068,0,3706,2108,2755,12746,3198,7960,0,0,12884,0
"ASV_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,957,0,0,0,144,0,0,0,0,0,0,0,0,0,0,801,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10901,278938,11723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_9",0,0,0,0,0,0,0,0,0,532,1800,0,221,1555,1391,3829,66,232,267,227,0,285,1177,3788,0,1081,622,0,0,5,15,68,0,634,394,3663,0,0,0,0,0,217,0,349,0,872,1760,430,0,0,0,0,822,0,0,33,26,101,0,1085,1696,4538,0,0,0,0,0,628,251,0,0,2356,6954,373,0,589,648,1478,0,111449,8295,69961,0,0,388,50,0,0,105,39,0,195,641,0,0,164,0
"ASV_10",613,1122,3042,0,0,0,0,0,0,3361,1249,0,753,8512,6586,1536,0,2004,2500,720,0,2663,3969,4926,0,14242,626,3904,0,245,399,2530,0,0,116,625,0,0,384,0,0,621,2340,1146,0,1209,4438,600,0,0,0,136,388,4523,0,6277,3744,5199,0,8178,4741,9584,0,12194,491,4904,0,0,410,371,0,2071,1864,621,0,950,1150,643,0,27831,1878,10842,0,2925,8803,3342,0,4078,4043,4505,0,437,4763,0,7586,6739,1277
